name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,category_survey_email_address,country_formation,billing_unit,dissolution_date,reason_for_administrative,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting
MARIO'S LANDSCAPING SERVICES LLC,LLC,Active,1339689,2021-03-31,26 HEMLOCK PL APT 1,NORWALK,United States,06854,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7166667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"THERAPIA STAFFING, LLC",LLC,Withdrawn,1339690,2022-03-31,12350 NW 39TH STREET SUITE 102,CORAL SPRINGS,United States,33065,FL,processing@mycorporation.com,Foreign,2020-03-17,FL,FL,False,False,False,False,False,Temporary Help Services (561320),561320.0,2021-11-10 00:08:35.7166667,,2020-03-17,"THERAPIA STAFFING, LLC",,United States,,,,,"5237 SUMMERLIN COMMONS SUITE 400, FORT MYERS, FL, 33907,",5237 SUMMERLIN COMMONS SUITE 400,FORT MYERS,FL,33907,,"5237 SUMMERLIN COMMONS SUITE 400, FORT MYERS, FL, 33907, United States",5237 SUMMERLIN COMMONS SUITE 400,FORT MYERS,FL,33907,United States,
CANNONDALE ANIMAL CLINIC OF FAIRFIELD COUNTY LLC,LLC,Active,1339691,2022-03-31,747 VALLEY ROAD,NEW CANAAN,United States,06840,CT,steflyons@yahoo.com,Domestic,2020-03-17,CT,Connecticut,True,False,False,False,False,Veterinary Services (541940),541940.0,2021-11-10 00:08:35.7166667,,,,,,,,,,,,,,,,,,,,,,
JAMESON PROPERTY SERVICES,LLC,Active,1339692,2021-03-31,208 LEONARD ROAD,STAFFORD SPRINGS,United States,06076,CT,NEWBEGININGSPAINTING@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:35.7166667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SALVADOR CASTANEDA HERNANDEZ LLC,LLC,Active,1339694,2021-03-31,184 OSBORNE ST,DANBURY,United States,06810,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:35.7166667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
ANAHATA YOGA LLC,LLC,Active,1339695,2021-03-31,27 OSBORN LN,MONROE,United States,06468,CT,RMAJARONE6164@EARTHLINK.NET,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),713940.0,2021-11-10 00:08:35.7166667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
CAPITAS GLOBAL INC.,Stock,Active,1339696,2022-03-17,603 STANWIX ST. STE 1750 TWO GATEWAY CENTER,PITTSBURGH,United States,15222,PA,kwashington@ilsainc.com,Foreign,2020-03-17,DE,DE,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:08:35.7166667,,2020-03-18,CAPITAS GLOBAL INC.,,United States,,,,,,,,,,,,,,,,,
JAHAN II LLC,LLC,Active,1339697,2022-03-31,395 MAIN STREET,DANBURY,United States,06810,CT,ZAYTUNA786@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:35.7166667,,,,,,,,,,,,,,,,,,,,,,
EVOLVE TENNIS TRAINING LLC,LLC,Active,1339698,2021-03-31,835 ALLING ROAG,ORANGE,United States,06477,CT,EVOLVETENNISTRAINING@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Sports Teams and Clubs (711211),711211.0,2021-11-10 00:08:35.7166667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
FRIHET FUNDING LLC,LLC,Active,1339703,2021-03-31,7 SMOKE RISE RD.,WALLINGFORD,United States,06492,CT,MARK@FRIHETFUNDING.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,2021-11-10 00:08:35.7300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
FAMILY BEARS LLC,LLC,Active,1339704,2021-03-31,189 RUSSO DR.,HAMDEN,United States,06518,CT,FAMILYBEARSLLC@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Sales Financing (522220),522220.0,2021-11-10 00:08:35.7300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"HILLEBRECHT PROPERTY MANAGEMENT, LLC",LLC,Active,1339705,2021-03-31,197 LEONARD RD.,STAFFORD SPRINGS,United States,06076,CT,KHILLEBRECHT@ETRINKS.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.7633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BEAUTY WITH LILYBETH LLC,LLC,Active,1339706,2022-03-31,42 GREENHURST LN.,EAST HARTFORD,United States,06118,CT,beautywithlilybeth@gmail.com,Domestic,2020-03-17,CT,Connecticut,True,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:35.7633333,,,,,,,,,,,,,,,,,,,,,,
KINGS CONSOLIDATION LIMITED LIABILITY COMPANY,LLC,Active,1339707,2021-03-31,38 NORFIELD RD,WESTON,United States,06883,CT,EFILE1234@INCFILE.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
IGRDU LLC,LLC,Dissolved,1339710,2021-03-31,326 MOUNTAIN RD,WILTON,United States,06897,CT,EFILE1234@INCFILE.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7633333,,,,,,,2021-01-20T00:00:00.000,,,,,,,,,,,,,,,
PAR4 CURBSIDE CATERING LLC,LLC,Active,1339711,2022-03-31,25 SMITH STREET,GROTON,United States,06340,CT,pganacoplos@yahoo.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Mobile Food Services (722330),722330.0,2021-11-10 00:08:35.7633333,,,,,,,,,,,,,,,,,,,,,,
BLK ROYALS LLC,LLC,Active,1339712,2022-03-31,24 ANN ST,NEW HAVEN,United States,06519,CT,EFILE1234@INCFILE.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Musical Groups and Artists (711130),,2021-11-10 00:08:35.7633333,,,,,,,,,,,,,,,,,,,,,,
DOGGY STYLEZ MOBILE GROOMING LLC,LLC,Active,1339714,2021-03-31,5 POINT ST,PRESTON,United States,06365,CT,DOGGYMOBILEGROOMING@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Pet Care (except Veterinary) Services (812910),812910.0,2021-11-10 00:08:35.7633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
TRAX UP PRODUCTIONS,LLC,Active,1339715,2021-03-31,140 MARTIN STREET,HARTFORD,United States,06120-1820,CT,VEILSIDE698@YAHOO.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:35.7633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
CANNICONTROL INC.,Stock,Active,1339716,2022-03-17,1299 FAIRFIELD BEACH RD.,FAIRFIELD,United States,06824,CT,info@cannicontrol.com,Foreign,2020-03-17,DE,DE,False,False,False,False,False,Other Individual and Family Services (624190),624190.0,2021-11-10 00:08:35.7633333,,2019-09-23,CANNICONTROL INC.,,United States,,,,,,,,,,,,,,,,,
HOMES BY SAINT LAURENT INC.,Stock,Active,1339717,2020-06-15,No information provided,,,,,DSAINT8186@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:35.7633333,First report past due,,,,,,,Failure to file First Report,10000.0,,,,,,,,,,,,,
"ROBERT B. SIMPSON, M.D., P.C.",Stock,Active,1339720,2022-03-17,133 WESTERLY TERRACE,HARTFORD,United States,06105,CT,jray@robinsongrimes.com,Foreign,2020-03-17,GA,GA,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,2021-11-10 00:08:35.7633333,,2019-04-01,"ROBERT B. SIMPSON, M.D., P.C.",,United States,,,,,,,,,,,,,,,,,
FAR HORIZON LLC,LLC,Active,1339721,2021-03-31,116 FAR HORIZONS DRIVE,EASTON,,06612,CT,MOZY1709@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Deep Sea Freight Transportation (483111),483111.0,2021-11-10 00:08:35.7633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"THE ASSIST, LLC",LLC,Dissolved,1339722,2021-03-31,41 CROSSROADS PLAZA MAILBOX 282,WEST HARTFORD,United States,06117,CT,THEASSIST20@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,True,False,True,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:35.7633333,,,,,,,2021-04-21T00:00:00.000,,,,,,,,,,,,,,,
LAURA S PROPERTY LLC,LLC,Active,1339723,2022-03-31,374 ORCHARD ST #3,NEW HAVEN,United States,06511,CT,valen-tina9724@hotmail.com,Domestic,2020-03-17,CT,Connecticut,True,False,True,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:35.7633333,,,,,,,,,,,,,,,,,,,,,,
CW REMODELING LLC,LLC,Active,1339725,2021-03-31,108 IDLEWOOD RD,WOLCOTT,United States,06716,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
VICTORIA'S LAUNDRY POLICE LLC,LLC,Active,1339726,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
M AND D ENTERPRISE LLC,LLC,Active,1339728,2021-03-31,345 HARDING AVENUE,STRATFORD,United States,06615,CT,DMASON.SP@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,True,False,False,,,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
JC GENERAL CONSTRUCTION LLC,LLC,Active,1339729,2021-03-31,180 TRIANGLE STREET  180 TRIANGLE STREET,DANBURY,United States,06810,CT,JUANAGURTO701@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
G & L LAWN CARE LLC,LLC,Active,1339730,2021-03-31,27 RYAN AVENUE,NORWALK,United States,06854,CT,SERVIEXPRESS2008@HOTMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BRADY'S BRICKS LLC,LLC,Active,1339731,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Other Direct Selling Establishments (454390),,2021-11-10 00:08:36.2300000,,,,,,,,,,,,,,,,,,,,,,
"ROCKET CONSTRUCTION SERVICES, LLC",LLC,Active,1339732,2021-03-31,3140 E GRAPELEAF LN,INVERNESS,United States,34452-0000,FL,ROCKETFIELD@OUTLOOK.COM,Foreign,2020-03-17,FL,FL,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:36.2300000,Annual report past due,2020-03-24,"ROCKET CONSTRUCTION SERVICES, LLC",,United States,,,,,"3140 E GRAPELEAF LN, INVERNESS, FL, 34452-0000, United States",3140 E GRAPELEAF LN,INVERNESS,FL,34452-0000,United States,"3140 E GRAPELEAF LN, INVERNESS, FL, 34452-0000, United States",3140 E GRAPELEAF LN,INVERNESS,FL,34452-0000,United States,
"QUANTIX ENTERPRISE, LLC",LLC,Active,1339733,2022-03-31,435 MAPLE AVE,CHESHIRE,United States,06410,CT,jwelles7@hotmail.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:36.2300000,,,,,,,,,,,,,,,,,,,,,,
DANNY KASH LLC,LLC,Active,1339734,2022-03-31,54 HENDERSON DR,AVON,United States,06001,CT,info@dannykash.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,"Photography Studios, Portrait (541921)",,2021-11-10 00:08:36.2300000,,,,,,,,,,,,,,,,,,,,,,
SURFACE ENVIRONMENTAL SOLUTIONS LLC,LLC,Active,1339735,2021-03-31,24 SCOTT ROAD,OXFORD,United States,06478,CT,MCGLOGAN@HOTMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"TACO PALACE, LLC",LLC,Active,1339737,2021-03-31,5 FOXON ROAD,NORTH BRANFORD,United States,06443,CT,BUSINESSGROUPLAW@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),811198.0,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
GIFTEDSOUND PRODUCTIONS LLC,LLC,Active,1339738,2021-03-31,217 ANTHONY STREET BLDG. 18 APT. 208,BRIDGEPORT,United States,06605,CT,THEGIFTEDSOUND@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,True,False,False,Other Sound Recording Industries (512290),512290.0,2021-11-10 00:08:36.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
22 ATLANTIC LLC,LLC,Active,1339742,2022-03-31,22 ATLANTIC STREET,EAST LYME,United States,06357,CT,kimmccord1169@gmail.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:36.2300000,,,,,,,,,,,,,,,,,,,,,,
JOSEPH HOOKER ENTERPRISE LLC,LLC,Active,1339743,2021-03-31,62 GOODYEAR AVE,NAUGATUCK,United States,06770,CT,HOOKER.JOSEPH123@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,True,False,False,Coin-Operated Laundries and Drycleaners (812310),812310.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
D&C INVESTORS LLC,LLC,Active,1339744,2022-03-31,422 WEST RIVER ROAD APT 1,ORANGE,United States,06477,CT,dennisedge511@gmail.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Miscellaneous Intermediation (523910),523910.0,2021-11-10 00:08:36.2633333,,,,,,,,,,,,,,,,,,,,,,
A&J PROPERTY SERVICES LLC,LLC,Active,1339745,2021-03-31,82 CUSHMAN DR,MANCHESTER,United States,06042,CT,AR95BRAVO1@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,True,False,True,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
LIBERATION CT CO.,Non-Stock,Active,1339746,2020-06-15,No information provided,,,,,LIBERATIONCT@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:08:36.2633333,First report past due,,,,,,,Failure to file First Report,,,,,,,,,,,,,,
"SALTY TOMATO PIZZERIA, LLC",LLC,Active,1339747,2022-03-31,18 OCEAN AVE.,WEST HAVEN,United States,06516,CT,saltytomatopizzeria@gmail.com,Domestic,2020-03-17,CT,Connecticut,True,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:08:36.2633333,,,,,,,,,,,,,,,,,,,,,,
"W.E. DEVELOPMENT, LLC",LLC,Active,1339748,2021-03-31,255 NEMERGUT DRIVE,STRATFORD,United States,06614,CT,ESTABLISHEDCONTRACTORS@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"BROOKLYN INVESTMENTS, LLC",LLC,Active,1339749,2022-03-31,1783 FOREST DRIVE SUITE 334,ANNAPOLIS,United States,21401,MD,d.longacre@me.com,Domestic,2020-03-17,MD,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.2633333,,,,,,,,,,,,,,,,,,,,,,
HNY UNIVERSAL REALTY LLC,LLC,Active,1339750,2021-03-31,303 NEWINGTON ROAD,WEST HARTFORD,United States,06110,CT,RAHIMY.ASIF@YAHOO.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
CAM-BRY LAND SERVICES LLC,LLC,Active,1339751,2022-03-31,221 BROOKLYN TPKE.,SCOTLAND,United States,06264,CT,Kjb10262002@yahoo.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Site Preparation Contractors (238910),,2021-11-10 00:08:36.2633333,,,,,,,,,,,,,,,,,,,,,,
ARBEN'S MASONRY LLC,LLC,Active,1339752,2021-03-31,305 STRAITS TPKE,WATERTOWN,United States,06795,CT,ARBENKICA16@YAHOO.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
309 PARK ST. LLC,LLC,Active,1339753,2021-03-31,398 MILL ROAD,WESTHAMPTON,United States,11977,NY,UANDERSON.BENEDETTI@GMAIL.COM,Domestic,2020-03-17,NY,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
TORRES GENERAL CONTRACTOR LLC,LLC,Active,1339754,2021-03-31,97 MILL ROCK RD EAST,OLD SAYBROOK,United States,06475,CT,GUARAPO_2187@HOTMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,New Single-Family Housing Construction (except For-Sale Builders) (236115),236115.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
HEARTS TREASURE FOODS LLC,LLC,Active,1339755,2021-03-31,1620 RATLEY RD,WEST SUFFIELD,United States,06093,CT,ALIX@THEHARTFORDMINT.COM,Domestic,2020-03-17,CT,Connecticut,True,False,True,False,False,General Line Grocery Merchant Wholesalers (424410),424410.0,2021-11-10 00:08:36.2633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"ELLSWORTH REAL ESTATE MANAGEMENT, LLC",LLC,Active,1339756,2022-03-31,408 SAINT RONAN STREET,NEW HAVEN,United States,06511,CT,margaret.chustecki@imgnh.com,Domestic,2020-03-17,CT,Connecticut,True,False,False,False,False,Residential Property Managers (531311),531390.0,2021-11-10 00:08:36.2633333,,,,,,,,,,,,,,,,,,,,,,
FLUILABS LLC,LLC,Active,1339758,2022-03-31,602 OLD TOLL RD,MADISON,United States,06443,CT,fluilabs@gmail.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Research and Development in Biotechnology (except Nanobiotechnology) (541714),,2021-11-10 00:08:36.2633333,,,,,,,,,,,,,,,,,,,,,,
SHELBY INNOVATIONS LLC,LLC,Active,1339760,2022-03-31,304 WEST MAIN ST SUITE 2-1044,AVON,United States,06002,CT,dane.grey@valeud.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),,2021-11-10 00:08:36.2633333,,,,,,,,,,,,,,,,,,,,,,
"US IQ TECH, LLC",LLC,Active,1339761,2022-03-31,11 LUCEY AVE,WEST HAVEN,United States,06516,CT,MONTHER.FARHAN@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Engineering Services (541330),,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
"584 SURF AVE, LLC",LLC,Active,1339762,2022-03-31,584 SURF AVE,STRATFORD,United States,06615,CT,barry@oreillyelectricllc.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Lessors of Miniwarehouses and Self-Storage Units (531130),531130.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
616 WHALLEY AVE LLC,LLC,Active,1339763,2022-03-31,500 BIC DRIVE SUITE 107,MILFORD,United States,06461,CT,gardenmeadowrealty@gmail.com,Domestic,2020-03-17,CT,Connecticut,True,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
"PROPERTY SAVIOR, LLC",LLC,Active,1339764,2021-03-31,56 WAKELEE AVE EXT UNIT 4,SHELTON,United States,06484,CT,PROPERTYSOTARE@GMAIL.COM,Foreign,2020-03-17,NV,NV,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.3100000,Annual report past due,2020-03-17,"PROPERTY SAVIOR, LLC",,United States,,,,,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,
FIRST PORTFOLIO VENTURE I LLC,LLC,Active,1339767,2022-03-31,3091 GOVERNORS LAKE DRIVE SUITE 500,PEACHTREE CORNERS,United States,30071,GA,cchavda@1fam.com,Foreign,2020-03-17,DE,DE,False,False,False,False,False,Collection Agencies (561440),561440.0,2021-11-10 00:08:36.3100000,,2020-01-01,FIRST PORTFOLIO VENTURE I LLC,,United States,,,,,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,
PUP TO PERFECTION LLC,LLC,Active,1339769,2022-03-31,25 DOVER ROAD,ENFIELD,United States,06082,CT,taylor@puptoperfection.com,Domestic,2020-03-17,CT,Connecticut,True,False,False,False,False,Pet Care (except Veterinary) Services (812910),812910.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
FASANO LAW PLLC,LLC,Active,1339771,2021-03-31,388 ORANGE STREET,NEW HAVEN,,06511,CT,ROBERTFASANO13@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.3100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
CARLASCIO CONSULTING LLC,LLC,Active,1339772,2022-03-31,129 MORELAND AVE.,WATERBURY,United States,06705,CT,carlascio79@gmail.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
CLAIMRIGHT CORP.,Stock,Dissolved,1339773,2020-06-15,No information provided,,,,,LENAKRICH@YAHOO.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.3100000,,,,,,,2021-08-02T00:00:00.000,,20000.0,,,,,,,,,,,,,
"DREAM CHASE, LLC",LLC,Active,1339774,2022-03-31,"245 EAST WOODLAND ST., UNIT 25",MERIDEN,United States,06451,CT,Benzy646@gmail.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
ENLIGHTENED EMPATHS PSYCHOTHERAPY AND COUNSELING L.L.C.,LLC,Active,1339775,2022-03-31,6 WILDWOOD TERRACE,ANSONIA,United States,06401,CT,enlightened.empaths.counseling@gmail.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Services for the Elderly and Persons with Disabilities (624120),624120.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
66 COACHLAMP LLC,LLC,Active,1339776,2022-03-31,575 MIDDLESEX ROAD,DARIEN,United States,06820,CT,TED.KOLY@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
TRANSFORM IT LLC,LLC,Active,1339777,2022-03-31,909 ARBORMOOR PLACE 909 ARBORMOOR PLACE,LAKE MARY,United States,32746,FL,efeimers@icloud.com,Domestic,2020-03-17,FL,Connecticut,False,False,False,False,False,Other Computer Related Services (541519),541519.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
YOUR SELF & BEYOND LLC,LLC,Active,1339778,2022-03-31,5 GRACE RD,SOUTH WINDSOR,United States,06074,CT,kristen@yourselfandbeyond.com,Domestic,2020-03-17,CT,Connecticut,True,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:08:36.3100000,,,,,,,,,,,,,,,,,,,,,,
"AMERICAN BLIND AND SHADE, LLC",LLC,Active,1339779,2021-03-31,119 PARK AVE,NAUGATUCK,United States,06770,CT,AMERICANBLINDANDSHADE@GMAIL.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Window Treatment Stores (442291),442291.0,2021-11-10 00:08:33.7300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
CLOUDLINKS LLC,LLC,Active,1339780,2022-03-31,36 MARY LANE,VERNON,United States,06066,CT,pcollins@cloudlinks.biz,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),541512.0,2021-11-10 00:08:33.7300000,,,,,,,,,,,,,,,,,,,,,,
"BCK AUTO REPAIR, INC",Stock,Active,1339781,2020-06-15,No information provided,,,,,JBECKER@BECKERZOWINE.COM,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),811198.0,2021-11-10 00:08:33.7300000,First report past due,,,,,,,Failure to file First Report,10000.0,,,,,,,,,,,,,
"G. & M. WOLKENBERG, INC.",Stock,Active,1339782,2021-03-17,2838 LONG BEACH ROAD,OCEANSIDE,United States,11572,NY,RWOLKENBERG@WOLKENBERG.COM,Foreign,2020-03-17,NY,NY,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:33.7300000,Annual report past due,2020-04-01,"G. & M. WOLKENBERG, INC.",,United States,,,,,,,,,,,,,,,,,
"LUPINUS, LLC",LLC,Active,1339824,2022-03-31,175 PLATT LANE,MILFORD,United States,06461,CT,sue@milfordlegal.com,Domestic,2020-03-17,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:34.3400000,,,,,,,,,,,,,,,,,,,,,,
