name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,total_authorized_shares,billing_unit,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address,mailing_address
JADE LIVING YOGA LLC,LLC,Active,,1366668,2022-03-31,159 DANBURY QUARTER RD,WINSTED,United States,06098,CT,Jade@jadelivingyoga.com,Domestic,2020-11-17,CT,Connecticut,True,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
88 WILLIAMS ST LLC,LLC,Active,,1366669,2022-03-31,88 WILLIAMS ST,NEW LONDON,United States,06320,CT,viviangdd@yahoo.com,Domestic,2020-11-17,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
STARTACTICS LLC,LLC,Active,Annual report past due,1366670,2021-03-31,95 MORGAN ST APT 1L,STAMFORD,United States,06905,CT,STARTACTICLLC@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
"NILAND HOLDINGS, L.L.C.",LLC,Active,,1366671,2022-03-31,103 WILLENBROCK ROAD,OXFORD,United States,06798,CT,pniland@woodburysupply.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
LAUVIAH CONSULTING LLC,LLC,Active,,1366672,2022-03-31,73 WEAVER ST. APT 9,GREENWICH,United States,06831,CT,lauramummolocollins@gmail.com,Foreign,2020-11-17,NY,NY,False,False,False,False,False,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers (424330)",454390.0,2021-11-10 00:12:42.0866667,,,,2020-09-03,LAUVIAH CONSULTING LLC,United States,"225 E. 95TH ST. APT 34 D, NEW YORK, NY, 10128, United States",225 E. 95TH ST. APT 34 D,NEW YORK,NY,10128,United States,"225 E. 95TH ST. APT 34 D, NEW YORK, NY, 10128, United States",225 E. 95TH ST. APT 34 D,NEW YORK,NY,10128,United States,,,,,,,
GMST LLC,LLC,Active,,1366673,2022-03-31,45 WINSTED ROAD,TORRINGTON,United States,06790,CT,elegg@gengras.net,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,New Car Dealers (441110),441110.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
A WILD LIBERATION LLC,LLC,Active,,1366675,2022-03-31,2 TUNXIS RD SUITE 14,SIMSBURY,United States,06081,CT,ak@awildliberation.com,Domestic,2020-11-17,CT,Connecticut,True,False,False,False,False,Used Merchandise Stores (453310),541490.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
"POT AND SPADE, LLC",LLC,Withdrawn,,1366676,2021-03-31,41 EDGEMERE RD,HAMDEN,United States,06517,CT,VGONZALEZ@BLUMB.COM,Foreign,2020-11-17,FL,FL,False,False,False,False,False,,,2021-11-10 00:12:42.0866667,,,,2020-11-17,"POT AND SPADE, LLC",United States,"170 5TH STREET, APALACHICOLA, FL, 32320, United States",170 5TH STREET,APALACHICOLA,FL,32320,United States,"170 5TH STREET, APALACHICOLA, FL, 32320, United States",170 5TH STREET,APALACHICOLA,FL,32320,United States,,,,,,,
CHIPMONKEY LLC,LLC,Active,,1366677,2022-03-31,241 S. LANDER ST #38,SEATTLE,United States,98134,WA,CHIPMONKEYWINE@GMAIL.COM,Foreign,2020-11-17,WA,WA,False,False,False,False,False,"Beer, Wine, and Liquor Stores (445310)",445310.0,2021-11-10 00:12:42.0866667,,,,2020-12-01,CHIPMONKEY LLC,United States,"4742 42ND AVE SW #497, SEATTLE, WA, 98116, United States",4742 42ND AVE SW #497,SEATTLE,WA,98116,United States,"241 S. LANDER ST #38, SEATTLE, WA, 98134, United States",241 S. LANDER ST #38,SEATTLE,WA,98134,United States,,,,,,,
HOPE LODGE LLC,LLC,Active,,1366678,2022-03-31,17 FERLAND DR,DAYVILLE,United States,06241,CT,hopelodgevenue@gmail.com,Domestic,2020-11-17,CT,Connecticut,True,False,True,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
"CORNERSTONE ENERGY SOLUTIONS, LLC",LLC,Active,Annual report past due,1366679,2021-03-31,2239 BERLIN TURNPIKE,NEWINGTON,United States,06111,CT,NPCNATIONAL@YAHOO.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Solar Electric Power Generation (221114),221114.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
SUGAR HOLLOW REALTY LLC,LLC,Active,,1366680,2022-03-31,1124 ROUTE 202 SOUTH SUITE B,RARITAN,United States,08869,NJ,denise@psdauto.com,Domestic,2020-11-17,NJ,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
PEAK UNLIMITED LLC,LLC,Active,,1366681,2022-03-31,44 PHEASANT DR,MERIDEN,United States,06451,CT,acclark.2011@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
BIG GREEN TRUCK PIZZA LLC,LLC,Dissolved,,1366682,2021-03-31,11 WHEELER HILL DRIVE,DURHAM,United States,06422,CT,MIKE@ABAPC.COM,Domestic,2020-11-17,CT,Connecticut,True,False,False,False,False,Mobile Food Services (722330),722330.0,2021-11-10 00:12:42.7733333,2021-03-23T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,
MAST PINE ADVISORY LLC,LLC,Active,,1366683,2022-03-31,1 TWIN OAK LANE,WESTON,United States,06883,CT,howard.a.law@gmail.com,Foreign,2020-11-17,DE,DE,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:42.7733333,,,,2020-11-17,MAST PINE ADVISORY LLC,United States,"NORTHWEST REGISTERED AGENT SERVICES 8 THE GREEN, SUITE B, DOVER, DE, 19901, United States","NORTHWEST REGISTERED AGENT SERVICES 8 THE GREEN, SUITE B",DOVER,DE,19901,United States,"NORTHWEST REGISTERED AGENT SERVICES 8 THE GREEN, SUITE B, DOVER, DE, 19901, United States","NORTHWEST REGISTERED AGENT SERVICES 8 THE GREEN, SUITE B",DOVER,DE,19901,United States,,,,,,,
"OUR CULTURE IS BEAUTIFUL, INCORPORATED",Non-Stock,Active,First report past due,1366684,2021-02-15,No information provided,,,,,ANGAZA@SBCGLOBAL.NET,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Civic and Social Organizations (813410),813410.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
THE HELPING HAND CLEANING SERVICE LLC,LLC,Active,Annual report past due,1366685,2021-03-31,955 MAIN ST,BRIDGEPORT,United States,06604,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
D'LUX BEAUTY LLC,LLC,Active,,1366691,2022-03-31,63 STERLING RD.,EAST HARTFORD,United States,06108,CT,kyhannaburgess@gmail.com,Domestic,2020-11-17,CT,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
FUN-N-DONE LLC,LLC,Active,,1366692,2022-03-31,21 B COLONIAL DRIVE,ROCKY HILL,United States,06067,CT,funndone3@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Men's Clothing Stores (448110),448110.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE CALI LLC,LLC,Active,Annual report past due,1366693,2021-03-31,215 WELLS ST.,BRIDGEPORT,United States,06606,CT,KRISTAL.FORRESTER@ICLOUD.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
"BRIAN ROY PROPERTY SERVICES, LLC",LLC,Active,,1366694,2022-03-31,9 SAWMILL BROOK LANE,MANSFIELD CENTER,United States,06250,CT,br1an@snet.net,Domestic,2020-11-17,CT,Connecticut,False,True,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRITUAL SOUL SOLUTIONS L.L.C.,LLC,Active,,1366695,2022-03-31,105 BRIDGE ST SUITE #162,GROTON,United States,06340,CT,PSYCHICWHITEANGEL@YAHOO.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
"CHAALEY'S CO., L.L.C.",LLC,Active,Annual report past due,1366696,2021-03-31,284 NORTONTOWN ROAD,GUILFORD,United States,06437-2228,CT,MTLANE17@SNET.NET,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
THERMAL PROXIES LLC,LLC,Active,,1366697,2022-03-31,600 N MAIN ST.,BRISTOL,United States,06010,CT,austin@austincsloane.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:42.7733333,,,,,,,,,,,,,,,,,,,,,,,,,
"HOULE CONSTRUCTION, LLC",LLC,Active,Annual report past due,1366698,2021-03-31,270 ROXBURY ROAD,NIANTIC,United States,06357,CT,PHOULIGAN@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"THORNOAK CAPITAL, LLC",LLC,Active,,1366699,2022-03-31,303 SMITH RIDGE ROAD,NEW CANAAN,United States,06840,CT,jcaldero@thornoakcap.com,Foreign,2020-11-17,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.9333333,,,,2020-11-23,"THORNOAK CAPITAL, LLC",United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,,,,,
ALLEGIANCE BEAUTY LLC,LLC,Active,Annual report past due,1366700,2021-03-31,9 STANTON ST 3,PAWCATUCK,United States,06379,CT,ALLEGIANCEBEAUTYBYAHNA@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,True,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
DISTINGUISHED LIFE LLC,LLC,Active,,1366701,2022-03-31,4 BRANDYWINE LANE,SANDY HOOK,United States,06482,CT,distinguishedlifellc@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"THE LOUIS PERRY GROUP, LLC",LLC,Active,,1366702,2022-03-31,165 SMOKERISE DRIVE,WADSWORTH,United States,44281,OH,wdw-ap-lpa@cdmsmith.com,Foreign,2020-11-17,OH,OH,False,False,False,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:12:45.9333333,,,,2021-02-15,"THE PERRY GROUP, LTD.",United States,"165 SMOKERISE DRIVE, WADSWORTH, OH, 44281, United States",165 SMOKERISE DRIVE,WADSWORTH,OH,44281,United States,"165 SMOKERISE DRIVE, WADSWORTH, OH, 44281, United States",165 SMOKERISE DRIVE,WADSWORTH,OH,44281,United States,,,,,,,
MICHELLE BEAUTY SALON UNISEX LLC,LLC,Active,Annual report past due,1366703,2021-03-31,83 LIBERTY ST,DANBURY,United States,06810,CT,JANELA1421@ICLOUD.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"EMERGI-CLEAN, INC.",Stock,Active,Annual report due,1366704,2021-11-17,41 MURRAY STREET,RAHWAY,United States,07065,NJ,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Foreign,2020-11-17,NJ,NJ,False,False,False,False,False,,,2021-11-10 00:12:45.9333333,,,,2020-11-17,"EMERGI-CLEAN, INC.",United States,,,,,,,,,,,,,,,,,,,
"AROUND-THE-CLOCK AIR CONDITIONING & HEATING, INC.",Stock,Active,,1366705,2022-11-17,115 COLONIAL ROAD UNIT 40,STAMFORD,United States,06906-2768,CT,PHIL@DANDBCPAS.COM,Foreign,2020-11-17,NY,NY,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:45.9333333,,,,2020-11-17,"AROUND-THE-CLOCK AIR CONDITIONING & HEATING, INC.",United States,,,,,,,,,,,,,,,,,,,
AK MEDIA LLC,LLC,Active,,1366706,2022-03-31,40 VENICE AVE,WATERBURY,United States,06708,CT,alkullaphotos@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
DRAIN KINGS HOME IMPROVEMENT LLC,LLC,Active,Annual report past due,1366707,2021-03-31,"213 SHAW ST., APT 1",NEW LONDON,United States,06320,CT,DRAINKINGS20@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Architectural Services (541310),541310.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
EMELYN'S LIFEGUARD SERVICE LLC,LLC,Active,Annual report past due,1366708,2021-03-31,26 RAYMOND ST,STAMFORD,United States,06902,CT,EMELINSLIFEGUARDSERVICE@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,True,False,False,False,False,Fitness and Recreational Sports Centers (713940),713940.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL ALCHEMY GROUP LLC,LLC,Active,Annual report past due,1366709,2021-03-31,57 WILLIS STREET,NEW HAVEN,United States,06511,CT,HAFEEZA@GLOBALALCHEMYGROUP.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
CURLEW SHIRT COMPANY LLC,LLC,Active,,1366710,2022-03-31,1556 PONUS RIDGE ROAD,NEW CANAAN,United States,06840,CT,megan.ashforth@me.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Family Clothing Stores (448140),448140.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"MADISON'S GARDEN, LLC",LLC,Active,Annual report past due,1366711,2021-03-31,400 OLD DAY HILL ROAD,WINDSOR,United States,06095,CT,MADISONSGARDEN07@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,True,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON GARDEN III INC,Stock,Active,,1366712,2022-09-10,117 Gulf St,Milford,United States,06460-4814,CT,SELIN@ZZAUSA.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:45.9333333,,200.0,,,,,,,,,,,,,,,,,2020-11-17,,,,,,
MAKITA OUTLETS LLC,LLC,Active,,1366713,2022-03-31,27 RACEBROOK DR. APT. D,EAST HARTFORD,United States,06108,CT,Miriamakita@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Clothing Accessories Stores (448150),448150.0,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
HEART SPIRIT RISING LLC,LLC,Active,Annual report past due,1366714,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@REGISTEREDAGENTSINC.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
J&R TRUCK LLC,LLC,Active,Annual report past due,1366715,2021-03-31,1758 PARK STREET APT. 301,HARTFORD,United States,06106,CT,MAYIMBE36@LIVE.COM,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
D&P CLEANING LLC,LLC,Active,Annual report past due,1366716,2021-03-31,30 FRAMINGHAM DR APT 3T,WATERBURY,United States,06705,CT,PAULINAMEDINA@LIVE.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
MAAHICKS LLC,LLC,Active,Annual report past due,1366717,2021-03-31,83 CAREY AVE,MERIDEN,United States,06451,CT,3BROWNBUTTERFLYS@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
RDJIKEUCHI LLC,LLC,Active,,1366718,2022-03-31,174 Terry Rd,Hartford,United States,06105-1122,CT,rdjikeuchi.llc@gmail.com,Domestic,2020-11-17,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
MENDEZ ELECTRICAL SERVICES LLC,LLC,Active,,1366719,2022-03-31,16 WILDWOOD ST # 1,NEW BRITAIN,United States,06051,CT,mendezelectricalservices@outlook.com,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
"DIBJM, LLC",LLC,Active,,1366720,2022-03-31,18 JUNIOR RD,FARMINGTON,United States,06032,CT,dludovic65@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
"A.M.P WELDING, LLC",LLC,Active,Annual report past due,1366721,2021-03-31,181 HICKS STREET APARTMENT 1H,MERIDEN,United States,06450,CT,KCORR22@COMCAST.NET,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
"PRECISION DEVICES OPCO, LLC",LLC,Active,,1366722,2022-03-31,55 N. PLAINS INDUSTRIAL ROAD,WALLINGFORD,United States,06492,CT,chrisb@precisiondevices.com,Foreign,2020-11-17,DE,DE,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:12:37.6033333,,,,2020-12-01,"PRECISION DEVICES OPCO, LLC",United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 06103, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,06103,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,,
"S.S.& F. AUTOMOTIVE & TIRES, L.L.C.",LLC,Active,Annual report past due,1366723,2021-03-31,34 TUNXIS AVENUE,BLOOMFIELD,United States,06002,CT,SNSNF34@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE REALTY LLC,LLC,Active,Annual report past due,1366724,2021-03-31,415 FARMS ROAD,GREENWICH,United States,06831,CT,EDGEREALTYCT@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
MOSTHATEDCLOTHING LLC,LLC,Active,Annual report past due,1366725,2021-03-31,410 HOOKER ROAD,BRIDGEPORT,United States,06610,CT,JONATHANCHARLTON2001@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Other Clothing Stores (448190),448190.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
ORION HOLDING GROUP INC,Stock,Active,Annual report due,1366726,2021-11-20,5 BRENNER LANE,NORWALK,United States,06851,CT,MIKE@ABAPC.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:12:37.6033333,,5000.0,,,,,,,,,,,,,,,,,,,,,,,
PAPO TOWING COMPANY LLC,LLC,Active,Annual report past due,1366727,2021-03-31,712 E MAIN STREET,NEW BRITAIN,United States,06051,CT,PAPOGRUA52@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
ACRYLLUXE LLC,LLC,Active,Annual report past due,1366728,2021-03-31,905 BURNSIDE AVE L7,HARTFORD,United States,06108,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
TLJR CONSULTING LLC,LLC,Active,Annual report past due,1366729,2021-03-31,127 EASTERN AVE,WATERBURY,United States,06708,CT,TLANHAM@TLJRCONSULTING.COM,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,Computer and Office Machine Repair and Maintenance (811212),811212.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
VP TRANSPORT LLC,LLC,Active,,1366730,2022-03-31,1110 SLATER RD,NEW BRITAIN,United States,06053,CT,vargase2004@yahoo.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),484122.0,2021-11-10 00:12:37.6033333,,,,,,,,,,,,,,,,,,,,,,,,,
OG TRANSPORTATION 1 CORPORATION,Stock,Active,First report past due,1366731,2021-02-15,No information provided,,,,,JANIELLE@TTS-VTC.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:37.6033333,,100.0,,,,,,,,,,,,,,,,,,,,,,,
SHIPPING TELEPORTERS 1 CORPORATION,Stock,Active,First report past due,1366732,2021-02-15,No information provided,,,,,JANIELLE@TTS-VTC.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:37.6033333,,100.0,,,,,,,,,,,,,,,,,,,,,,,
LEON CLEANERS LLC,LLC,Dissolved,,1366733,2021-03-31,95 HIGH ST UNIT 5,ENFIELD,United States,06082,CT,CACHIN177@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,Drycleaning and Laundry Services (except Coin-Operated) (812320),812320.0,2021-11-10 00:12:42.0866667,2021-03-30T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,
"RELIABLE HANDYMAN AND PERSONAL SERVICES, LLC",LLC,Active,,1366734,2022-03-31,18 GREENWICH LN,AVON,United States,06001,CT,Reliablehpservices@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN HOME BENEFIT LLC,LLC,Active,,1366735,2022-03-31,8 MEGANS CIRCLE,NEWTOWN,United States,06470,CT,ahsachs@gmail.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
"HEALTHIER, PLLC",LLC,Active,Annual report past due,1366736,2021-03-31,"360 STATE STREET, APT 709",NEW HAVEN,United States,06510,CT,DEBROSSE1@GMAIL.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Other Individual and Family Services (624190),624190.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
OMEGA SERVICES LLC,LLC,Active,Annual report past due,1366737,2021-03-31,243 HARTFORD TURNPIKE,VERNON,United States,06066-4738,CT,KHAN.MUZZ@OUTLOOK.COM,Domestic,2020-11-17,CT,Connecticut,False,False,True,False,False,Other Accounting Services (541219),541219.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
VAULTEK 360 LLC,LLC,Active,Annual report past due,1366738,2021-03-31,163 SPENO RIDGE,ROCKY HILL,United States,06067,CT,HADDAD@VAULTEK.COM,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),541512.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
PALMER CLAIMS SERVICES LLC,LLC,Active,,1366739,2022-03-31,560 YALE AVE #289,MERIDEN,United States,06450,CT,WANDA@WANDAPALMER.COM,Domestic,2020-11-17,CT,Connecticut,True,False,True,False,False,Claims Adjusting (524291),524291.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
"BELPOINTE PREP ACQUISITIONS, LLC",LLC,Active,,1366740,2022-03-31,255 GLENVILLE RD,GREENWICH,United States,06831,CT,jdominguez@belpointe.com,Domestic,2020-11-17,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.0866667,,,,,,,,,,,,,,,,,,,,,,,,,
VALIANT FINANCIAL SERVICES (USA) INC.,Stock,Active,,1366744,2022-11-17,,,CANADA,,,MAULAKH@VALIANTFINANCIAL.CA,Foreign,2020-11-17,WA,WA,False,False,False,False,False,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (532490),0.0,2021-11-10 00:12:42.0866667,,,,2020-11-01,VALIANT FINANCIAL SERVICES (USA) INC.,Canada,,,,,,,,,,,,,,nelsonjl@lanepowell.com,,,,,
