name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address,mailing_jurisdiction_3,office_jurisdiction_3
PINEWOOD ENTERPRISES LLC,LLC,Active,1333684,2022-03-31,20436 Route 19 Suite 620 #182,Cranberry Township,United States,16066,PA,matt@shelterfitness.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:36.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
"RISE OF HAIR, LLC",LLC,Active,1333692,2021-03-31,36 CHURCHILL STREET FIRST FLOOR,FAIRFIELD,United States,06824,CT,MATTHEW.RICCIO1@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BALL HOGZ SPORTS LEAGUE LLC,LLC,Dissolved,1333693,2021-03-31,1285 HOPE STREET UNIT 12,STAMFORD,United States,06907,CT,MQ1791@SBCGLOBAL.NET,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9333333,,,,,,,,,,,,,,,,,,2021-06-14T00:00:00.000,,,,,,,
"REIS TRANSPORT SERVICES, LLC",LLC,Dissolved,1333694,2022-03-31,4 MEADOWBROOK  DR,SHELTON,United States,06484,CT,annareis@comcast.net,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",484122.0,2021-11-10 00:08:36.9333333,,,,,,,,,,,,,,,,,,2021-07-19T00:00:00.000,,,,,,,
GOMES ROCHA CONSTRUCTION LLC,LLC,Active,1333695,2021-03-31,12 TOWER PL 2FL,DANBURY,United States,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
DENVER FIREPLACE PRODUCTS LLC,LLC,Active,1333696,2022-03-31,239 HEMINGWAY AVENUE,EAST HAVEN,United States,06512,CT,compliance@ZENBUSINESS.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,All Other Home Furnishings Stores (442299),,2021-11-10 00:08:36.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
M SQUARE LLC,LLC,Active,1333697,2021-03-31,"34 EAST MAIN ST, #346",SMITHTOWN,,11787,NY,KARINMMURPHY@GMAIL.COM,Domestic,2020-01-21,NY,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
RAMOS CONSTRUCTION SERVICES LLC,LLC,Active,1333698,2021-03-31,"3880 MAIN ST 1FL, APT 3",BRIDGEPORT,United States,06606,CT,KELLYSOUZADMV@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
CHUCKS AUTO REPAIR LLC,LLC,Active,1333699,2021-03-31,23 N 3RD ST 1ST FLOOR,MERIDEN,United States,06451,CT,WOLFLIFEATHLETICS@OUTLOOK.COM,Domestic,2020-01-21,CT,Connecticut,False,False,True,False,False,General Automotive Repair (811111),811111.0,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BFI PASSIVE HOLDINGS LLC,LLC,Active,1333700,2021-03-31,1336 E. PUTNAM AVE SUITE B106,OLD GREENWICH,United States,06870,CT,RBODEY@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"THE HAIR TREE, LLC",LLC,Active,1333702,2021-03-31,185 LAKE ROAD,ANDOVER,United States,06232,CT,THEHAIRTREECT@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"JULIAN CLAYTON, LLC",LLC,Active,1333703,2022-03-31,292 MELBA STREET,MILFORD,United States,06460,CT,compliance@ZENBUSINESS.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),,2021-11-10 00:08:36.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"WILTON MEDICAL REALTY, LLC",LLC,Active,1333704,2022-03-31,CONSTITUTION SURGERY ALLIANCE 100 AVON MEADOW LANE,AVON,United States,06001,CT,katiecistulli@cbfs.us,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:36.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
CAHILL OVERHEAD DOOR COMPANY LLC,LLC,Dissolved,1333705,2021-03-31,201 MAIN ST,MERIDEN,United States,06451,CT,CAHILLOVERHEADDOOR@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:36.9333333,,,,,,,,,,,,,,,,,,2021-04-28T00:00:00.000,,,,,,,
ELY LEGACY LLC,LLC,Active,1333706,2021-03-31,309 WILDWOOD RD,STAMFORD,United States,06903,CT,SAMSILVA007@HOTMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:36.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
SLAVES IN THE FAMILY LLC,LLC,Active,1333707,2022-03-31,20 BEECHWOOD LN,NEW HAVEN,United States,06511,CT,edwardball@mac.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Motion Picture and Video Production (512110),512110.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"ARNING COMPANIES, INC.",Stock,Active,1333711,2022-01-21,201 INDUSTRIAL PARK PLACE,CASSVILLE,United States,65625,MO,arningtax@arningco.com,Foreign,2020-01-21,MO,MO,False,False,False,False,False,Sheet Metal Work Manufacturing (332322),332322.0,2021-11-10 00:08:36.9800000,,2020-04-01,"ARNING COMPANIES, INC.",United States,,,,,,,,,,,,,,,,,,,,,
VAUDRAIN CONSULTING LLC,LLC,Active,1333712,2022-03-31,754 5 MILE RIVER ROAD,PUTNAM,United States,06260,CT,jmjss7@gmail.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Other Computer Related Services (541519),541519.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
M.T. LANDSCAPE INC,Stock,Active,1333713,2020-04-20,No information provided,,,,,MTLANDSCAPE1980@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:36.9800000,First report past due,,,,,,,,,,,,,,,,1000.0,,Failure to file First Report,,,,,,
"STYLE UP GREENWICH, LLC",LLC,Active,1333714,2022-03-31,80 MEADOW WOOD DRIVE,GREENWICH,United States,06830,CT,janinekennedyusa@gmail.com,Domestic,2020-01-21,CT,Connecticut,True,False,False,False,False,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",711320.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
ODAINE ANDERSON'S HOME IMPROVEMENT SERVICES LLC,LLC,Active,1333715,2021-03-31,23 MELROSE,HARTFORD,United States,06120,CT,ODAINE0324@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:36.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
ROOSTER'S LANDSCAPE & GARDEN SUPPLY LLC.,LLC,Active,1333718,2022-03-31,1 SKYLINE DR. 1 SKYLINE DR.,OXFORD,United States,06478,CT,KJLCJ2000@AOL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,"Nursery, Garden Center, and Farm Supply Stores (444220)",444220.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"LYRIC HALL CINEMA & COMMISSARY, LLP",LLP,Active,1333719,2021-01-21,12 ARBOR MEADOW DRIVE,PROSPECT,United States,06712,CT,MELISSA@ZIOCICCIO.COM,Domestic,2020-01-21,CT,Connecticut,True,False,True,False,False,Theater Companies and Dinner Theaters (711110),711110.0,2021-11-10 00:08:36.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JK LUXURY TRAVEL CORP.,Stock,Active,1333720,2022-01-28,175 DAVIS HILL ROAD,WESTON,United States,06883,CT,Betsy@mckennasachs.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Travel Agencies (561510),561510.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,20000.0,,,,,,,,
ANIBAL HOME IMPROVEMENTS LLC,LLC,Active,1333721,2022-03-31,520 SUCCESS AVE,BRIDGEPORT,United States,06610,CT,Anibalhomeimprovement@gmail.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"J.H.DEE, MSN, FNP LLC",LLC,Active,1333722,2022-03-31,150 EPISCOPAL ROAD,BERLIN,United States,06037,CT,JUANITA.DEE13@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,True,False,True,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"STONERIDGE ASSOCIATES, LLC",LLC,Active,1333723,2022-03-31,11BUSINESS PARK DRIVE,BRANFORD,United States,06405,CT,bill@andersonwilcox.com,Domestic,2020-01-21,CT,Connecticut,True,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"CHERRY ROSE DANCE, LLC",LLC,Active,1333724,2022-03-31,"2110 WESTBURY COURT, 3H",BROOKLYN,United States,11225,NY,eteam@eminutes.com,Foreign,2020-01-21,DE,DE,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:36.9800000,,2020-01-21,"CHERRY ROSE DANCE, LLC",United States,"1013 CENTRE ROAD SUITE 403S, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403S,WILMINGTON,DE,19805,United States,"1013 CENTRE ROAD SUITE 403S, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403S,WILMINGTON,DE,19805,United States,,,,,,,,,
SILVA REALTY LLC,LLC,Active,1333725,2022-03-31,309 WILDWOOD RD,STAMFORD,United States,06903,CT,sam@planetpizza.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"OHMS ELECTRIC, LLC",LLC,Active,1333726,2022-03-31,26 UPSON STREET APT 2-1,BRISTOL,United States,06010,CT,ohmselectricct@gmail.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:08:36.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"110 PERCENT PRODUCTIONS, INC.",Stock,Withdrawn,1333727,2021-01-21,500 EAST GRAND AVE.,EL SEGUNDO,United States,90245,CA,FILINGNOTICE@EMINUTES.COM,Foreign,2020-01-21,CA,CA,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:37.5433333,,2020-01-21,"110 PERCENT PRODUCTIONS, INC.",United States,,,,,,,,,,,,,,,,,,,,,
UPLIFT AND RECOVER LLC,LLC,Active,1333728,2022-03-31,2911 DIXWELL AVE 3RD FL SUITE 300,HAMDEN,United States,06518,CT,maria@upliftandrecover.com,Domestic,2020-01-21,CT,Connecticut,True,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),,2021-11-10 00:08:37.5433333,,,,,,,,,,,,,,,,,,,,,,,,,
ZRL MECHANICAL LLC,LLC,Active,1333729,2022-03-31,99 LAWNCREST ROAD,NEW HAVEN,United States,06515,CT,zlucarelli632@gmail.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:37.5433333,,,,,,,,,,,,,,,,,,,,,,,,,
"MEASURE TWICE SIGNS, LLC",LLC,Active,1333730,2022-03-31,345 SOUTH ELM STREET,WALLINGFORD,United States,06492,CT,champagne_daniel@yahoo.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:08:37.5433333,,,,,,,,,,,,,,,,,,,,,,,,,
PIKORUA LLC,LLC,Dissolved,1333731,2022-03-31,32 NORTH STONINGTON RD,MYSTIC,United States,06355,CT,neri.giorgia@gmail.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,2021-11-10 00:08:37.5433333,,,,,,,,,,,,,,,,,,2021-10-30T00:00:00.000,,,,,,,
LNI SWISSGAS US LLC,LLC,Active,1333732,2022-03-31,433 S. MAIN ST SUITE 217,WEST HARTFORD,United States,06110,CT,JOHN.SPERANZA@COMCAST.NET,Domestic,2020-01-21,CT,Connecticut,False,True,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:37.5433333,,,,,,,,,,,,,,,,,,,,,,,,,
M&N LLC,LLC,Active,1333733,2021-03-31,730 BROOKLAWN AVE,FAIRFIELD,United States,06825,CT,SHIRAZCH@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,True,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:08:37.5600000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
772 RUSSELL LLC,LLC,Active,1333734,2021-03-31,10 LOUGHLIN AVENUE,COS COB,United States,06807,CT,BRADMARKOWITZ@AOL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:37.5600000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
FRC CAPITAL LLC,LLC,Active,1333735,2022-03-31,545 SCOTLAND ROAD,NORWICH,United States,06360,CT,compliance@ZENBUSINESS.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),,2021-11-10 00:08:37.5600000,,,,,,,,,,,,,,,,,,,,,,,,,
STEELE THERAPY SERVICES LLC,LLC,Active,1333736,2022-03-31,39 PUTTING GREEN LANE,PROSPECT,United States,06712,CT,jarsteele@yahoo.com,Domestic,2020-01-21,CT,Connecticut,True,False,False,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,2021-11-10 00:08:37.5600000,,,,,,,,,,,,,,,,,,,,,,,,,
INSPIRE NUTRITION COUNSELING LLC,LLC,Active,1333738,2022-03-31,116 MILE COMMON,EASTON,United States,06612,CT,compliance@ZENBUSINESS.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),,2021-11-10 00:08:37.5600000,,,,,,,,,,,,,,,,,,,,,,,,,
JOE BOURQUE CUSTOM WOODWORKS LLC,LLC,Active,1333740,2022-03-31,27 WALNUT HILL ROAD,HARTLAND,United States,06027,CT,JOEBOUR3@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),,2021-11-10 00:08:37.5600000,,,,,,,,,,,,,,,,,,,,,,,,,
BDP WOODWORK DESIGN LLC,LLC,Active,1333741,2022-03-31,1066 WINDSOR AVENUE,WINDSOR,United States,06095,CT,compliance@ZENBUSINESS.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Nonupholstered Wood Household Furniture Manufacturing (337122),,2021-11-10 00:08:37.5600000,,,,,,,,,,,,,,,,,,,,,,,,,
RE'GINE BOUTIQUE LLC,LLC,Active,1333742,2021-03-31,145 SMITH STREET FLOOR 3,NEW BRITAIN,United States,06053,CT,REGINEBOUTIQUE@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,True,False,True,False,False,Family Clothing Stores (448140),448140.0,2021-11-10 00:08:37.5600000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
CT FINEST CLEANING SERVICES LLC,LLC,Active,1333794,2021-03-31,21 3RD STREET UNIT 2,WATERBURY,,06708,CT,CTFINESTCLEANINGSERVICES@YAHOO.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:37.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
PAWTTY BREAK LLC,LLC,Active,1333826,2021-03-31,17 EMMA ROAD,STAMFORD,,06905,CT,,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"RELIABLE PAVING, LLC.",LLC,Active,1333860,2022-03-31,828 ROUTE 32,FRANKLIN,United States,06254,CT,reliablepavingllc@gmail.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),,2021-11-10 00:08:38.8400000,,,,,,,,,,,,,,,,,,,,,,,,,
"ENVISION THERAPIES, LLC",LLC,Active,1333862,2022-03-31,101 NORTH MAIN ST 312,BEACON FALLS,United States,06403,CT,Envisiontherapiesllc@gmail.com,Domestic,2020-01-21,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),,2021-11-10 00:08:38.8400000,,,,,,,,,,,,,,,,,,,,,,,,,
"STYLE, LLC",LLC,Active,1333865,2021-03-31,1022 BOULEVARD UNIT 192,WEST HARTFORD,,06119,CT,,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.8400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"CHIP'S REBUILDING, LLC",LLC,Active,1333868,2022-03-31,121 PARK AVENUE,EAST HARTFORD,United States,06108,CT,chipsrebuilding@gmail.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),,2021-11-10 00:08:38.8400000,,,,,,,,,,,,,,,,,,,,,,,,,
"STEPHANIE MORELLI, LCSW, LLC",LLC,Dissolved,1333872,2021-03-31,"420 HIGHLAND AVENUE BUILDING B, SUITE B1",CHESHIRE,,06410,CT,STEPHANIEMORELLILCSW@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.8866667,,,,,,,,,,,,,,,,,,2021-03-30T00:00:00.000,,,,,,,
CAERUS LLC,LLC,Active,1333889,2022-03-31,84 11 O'CLOCK ROAD,WESTON,United States,06883,CT,paul_m_morrison@yahoo.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),,2021-11-10 00:08:38.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
UPSIDE ENTERPRISES LLC,LLC,Active,1333961,2021-03-31,5 KIRBY RD.,WASHINGTON,United States,06793,CT,THEPOCAFE@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"VORTEX SERVICES, LLC",LLC,Active,1333962,2022-03-31,18150 IMPERIAL VALLEY DRIVE,HOUSTON,United States,77060,TX,complianceteam@cogencyglobal.com,Foreign,2020-01-21,DE,DE,False,False,False,False,False,Water and Sewer Line and Related Structures Construction (237110),0.0,2021-11-10 00:08:36.3400000,,2020-01-01,"VORTEX SERVICES, LLC",United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,,,,,,,,,
F & L HOME IMPROVEMENT LLC,LLC,Active,1333968,2021-03-31,101 CLINTON ST,MANCHESTER,,06040,CT,MUSA1369@ICLOUD.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:36.8866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"FRIARS & PERKINS, LLC",LLC,Active,1333969,2022-03-31,3 SUMMER BROOK WAY,SEYMOUR,United States,06483,CT,doract203@aol.com,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),,2021-11-10 00:08:36.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
"AQUINO CLEANING, LLC",LLC,Active,1334035,2021-03-31,48 PHELPS STREET,EAST HARTFORD,,06108,CT,SAQUINO255@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:37.5600000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
S ZARZECKI REALTY LLC,LLC,Active,1334039,2021-03-31,35 BRUCE AVE,SOUTHINGTON,,06489,CT,,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:37.5900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
WICKED GOOD PIZZA COMPANY LLC,LLC,Dissolved,1333597,2021-03-31,1000 TOLLAND TPK,MANCHESTER,United States,06042,CT,STACIHOPE79@AOL.COM,Domestic,2020-01-21,CT,Connecticut,True,True,False,True,False,Mobile Food Services (722330),,2021-11-10 00:04:29.7800000,,,,,,,,,,,,,,,,,,2020-05-14T00:00:00.000,,,,,,,
PAY SOLUTIONS 1 LLC,LLC,Dissolved,1333661,2021-03-31,17 HAMDEN PARK DR SUITE 1B,ROCKY HILL,United States,06067,CT,CONTACT@ISELACCOUNTING.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Wholesale Trade Agents and Brokers (425120),,2021-11-10 00:04:31.2500000,,,,,,,,,,,,,,,,,,2020-11-19T00:00:00.000,,,,,,,
PAY ENTEGRA LLC,LLC,Dissolved,1333602,2021-03-31,17 HAMDEN PARK DR SUITE 1B,HAMDEN,United States,06517,CT,CONTACT@ISELACCOUNTING.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,Wholesale Trade Agents and Brokers (425120),,2021-11-10 00:05:11.2966667,,,,,,,,,,,,,,,,,,2020-11-18T00:00:00.000,,,,,,,
KBMR CORP,Non-Stock,Dissolved,1333671,2021-01-27,36 NORWAY ST,MILFORD,United States,06461,CT,KB.MOHANARAJAN@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,All Other Information Services (519190),,2021-11-10 00:05:46.3200000,,,,,,,,,,,,,,,,,,2020-10-03T00:00:00.000,,,,,,,
PRO KRIS CONSTRUCTION LLC,LLC,Dissolved,1334033,2021-03-31,65 PARKLAND DRIVE,STRATFORD,,06614-1527,CT,KRIS-CONSTRUCTION@HOTMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:38.3333333,,,,,,,,,,,,,,,,,,2020-10-13T00:00:00.000,,,,,,,
MULTILINGUAL RESOURCE SERVICES LLC.,LLC,Dissolved,1333685,2021-03-31,87 GRANT STREET,BRIDGEPORT,United States,06610,CT,MULTILINGUALRESOURCES20@GMAIL.COM,Domestic,2020-01-21,CT,Connecticut,False,False,False,False,False,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) (923130)",,2021-11-10 00:03:53.9133333,,,,,,,,,,,,,,,,,,2020-11-13T00:00:00.000,,,,,,,
BEVELEN CLEANING SERVICES LLC,LLC,Active,1333552,2021-03-31,14D JOHN OLDS DRIVE,MANCHESTER,United States,06042,CT,LULIMALDONADO1@GMAIL.COM,Domestic,2020-01-22,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:08:38.8400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"CENTERPOINT APARTMENTS, LLC",LLC,Active,1333553,2021-03-31,110 COURT ST SUITE 1,CROMWELL,United States,06416,CT,INFO@BUILDINGCT.COM,Domestic,2020-01-22,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:38.8400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
1142 MAIN STREET GROUND LESSOR LLC,LLC,Active,1333554,2021-03-31,"C/O CENTERCORP RETAIL PROPERTIES, INC. 600 LORING AVE",SALEM,,01970,MA,GAIL@CENTERCORPRETAIL.COM,Domestic,2020-01-22,MA,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.8400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
MATTHEW J. YOUNG PSY D PC,Stock,Active,1333562,2021-01-22,10 DEKALB AVE STE 203,WHITE PLAINS,,10605,NY,MATTHEWYOUNGPSYD@GMAIL.COM,Foreign,2020-01-22,FL,FL,False,False,False,False,False,,,2021-11-10 00:08:38.8866667,Annual report past due,2020-01-01,MATTHEW J. YOUNG PSY. D. PA,,,,,,,,,,,,,,,,,,,,,,
ROLANDO IXPERPUAC LLC,LLC,Active,1333576,2021-03-31,27 NATCHAUG ST,WILLIMANTIC,,06226,CT,,Domestic,2020-01-22,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:38.9200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JAIME RAMIREZ A LLC,LLC,Active,1333580,2021-03-31,35 LINES ST FL 1,NEW HAVEN,,06519,CT,,Domestic,2020-01-22,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:38.9200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
90 PARK APARTMENTS LLC,LLC,Active,1333582,2021-03-31,777 MAIN ST #2205,HARTFORD,United States,06103,CT,AXELOST5@YAHOO.COM,Domestic,2020-01-22,CT,Connecticut,False,False,True,False,False,,,2021-11-10 00:08:38.9200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"MOBILE NOTARY OF SOUTHERN CT, LLC",LLC,Active,1333595,2022-03-31,35 LINDEN SHORES,BRANFORD,United States,06405,CT,mobilenotarysoct@gmail.com,Domestic,2020-01-22,CT,Connecticut,True,False,True,False,False,All Other Legal Services (541199),,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
217 BROADWAY MILFORD LLC,LLC,Active,1333612,2022-03-31,123 MILFORD POINT RD.,MILFORD,United States,06460,CT,abe.yale@gmail.com,Domestic,2020-01-22,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),0.0,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
