name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address
"JAY,S LOCKSMITH LLC",LLC,Active,Annual report past due,1358978,2021-03-31,176 SPENCER ST. APT C,NAUGATUCK,United States,06770-4570,CT,EESCALANTE218@GMAIL.COM,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.3200000,,,,,,,,,,,,,,,,,,,,,,
FITNESSANDPERSONALTRAINING.COM LLC,LLC,Active,,1358979,2022-03-31,25 GREENWICH WAY,MILFORD,United States,06460,CT,danielscott0223@gmail.com,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,All Other Information Services (519190),,2021-11-10 00:12:36.3200000,,,,,,,,,,,,,,,,,,,,,,
GDW AFFILIATES LLC,LLC,Active,Annual report past due,1358980,2021-03-31,75 DART ST,HARTFORD,United States,06106,CT,GWALKER0524@GMAIL.COM,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.3200000,,,,,,,,,,,,,,,,,,,,,,
PROMO SOCIAL LLC,LLC,Active,Annual report past due,1358981,2021-03-31,27768 N 110TH PL,SCOTTSDALE,United States,85262,AZ,ANNA@PROMOSOCIAL.COM,Foreign,2020-09-15,AZ,AZ,False,False,False,False,False,Advertising Agencies (541810),541810.0,2021-11-10 00:12:36.3200000,2019-05-24,PROMO SOCIAL LLC,United States,,"27768 N 110TH PL, SCOTTSDALE, AZ, 85262, United States",27768 N 110TH PL,SCOTTSDALE,AZ,85262,United States,"27768 N 110TH PL, SCOTTSDALE, AZ, 85262, United States",27768 N 110TH PL,SCOTTSDALE,AZ,85262,United States,,,,,,
THE HUTCHINSON HUSTLE LLC,LLC,Active,,1358982,2022-03-31,13 JUDD AVE,BETHEL,United States,06801,CT,patricia.hutchinson928@gmail.com,Domestic,2020-09-15,CT,Connecticut,True,False,True,True,False,Ice Cream and Frozen Dessert Manufacturing (311520),311520.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
1ST CHOICE TRANSPORT LLC,LLC,Active,Annual report past due,1358983,2021-03-31,394 LEDYARD ST,HARTFORD,United States,06106,CT,LETTER4PITO@GMAIL.COM,Domestic,2020-09-15,CT,Connecticut,False,False,True,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"SAINT CARE, LLC",LLC,Active,,1358984,2022-03-31,100 DANIELS FARM ROAD,TRUMBULL,United States,06611,CT,nyckole_2@yahoo.com,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,Services for the Elderly and Persons with Disabilities (624120),624120.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
MAPPING COLLECTION LLC,LLC,Active,,1358985,2022-03-31,61 HIGH MEADOW LANE,MYSTIC,United States,06355,CT,neetpalmer@hotmail.com,Domestic,2020-09-15,CT,Connecticut,True,False,False,False,False,"Data Processing, Hosting, and Related Services (518210)",518210.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
VILE LLC,LLC,Active,Annual report past due,1358986,2021-03-31,1067 CAMPBELL AVENUE,WEST HAVEN,United States,06516,CT,KINGPANTRY@GMAIL.COM,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"NS STRONG, LLC",LLC,Active,Annual report past due,1358987,2021-03-31,14 ROCKY POINT ROAD,OLD GREENWICH,United States,06870-2314,CT,PBUCCIERI107@GMAIL.COM,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,Other Financial Vehicles (525990),525990.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"PAQUIN COUNSELING SERVICES, LLC",LLC,Active,,1358988,2022-03-31,20 GROVE STREET,TRUMBULL,United States,06611,CT,paquincounseling@gmail.com,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
TAKE BACK YOUR POWER L.L.C.,LLC,Dissolved,,1358989,2022-03-31,1688 SOUTH MAIN STREET,CHESHIRE,United States,06410,CT,camilleboyd@camilleboyd.com,Domestic,2020-09-15,CT,Connecticut,True,False,True,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
KITTY HEAVEN LLC,LLC,Active,Annual report past due,1358990,2021-03-31,"2260 FAIRFIELD AVENUE, 2C",BRIDGEPORT,United States,06605,CT,KITTYHEAVENLLC@GMAIL.COM,Domestic,2020-09-15,CT,Connecticut,True,False,True,False,False,All Other Health and Personal Care Stores (446199),446199.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
JKCLW LLC,LLC,Active,,1358991,2022-03-31,28 EAST BYWAY,GREENWICH,United States,06831,CT,jenniferbenedict19@gmail.com,Domestic,2020-09-15,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
OVERWORLD LLC,LLC,Active,Annual report past due,1358992,2021-03-31,"360-B QUEEN ST, PMB#140",SOUTHINGTON,United States,06489,CT,OVERWORLD.CO@GMAIL.COM,Domestic,2020-09-15,CT,Connecticut,False,False,True,False,False,Musical Groups and Artists (711130),711130.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"CLEAN COATING INVESTMENT FUND I, LLC",LLC,Active,,1358995,2022-03-31,10 MIDDLE STREET 15TH FLOOR,BRIDGEPORT,United States,06604,CT,bobrien@zeislaw.com,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"LULU ASSOCIATES, LLC",LLC,Active,,1358996,2022-03-31,2 TURTLE WALK,KEY BISCAYNE,United States,33149,FL,jferguson@fercolaw.com,Domestic,2020-09-15,FL,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"KLINC, LLC",LLC,Active,,1358997,2022-03-31,1011 WASHINGTON BLVD UNIT 1809,STAMFORD,United States,06901,CT,s.k.christina@gmail.com,Foreign,2020-09-15,NY,NY,False,False,False,False,False,All Other Personal Services (812990),,2021-11-10 00:12:36.9933333,2020-08-01,"KLINC, LLC",United States,,"90 STATE STREET STE 700 OFFICE 40, ALBANY, NY, 12207, United States",90 STATE STREET STE 700 OFFICE 40,ALBANY,NY,12207,United States,"90 STATE STREET STE 700 OFFICE 40, ALBANY, NY, 12207, United States",90 STATE STREET STE 700 OFFICE 40,ALBANY,NY,12207,United States,,,,,,
"OP PHARMACY, LLC",LLC,Active,,1359001,2022-03-31,805 N. WHITTINGTON PARKWAY,LOUISVILLE,United States,40222,KY,Compliancemail@cscinfo.com,Foreign,2020-09-15,DE,DE,False,False,False,False,False,Pharmacies and Drug Stores (446110),446110.0,2021-11-10 00:12:37.6333333,2020-08-03,"OP PHARMACY, LLC",United States,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,
"JERRY KACHEL BUILDER, INC.",Stock,Active,Annual report past due,1359005,2021-09-15,6518 KLEIN CEMETARY RD,SPRING,,77379,TX,JENNY@JKBUILDER.COM,Foreign,2020-09-15,TX,TX,False,False,False,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:12:37.6500000,2020-09-15,"JERRY KACHEL BUILDER, INC.",,,,,,,,,,,,,,,,,,,,
STORRS HFX LLC,LLC,Active,Annual report past due,1359014,2021-03-31,C/O GRANT STREET FUNDING 2828 ROUTH ST. #655,DALLAS,,75201,TX,,Foreign,2020-09-15,DE,DE,False,False,False,False,False,,,2021-11-10 00:12:37.6500000,2020-09-18,STORRS HFX LLC,,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,,,,,,
FUN AND FUNKY VINTAGE LLC,LLC,Active,Annual report past due,1359020,2021-03-31,22 BAYVIEW AVENUE STUDIO 9S,STONINGTON,,06378,CT,KATIESIMLICK@YAHOO.COM,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
"SAFARI ENERGY, LLC",LLC,Active,,1359031,2022-03-31,1407 BROADWAY 24TH FLOOR,NEW YORK,United States,10018,NY,aaleyden@pplweb.com,Foreign,2020-09-15,DE,DE,False,False,False,False,False,Solar Electric Power Generation (221114),,2021-11-10 00:12:38.3200000,2020-07-13,"SAFARI ENERGY, LLC",United States,,,,,,,,,,,,,,,,,,,
21 VALLEY ROAD LLC,LLC,Active,Annual report past due,1359048,2021-03-31,21 VALLEY RD,FAIRFIELD,,06825,CT,,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:39.5866667,,,,,,,,,,,,,,,,,,,,,,
CERTUS DELIVERY LLC,LLC,Active,,1359079,2022-03-31,48 BOSTON POST ROAD,ORANGE,United States,06477,CT,certusdeliveryct@gmail.com,Domestic,2020-09-15,CT,Connecticut,False,True,False,False,False,Couriers and Express Delivery Services (492110),492110.0,2021-11-10 00:12:40.3833333,,,,,,,,,,,,,,,,,,,,,,
EAGLE PROPERTIES ENTERPRISES LLC,LLC,Active,,1359200,2022-03-31,484 ORANGE STREET,NEW HAVEN,United States,06511,CT,eagleproperties7@gmail.com,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
"HARTFORD REGIONAL INVESTMENT FUND, INC.",Non-Stock,Active,First report past due,1359207,2020-12-14,No information provided,,,,,,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,All Other Nondepository Credit Intermediation (522298),522298.0,2021-11-10 00:12:45.8533333,,,,,,,,,,,,,,,,,,,,,,
AKIVA SMITH LLC,LLC,Active,Annual report past due,1359230,2021-03-31,23 WITZEL COURT,MONSEY,United States,10952,NY,STATENOTICES@VCORPSERVICES.COM,Domestic,2020-09-15,NY,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:46.5100000,,,,,,,,,,,,,,,,,,,,,,
"CIVIS ANALYTICS, INC.",Stock,Active,,1359315,2022-09-15,200 W MONROE ST STE2200,CHICAGO,United States,60606,IL,tax@civisanalytics.com,Foreign,2020-09-15,DE,DE,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:38.3366667,2020-08-27,"CIVIS ANALYTICS, INC.",,,,,,,,,,,,,,,,,tax@civisanalytics.com,,,
REBEL DOG HOLDING CO LLC,LLC,Active,,1359701,2022-03-31,47 NORTHAMPTON LANE,PLAINVILLE,United States,06062,CT,harrison@rebeldogcoffeeco.com,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,Food Service Contractors (722310),,2021-11-10 00:12:42.6800000,,,,,,,,,,,,,,,,,,,,,,
REBEL DOG COFFEE CO 4 LLC,LLC,Active,Annual report past due,1359706,2021-03-31,47 NORTHAMPTON LANE,PLAINVILLE,,06062,CT,,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.6800000,,,,,,,,,,,,,,,,,,,,,,
ALECRIM CLEANING & SERVICES LLC,LLC,Dissolved,,1358916,2021-03-31,8 NORIAS RD,GREENWICH,United States,06830,CT,ISAALECRIMNT@ICLOUD.COM,Domestic,2020-09-15,CT,Connecticut,True,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),,2021-11-10 00:04:38.2966667,,,,,,,,,,,,,,,,,2020-10-06T00:00:00.000,,,,,
COME AS YOU ARE MINISTRIES INC.,Non-Stock,Dissolved,,1359296,2020-12-14,No information provided,,,,,,Domestic,2020-09-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:46.9800000,,,,,,,,,,,,,,,,,2020-10-15T00:00:00.000,,,,,
SELDOM SEEN LLC,LLC,Active,,1357673,2022-03-31,169 REDDING ROAD,EASTON,United States,06612,CT,shields.thomson@gmail.com,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:43.9466667,,,,,,,,,,,,,,,,,,,,,,
NAYA COSMETICS LLC,LLC,Active,,1358844,2022-03-31,177 MYANO LANE APT 302,STAMFORD,United States,06902,CT,Naya20cosmetics@gmail.com,Domestic,2020-09-16,CT,Connecticut,True,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",,2021-11-10 00:12:43.3200000,,,,,,,,,,,,,,,,,,,,,,
"SHEHU ASSET MANAGEMENT, LLC",LLC,Active,,1358993,2022-03-31,88 RAILSTONE DRIVE,SOUTHBURY,United States,06488,CT,sam.shehu70@gmail.com,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
TACTICAL DEFENSE SECURITY LLC,LLC,Active,Annual report past due,1358994,2021-03-31,1620 NORMAN STREET,BRIDGEPORT,United States,06604,CT,TACT.DEFENSE@YAHOO.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Security Guards and Patrol Services (561612),561612.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"REMEDY RESIDENTIAL, LLC",LLC,Active,,1358998,2022-03-31,150 PEAR TREE POINT ROAD,DARIEN,United States,06820,CT,dbolotin@optonline.net,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"MISHKAN, LLC",LLC,Active,Annual report past due,1358999,2021-03-31,555 MADISON AVENUE,LAKEWOOD,United States,08701,NJ,RIVKY@ARIALEGACYGROUP.COM,Domestic,2020-09-16,NJ,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:36.9933333,,,,,,,,,,,,,,,,,,,,,,
"PANDEMONIUM BREW CO, LLC",LLC,Active,,1359002,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,contact@pandemoniumbrewco.com,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Breweries (312120),,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
"WORLD FINANCIAL GROUP INSURANCE AGENCY, LLC",LLC,Active,,1359004,2022-03-31,11315 JOHNS CREEK PKWY,JOHNS CREEK,United States,30097,GA,CORPORATE.SECRETARIAL@TRANSAMERICA.COM,Foreign,2020-09-16,IA,IA,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:12:37.6500000,2020-09-16,"WORLD FINANCIAL GROUP INSURANCE AGENCY, LLC",United States,,"4333 EDGEWOOD RD NE, CEDAR RAPIDS, IA, 52499, United States",4333 EDGEWOOD RD NE,CEDAR RAPIDS,IA,52499,United States,"4333 EDGEWOOD RD NE, CEDAR RAPIDS, IA, 52499, United States",4333 EDGEWOOD RD NE,CEDAR RAPIDS,IA,52499,United States,,,,,,
ONYX TRUCKING INC,Stock,Active,First report past due,1359006,2020-12-15,No information provided,,,,,JASSBO@AOL.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:12:37.6500000,,,,100.0,,,,,,,,,,,,,,,,,,
ABOVEIT LLC,LLC,Active,,1359007,2022-03-31,910 DELILAH DR,WINDSOR,United States,06095,CT,mouhamadoucissebusiness@gmail.com,Domestic,2020-09-16,CT,Connecticut,False,False,True,False,False,All Other Personal Services (812990),,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
STRAIN PROXIES LLC,LLC,Active,,1359008,2022-03-31,11 ABBEY LN UNIT 1509,DANBURY,United States,06810,CT,EFILE1234@INCFILE.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Other Computer Related Services (541519),,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
CHEESY AF LLC,LLC,Active,Annual report past due,1359009,2021-03-31,67 VIEW ST FIRST FLOOR,TORRINGTON,United States,06790,CT,EFILE1234@INCFILE.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
ACOSTA & SON LLC,LLC,Active,Annual report past due,1359010,2021-03-31,134 WINFIELD DR,NEW BRITAIN,United States,06053,CT,EFILE1234@INCFILE.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
"ROOTED TECHNOLOGY, LLC",LLC,Active,Annual report past due,1359011,2021-03-31,589 LANDGROVE ROAD,LONDONDERRY,United States,05148,VT,INFO@ROOTEDTECHNOLOGY.COM,Domestic,2020-09-16,VT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
"SCHLEP RIGHT I, INC.",Stock,Active,Annual report past due,1359012,2022-01-22,18 PINE BROOK LANE,WEST HARTFORD,United States,06107,CT,MAIL2LLOYD@YAHOO.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),492110.0,2021-11-10 00:12:37.6500000,,,,5000.0,,,,,,,,,,,,,,,,,,
"SCHLEP RIGHT II, INC.",Stock,Active,Annual report past due,1359013,2022-01-22,18 PINE BROOK LANE,WEST HARTFORD,United States,06107,CT,MAIL2LLOYD@YAHOO.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),492110.0,2021-11-10 00:12:37.6500000,,,,5000.0,,,,,,,,,,,,,,,,,,
"566 LINDLEY, LLC",LLC,Active,,1359017,2022-03-31,323 NORTH AVENUE,BRIDGEPORT,United States,06606,CT,laura@dinardoent.com,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:37.6500000,,,,,,,,,,,,,,,,,,,,,,
DLF LLC,LLC,Active,Annual report past due,1359023,2021-03-31,2020 NORWICH NEWLONDON TPKE,UNCASVILLE,United States,06382,CT,FOUTS1968@YAHOO.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:38.3200000,,,,,,,,,,,,,,,,,,,,,,
GS FOUNDATION OF STRATFORD INC,Non-Stock,Active,Annual report due,1359024,2021-11-16,1345 BARNUM AVE STE 9,STRATFORD,United States,06614,CT,SUCCESS@RESILIA.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Other Social Advocacy Organizations (813319),813319.0,2021-11-10 00:12:38.3200000,,,,,,,,,,,,,,,,,,,,,,
PITKIN CAR WASH LLC,LLC,Active,Annual report past due,1359025,2021-03-31,91 PITKIN STREET,EAST HARTFORD,United States,06108,CT,JIM@WEINBERGPC.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:38.3200000,,,,,,,,,,,,,,,,,,,,,,
"SHELBOURNE GLOBAL SOLUTIONS HARTFORD, LLC",LLC,Active,Annual report past due,1359026,2021-03-31,2362 NOSTRAND AVE,BROOKLYN,United States,11210,NY,FILINGS@VCORPSERVICES.COM,Foreign,2020-09-16,NY,NY,False,False,False,False,False,,,2021-11-10 00:12:38.3200000,2020-09-16,"SHELBOURNE GLOBAL SOLUTIONS HARTFORD, LLC",United States,,"2362 NOSTRAND AVE, BROOKLYN, NY, 11210, United States",2362 NOSTRAND AVE,BROOKLYN,NY,11210,United States,"2362 NOSTRAND AVE, BROOKLYN, NY, 11210, United States",2362 NOSTRAND AVE,BROOKLYN,NY,11210,United States,,,,,,
EDVIN APPLIANCE REPAIR LLC,LLC,Active,,1359027,2022-03-31,13 GOLDEN HILL RD,DANBURY,United States,06811,CT,Edvinespana@yahoo.com,Domestic,2020-09-16,CT,Connecticut,False,False,True,False,False,Appliance Repair and Maintenance (811412),811412.0,2021-11-10 00:12:38.3200000,,,,,,,,,,,,,,,,,,,,,,
"TANGIBLE JESUS, LLC",LLC,Active,,1359028,2022-03-31,220 E. MAIN ST.,VERNON ROCKVILLE,United States,06066,CT,Kim.Giansanti@outlook.com,Domestic,2020-09-16,CT,Connecticut,True,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:38.3200000,,,,,,,,,,,,,,,,,,,,,,
REVOLUTIONARY PROPERTY MANAGEMENT LLC,LLC,Active,,1359029,2022-03-31,164 FELLOWS RD LOT 4,OAKDALE,United States,06370,CT,revolutionarypropertymanagement@yahoo.com,Domestic,2020-09-16,CT,Connecticut,True,False,True,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:38.3200000,,,,,,,,,,,,,,,,,,,,,,
"GLANBIA NUTRITIONALS, INC.",Stock,Active,,1359030,2022-09-16,227 WEST MONROE STREET SUITE 5100,CHICAGO,United States,60606,IL,govdocs@corpcreations.com,Foreign,2020-09-16,DE,DE,False,False,False,False,False,Food (Health) Supplement Stores (446191),311999.0,2021-11-10 00:12:38.3200000,2020-07-06,"GLANBIA NUTRITIONALS, INC.",United States,,,,,,,,,,,,,,,,,,,
GINA DORN LLC,LLC,Active,,1359032,2022-03-31,34 CHURCH HILL ROAD,NEWTOWN,United States,06470,CT,Gina.stevennicolesalon@gmail.com,Domestic,2020-09-16,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:38.3366667,,,,,,,,,,,,,,,,,,,,,,
BLACKROCK LLC,LLC,Active,,1359033,2022-03-31,570 BLACK ROCK TPKE,FAIRFIELD,United States,06825,CT,properties.rattigan@gmail.com,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:38.3366667,,,,,,,,,,,,,,,,,,,,,,
LEGENDARY REALTY MANAGEMENT LLC,LLC,Active,Annual report past due,1359034,2021-03-31,31 RANDOLPH AVE,WATERBURY,United States,06710,CT,DAVID@YEGCPA.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:38.3366667,,,,,,,,,,,,,,,,,,,,,,
"DEUTSER, LLC",LLC,Active,,1359036,2022-03-31,5847 SAN FELIPE ST STE 2500,HOUSTON,United States,77057,TX,info@deutser.com,Foreign,2020-09-16,TX,TX,False,False,False,False,False,Professional Organizations (813920),813920.0,2021-11-10 00:12:38.3366667,2020-08-17,"DEUTSER, LLC",United States,,"5847 SAN FELIPE ST STE 2500, HOUSTON, TX, 77057, United States",5847 SAN FELIPE ST STE 2500,HOUSTON,TX,77057,United States,"5847 SAN FELIPE ST STE 2500, HOUSTON, TX, 77057, United States",5847 SAN FELIPE ST STE 2500,HOUSTON,TX,77057,United States,,,,,,
"ATIAS PHARMA, LLC",LLC,Active,,1359038,2022-03-31,50 ROCK HILL ROAD,WOODBRIDGE,United States,06525,CT,bpusch@puschgal.com,Foreign,2020-09-16,DE,DE,False,False,False,False,False,Research and Development in Biotechnology (except Nanobiotechnology) (541714),541714.0,2021-11-10 00:12:38.3366667,2019-01-17,"ATIAS PHARMA, LLC",United States,,,,,,,,,,,,,,,,,,,
"GLANBIA NUTRITIONALS (NA), INC.",Stock,Active,,1359039,2022-09-16,"2840 LOKER AVENUE, EAST",CARLSBAD,United States,92010,CA,govdocs@corpcreations.com,Foreign,2020-09-16,DE,DE,False,False,False,False,False,Food (Health) Supplement Stores (446191),311999.0,2021-11-10 00:12:39.5866667,2020-07-06,"GLANBIA NUTRITIONALS (NA), INC.",United States,,,,,,,,,,,,,,,,,,,
DH EXPRESS LLC,LLC,Active,Annual report past due,1359040,2021-03-31,127 WAHINGTON ST,WATERBURY,United States,06706,CT,DHCOURRIEREXPRESS@GMAIL.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),492110.0,2021-11-10 00:12:39.5866667,,,,,,,,,,,,,,,,,,,,,,
ARNOLD CONSTRUCTION LLC,LLC,Active,Annual report past due,1359041,2021-03-31,189 SOUTH MAIN STREET,SUFFIELD,United States,06078,CT,ERICARNOLD32@GMAIL.COM,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:39.5866667,,,,,,,,,,,,,,,,,,,,,,
DB PROPERTY SERVICES LLC,LLC,Active,,1359042,2022-03-31,196 FOX HILL RD,WETHERSFIELD,United States,06109,CT,Doneb24@cox.net,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:39.5866667,,,,,,,,,,,,,,,,,,,,,,
KENSINGTON REALTY LLC,LLC,Active,,1359043,2022-03-31,528 LAFAYETTE AVE,HAWTHORNE,United States,07506,NJ,rentnownj@yahoo.com,Foreign,2020-09-16,NJ,NJ,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:39.5866667,2020-10-01,KENSINGTON REALTY LLC,United States,,"528 LAFAYETTE AVE, HAWTHORNE, NJ, 07506, United States",528 LAFAYETTE AVE,HAWTHORNE,NJ,07506,United States,"528 LAFAYETTE AVE, HAWTHORNE, NJ, 07506, United States",528 LAFAYETTE AVE,HAWTHORNE,NJ,07506,United States,,,,,,
"TRINITY HEALTH OF NEW ENGLAND URGENT CARE, PLLC",LLC,Active,,1359044,2022-03-31,856 CROMWELL AVENUE,ROCKY HILL,United States,06067,CT,MCaruso@PHCUrgentCare.com,Domestic,2020-09-16,CT,Connecticut,False,False,False,False,False,All Other Outpatient Care Centers (621498),621111.0,2021-11-10 00:12:39.5866667,,,,,,,,,,,,,,,,,,,,,,
