name,business_type,status,accountnumber,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,annual_report_due_date,country_formation,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,total_authorized_shares,sub_status,mailing_international_address,dissolution_date,mail_jurisdiction,record_address,records_address_street,records_address_state,records_address_zip_code,records_address_country,records_address_city
Billeto Payments LLC,LLC,Active,2345914,2021-09-17,500 University Ave,,Palo Alto,United States,94301-1901,CA,nafis@elements.io,Billeto Payments LLC,Foreign,2021-09-17,DELAWARE,DELAWARE,False,False,False,False,False,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",2021-11-10 00:06:41.7500000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Na Ch� Rize, LLC",LLC,Active,2345920,,70 Darby St,,Bloomfield,United States,06002-3608,CT,nacharize860@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Snack and Nonalcoholic Beverage Bars (722515),2021-11-10 00:06:41.7500000,2022-03-31,United States,nacharize860@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
The Happy Flamingo Family Daycare LLC,LLC,Active,2345900,,103 Devonwood Dr,,Waterbury,United States,06708-2324,CT,thehappyflamingofamilydaycare@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,True,False,False,False,False,Child Day Care Services (624410),2021-11-10 00:06:41.7166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utopia LLC,LLC,Active,2345940,,130 Utopia Rd,Suite 11,Manchester,United States,06042-2195,CT,jason@surroundingscustom.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEXT UP NU LLC,LLC,Active,2345947,,326 Penfield Rd,,Fairfield,United States,06824-6614,CT,kellyscinto@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:41.7500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLC Transportation LLC,LLC,Active,2345942,,440 Wethersfield Ave,,Hartford,United States,06114-1414,CT,castillojeffreyd@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:41.7333333,2022-03-31,United States,castillojeffreyd@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Buds Learning LLC,LLC,Active,2345944,,21 Bonnybrook Rd,,Norwalk,United States,06850-2704,CT,margie.bollman@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),2021-11-10 00:06:41.6533333,2022-03-31,United States,fulfillment@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,
708 Silas Dean LLC,LLC,Active,2345935,,708 Silas Deane Hwy,,Wethersfield,United States,06109-3027,CT,tenawisamo@yahoo.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Gasoline Stations with Convenience Stores (447110),2021-11-10 00:06:41.7166667,2022-03-31,United States,ebrahim1711@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Bragas Cleaning LLC,LLC,Active,2345966,,85 Spring St,1,Naugatuck,United States,06770-2984,CT,moniquesmulti@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-11-10 00:06:41.7500000,2022-03-31,United States,moniquesmulti@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Consulting LLC Company,Stock,Rejected,2345967,2020-05-27,515 N State Street,14th Floor,Chicago,United States,60654,IL,accounts@dynamicconsulting.com,Dynamic Consulting LLC,Foreign,2021-09-17,ILLINOIS,ILLINOIS,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:41.7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708 Silas Dean Realty LLC,LLC,Active,2345956,,708 Silas Deane Hwy,,Wethersfield,United States,06109-3027,CT,tinawisamo@yahoo.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:06:41.7333333,2022-03-31,United States,ebrahim1711@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT FITNESS SYSTEMS LLC,LLC,Active,2345973,,79 VIBBERTS AVENUE,,NEW BRITAIN,United States,06051,CT,pitbull91ls@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,True,False,False,All Other Personal Services (812990),2021-11-10 00:06:41.7333333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
718 Silas Dean Realty LLC,LLC,Active,2345969,,718 Silas Deane Hwy,,Wethersfield,United States,06109-3027,CT,tinawisamo@yahoo.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:06:41.7500000,2022-03-31,United States,ebrahim1711@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,
PEONY SPA 1 INC,Stock,Active,2345970,,,,,,,,filing@acs123.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Beauty Salons (812112),2021-11-10 00:06:41.7000000,2021-12-16,United States,filing@acs123.com,,,,,,,,,,,,,,,,200.0,First report due,,,,,,,,,
POKE DON GLASTONBURY INC,Stock,Active,2345980,,,,,,,,pokedon63@outlook.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2021-11-10 00:06:41.7000000,2021-12-16,United States,bank@usaccountinginc.com,,,,,,,,,,,,,,,,1000.0,First report due,,,,,,,,,
KYO Inc.,Stock,Active,2345976,,,,,,,,khalid.ko20@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:41.7500000,2021-12-16,United States,kamile@dmntransport.com,,,,,,,,,,,,,,,,1000.0,First report due,,,,,,,,,
Leedz New York Inc.,Stock,Active,2345979,2021-09-17,60 S Lexington Ave,,White Plains,United States,10606-2511,NY,dzstradmm@gmail.com,Leedz New York Inc.,Foreign,2021-09-17,NEW YORK,NEW YORK,False,False,False,False,False,Musical Instrument and Supplies Stores (451140),2021-11-10 00:06:41.7500000,2022-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM Industries Inc,Stock,Active,2345984,,669 Boston Tpke,,Bolton,United States,06043-7475,CT,john@mmoilco.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Fuel Dealers (454310),2021-11-10 00:06:41.7000000,2022-10-29,United States,jyeagermarino@yahoo.com,,,,,,,,,,,,,,,2021-09-24,100.0,,,,,,,,,,
J&L Cleaning Services LLC,LLC,Active,2346002,,1207 North Ave,5,Bridgeport,United States,06604-2715,CT,lal03oliveira@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Hill Canines LLC,LLC,Active,2345987,,42 Copper Hill Rd,,East Granby,United States,06026-9536,CT,copperhillcanines@icloud.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Pet Care (except Veterinary) Services (812910),2021-11-10 00:06:41.6700000,2022-03-31,United States,copperhillcanines@icloud.com,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIVEN 4 CAUSE INC.,Stock,Active,2346035,,,,,,,,filing@acs123.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),2021-11-10 00:06:41.6533333,2021-12-16,United States,filing@acs123.com,,,,,,,,,,,,,,,,200.0,First report due,,,,,,,,,
Eleven Ways Transportation LLC,LLC,Active,2346017,,123 Hampton Ct,,Newington,United States,06111,CT,elevenwaystransportation@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT Consulting LLC,LLC,Active,2346005,,162 Westwood Rd,,New Haven,United States,06515-2243,CT,ptombaugh@yahoo.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
126 Oak NBCT LLC,LLC,Active,2346006,,597 Mrytle Avenue,,Brooklyn,United States,11205,NY,abe5421@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:41.7000000,2022-03-31,United States,sphelps@brucetemkin.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Stet Clip LLC,LLC,Active,2346007,,91 Bronson Ave,14,Meriden,United States,06451-5421,CT,stetclipllc@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Apparel Accessories and Other Apparel Manufacturing (315990),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOODHART GROUP LLC,LLC,Active,2346008,,366 Smith Ridge Rd,,New Canaan,United States,06840-3627,CT,vgonzalez@blumb.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7500000,2022-03-31,United States,vgonzalez@blumb.com,,,,,,,,,,,,,,,,,,,,,,,,,,
270 Broad NBCT LLC,LLC,Active,2346027,,831 Bedford Avenue,#516,Brooklyn,United States,11205,NY,abe5421@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:41.7000000,2022-03-31,United States,sphelps@brucetemkin.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Kutak Rock LLP,LLP,Active,2346040,2021-09-17,,,,,,,firmtaxfiling@kutakrock.com,Kutak Rock LLP,Foreign,2021-09-17,NEBRASKA,NEBRASKA,False,False,False,False,False,Offices of Lawyers (541110),2021-11-10 00:06:41.7000000,2022-09-17,,,,,,,,,,"1650 Farnam St, Omaha, NE, 68102-2104, United States",1650 Farnam St,,Omaha,NE,68102-2104,United States,,,,,,,,,,,,
"Distributed Energy, LLC",LLC,Active,2346059,,53 Old E Brookfield Rd,,North Brookfield,United States,01535-1738,MA,mike@distributednow.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:06:41.6533333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PAR WESTERN LINE CONTRACTORS, LLC",LLC,Active,2346041,2021-08-31,4770 N. BELLEVIEW AVE STE 100,,KANSAS CITY,USA,64116,MO,CSANTOS@QUANTASERVICES.COM,"PAR WESTERN LINE CONTRACTORS, LLC",Foreign,2021-09-17,,DELAWARE,False,False,False,False,False,541330,2021-11-10 00:06:41.7333333,2022-03-31,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trottiiva LLC,LLC,Active,2346088,,23 greenview drive,,rocky hill,United States,06067,CT,meranda.watson@outlook.com,,Domestic,2021-09-17,Connecticut,Connecticut,True,False,False,True,True,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peace in Wellness Counseling LLC,LLC,Active,2346067,,9 Austin Dr,Suite 109,Marlborough,United States,06447,CT,staceymjoneslcsw@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:06:41.7166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLSH INC,Stock,Active,2346069,2021-06-16,2100 ROSS AVE STE 2900,,DALLAS,USA,75201,TX,,RLSH INC,Foreign,2021-09-17,,DELAWARE,False,False,False,False,False,523900,2021-11-10 00:06:41.6700000,2022-09-17,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maisonette Hall LLC,LLC,Active,2346078,,532 East Main Street,,Bridgeport,United States,06608,CT,natalilantigua@yahoo.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Convention and Trade Show Organizers (561920),2021-11-10 00:06:41.6700000,2022-03-31,United States,dktaxservicesinc@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Platinum Construction LLC,LLC,Active,2346104,,38 Marilyn Rd,,South Windsor,United States,06074-3463,CT,dinoplatinumconstruction@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharaj Capital Investments LLC,LLC,Active,2346111,,179 Waccabuc Rd,,Goldens Bridge,United States,10526-1410,NY,jmaharaj77@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG REALTY LLC,LLC,Active,2346095,,35 Collins Ave,312,Spring Valley,United States,10977-4743,NY,moshegrossbard1@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICK-O-LIPS LLC,LLC,Active,2346099,,140 ELM ST APT 12,,WEST HAVEN,United States,06516,CT,efile1234@incfile.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2021-11-10 00:06:41.7000000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"MaureenCScudder, LLC",LLC,Active,2346093,,19 Old Village Ln,,Unionville,United States,06085-1573,CT,maureenscudder99@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,True,False,False,False,False,,2021-11-10 00:06:41.6533333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSE OF EL APPERAL LLC,LLC,Active,2346120,,114 GROVE ST APT 11,,STAMFORD,United States,06901,CT,efile1234@incfile.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:06:41.7000000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCHELL LEGACY HOLDINGS LLC,LLC,Active,2346109,,1000 LAFAYETTE BLVD STE 1100,,BRIDGEPORT,United States,06604,CT,efile1234@incfile.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:41.7000000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA LIMO INC,Stock,Active,2346181,,,,,,,,viprentcar@yahoo.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Limousine Service (485320),2021-11-10 00:06:41.7000000,2021-12-16,United States,smonereau@blumb.com,,,,,,,,,,,,,,,,200.0,First report due,,,,,,,,,
Simple Basic Concepts LLC,LLC,Active,2346183,,515 Centerpoint Dr,Suite 607,Middletown,United States,06457-7570,CT,info@simplebasicconcepts.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),2021-11-10 00:06:41.7000000,2022-03-31,United States,luciusc@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,
631-643 Danbury LLC,LLC,Active,2346126,,19 Danbury Rd,,Wilton,United States,06897-4315,CT,kamranhashemi@msn.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On Time Moses, LLC",LLC,Active,2346135,,55 Vernon Street,,New Haven,United States,06519,CT,mosesdahn21@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7000000,2022-03-31,United States,lgreenberg@bandglaw.net,,,,,,,,,,,,,,,,,,,,,,,,,,
A.P TRUCKING SERVICE LLC,LLC,Active,2346129,,65 CORINTHIAN AVE,,STRATFORD,United States,06615,CT,efile1234@incfile.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:06:41.7333333,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovative Hires LLC,LLC,Active,2346138,,5 Nathans Path,,Wallingford,United States,06492-3364,CT,edk@athletictrainersolutions.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Employment Placement Agencies (561311),2021-11-10 00:06:41.6866667,2022-03-31,United States,mike@abapc.com,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA Property Preservation LLC,LLC,Active,2346157,,125 oregon rd,,Meriden,United States,06450,CT,aaapropertypreservation203@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24 Griswold Point Road, LLC",LLC,Active,2346165,,126 Hobbs Road,,Princeton,United States,01541,MA,helenht05@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:41.7000000,2022-03-31,United States,hlanzano@goodwin.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynort LLC,LLC,Active,2346168,,15 Forest Avenue,,Danbury,United States,06810-5705,CT,vishalk.rana9@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),2021-11-10 00:06:41.7000000,2022-03-31,United States,fulfillment@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rose Studio LLC,LLC,Active,2346173,,121 Dowd Ave,#54,CANTON,United States,06019,CT,randolphhriley@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,True,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasra Manchester LLC,LLC,Active,2346174,,1061 New Britain Ave,,West Hartford,United States,06110-2444,CT,sami@didicorp.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7000000,2022-03-31,United States,mbarry@bhl-law.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovative Communication Enterprise LLC,LLC,Active,2346175,,"31 evergreen, A6",,Hartford,United States,06105,CT,innov.comm.enterprise@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Manufacturing (339999),2021-11-10 00:06:41.7333333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.P.Z. GLOBAL DEVELOPMENT HOLDINGS CORP,Stock,Active,2346179,,,,,,,,usarealtygroup@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Commercial and Institutional Building Construction (236220),2021-11-10 00:06:41.7333333,2021-12-16,United States,alcoinc1@aol.com,,,,,,,,,,,,,,,,200.0,First report due,,,,,,,,,
"PAW PRINTS INK, LLC",LLC,Active,2346207,,17 Munson Rd,,Beaconfalls,United States,06403,CT,tuckker.reza@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7333333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
J & F CLEANING SERVICE LLC,LLC,Active,2346180,,13 NELSON STREET,,STAMFORD,United States,06902,CT,jandfcleaning21@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-11-10 00:06:41.7000000,2022-03-31,United States,msprepllc@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evolving Spirit, LLC",LLC,Active,2346197,,245 Amity Rd STE 209,Suite 209,Woodbridge,United States,06525,CT,evolving.spirit@icloud.net,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:06:41.7166667,2022-03-31,United States,teresa@ltmblaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"SIR-149 Hillspoint, LLC",LLC,Active,2346210,,943 Post Rd E,,Westport,United States,06880,CT,julieharoun@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),2021-11-10 00:06:41.7333333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hondale Road SW Solar LLC,LLC,Active,2346213,,921 Thrall Ave,,Suffield,United States,06078-2343,CT,info@louthcallanrenewables.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Power and Communication Line and Related Structures Construction (237130),2021-11-10 00:06:41.7166667,2022-03-31,United States,justin@louthcallanrenewables.com,,,,,,,,,,,,,,,,,,,,,,,,,,
GP CONTRACTING LLC,LLC,Active,2346215,,39 Short Oak Dr,,Brookfield,United States,06804-2080,CT,pereiragabr@hotmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
240 Sunnyridge Avenue LLC,LLC,Active,2346220,,240 Sunnyridge Ave,,Fairfield,United States,06824,CT,jamespozzi2012@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:41.7166667,2022-03-31,United States,victoria@russorizio.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Glastonbury Hot Yoga LLC,LLC,Active,2346222,,345 New London Turnpike,1-B,Glastonbury,United States,06033,CT,sophiamedeiros14@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,True,False,False,False,False,Fitness and Recreational Sports Centers (713940),2021-11-10 00:06:41.6700000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SWAN EAST STREET, LLC",LLC,Active,2346219,,6010 BALCONES DR STE 100,,AUSTIN,USA,78731,TX,,,Domestic,2021-09-17,,Connecticut,False,False,False,False,False,531390,2021-11-10 00:06:41.7000000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QUICK FIX IPHONES, LLC",LLC,Active,2346221,,19 Margaret Lane,,Plainfield,United States,06374,CT,nickyburl@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7333333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenville Tech. LLC,LLC,Active,2346225,,47 Glenville St,,Greenwich,United States,06831-4118,CT,acarboni@glenvilletech.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agarkan LLC,LLC,Active,2346228,,1149 Silas Deane Hwy,,Rocky Hill,United States,06067,CT,roger8801@hotmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,True,False,False,False,False,Tobacco Stores (453991),2021-11-10 00:06:41.7333333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR LLC,LLC,Active,2346236,,3714 Whitney Ave,,Hamden,United States,06518-1544,CT,emre@iselaccounting.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,True,False,False,Tobacco Stores (453991),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortgagePros, LLC",LLC,Active,2346253,2021-09-22,3310 W Big Beaver Rd,Suite 100,Troy,United States,48084-2809,MI,georgea@mymtgpros.com,"MortgagePros, LLC",Foreign,2021-09-17,MICHIGAN,MICHIGAN,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),2021-11-10 00:06:41.7000000,2022-03-31,,,"3310 W Big Beaver Rd, Suite 100, Troy, MI, 48084-2809, United States",3310 W Big Beaver Rd,Suite 100,Troy,MI,48084-2809,United States,"3310 W Big Beaver Rd, Suite 100, Troy, MI, 48084-2809, United States",3310 W Big Beaver Rd,Suite 100,Troy,MI,48084-2809,United States,,,,,,,,,,,,
"Ian Huggan CPA, Professional Limited Liability Company",LLC,Active,2346260,,11 Dogwood Park N,,Danbury,United States,06811-4552,CT,ighuggan@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,True,False,False,Tax Preparation Services (541213),2021-11-10 00:06:41.7166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023 ENTERPRISES LLC,LLC,Active,2346263,,141 Chambers Rd,,Danbury,United States,06811-3523,CT,eric@eliteaccountingcorp.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:41.7500000,2022-03-31,United States,alcoinc1@aol.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Vita Forza LLC,LLC,Active,2346273,,109 Evelyn St,,Trumbull,United States,06611-2816,CT,jayvitale@aol.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2021-11-10 00:06:41.7166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLMARK STUCCO CONTRACTOR LLC,LLC,Active,2346340,,5 Colony St,LL1,Meriden,United States,06451-3272,CT,unitedfinancial2016@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Masonry Contractors (238140),2021-11-10 00:06:41.7166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryanne Gatti LMFT PLLC,LLC,Active,2346271,,1153 Main St,,Coventry,United States,06238-3115,CT,ryannegattilmft@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),2021-11-10 00:06:41.7000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
NINE OF CUPS LLC,LLC,Active,2346292,,170 Ashley Falls Rd,,Canaan,United States,06018-2014,CT,philip.j.huntley@gmail.com,,Domestic,2021-09-17,Connecticut,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:06:41.7333333,2022-03-31,United States,terri@capecelatro.com,,,,,,,,,,,,,,,,,,,,,,,,,,
