name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,total_authorized_shares,dissolution_date,billing_unit,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
INS OPCO LLC,LLC,Active,2287950,2022-03-31,7887 SAFEGUARD CIRCLE,VALLEY VIEW,USA,44125,OH,LINDA.ERKKILA@SAFEGUARDPROPERTIES.COM,Foreign,2021-06-11,,OHIO,False,False,False,False,False,2021-11-10 00:04:01.0700000,008720,2021-06-11,INS OPCO LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 WALTER AVE LLC,LLC,Active,1396002,2022-03-31,14 GREEN ST,STAMFORD,United States,06902,CT,DJLEYDEN@ME.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:13.2666667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOHIO VIEJO TRANSPORTATION LLC,LLC,Active,1396000,2022-03-31,81 COALPIT HILL ROAD,DANBURY,United States,06810,CT,CHRISTIANMULTI@HOTMAIL.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:08.7966667,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION MGMT LLC,LLC,Active,1396001,2022-03-31,210 FARMINGTON AVENUE APT 406,HARTFORD,United States,06105,CT,THEZIONMANAGEMENT@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:23.5200000,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shutter Shaq Photography LLC,LLC,Active,1396109,2022-03-31,184 CANFIELD AVE,BRIDGEPORT,United States,06605,CT,SHUTTERSHAQPHOTOS@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:37.6400000,"Photography Studios, Portrait (541921)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMI GANIM CONSULTING LLC,LLC,Active,1395993,2022-03-31,9 RICE RD,WOODBRIDGE,United States,06525,CT,DGANIMCONSULTING@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:41.0000000,Human Resources Consulting Services (541612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE HOLISTIC SLP, LLC",LLC,Active,1396009,2022-03-31,30 STONY BROOK DR UNIT B8,GLASTONBURY,United States,06033,CT,SHERRI@THEHOLISTICSLP.COM,Domestic,2021-06-12,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:40.2966667,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEWEN PAINTING LLC,LLC,Active,1396011,2022-03-31,80 NORTH STREET,SHELTON,United States,06484,CT,SSJDZM5@YAHOO.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:35.1100000,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MFD CONSULTING, LLC",LLC,Active,1396010,2022-03-31,12 FALCON DRIVE,SEYMOUR,United States,06483,CT,MFD1012@AOL.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:09.3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT FLEET SERVICES LLC,LLC,Active,1396008,2022-03-31,1814 DIXWELL AVE,HAMDEN,United States,06514-0651,CT,PAULDUPERVIL@YAHOO.COM,Domestic,2021-06-12,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:55.2400000,Other Support Activities for Road Transportation (488490),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMBMSP LLC,LLC,Active,1395997,2022-03-31,1 RIDGEWOOD RD.,SOUTH LYME,United States,06376,CT,business@smbmsp.net,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:11.3266667,Other Computer Related Services (541519),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOARK ELECTRIC (USA) INC.,Stock,Active,1395999,2022-06-12,2188 POMONA BLVD.,POMONA,United States,91768,CA,JEANNIE.ZHOU@NOARK-ELECTRIC.COM,Foreign,2021-06-12,IL,IL,False,False,False,False,False,2021-11-10 00:05:17.6400000,All Other Miscellaneous Electrical Equipment and Component Manufacturing (335999),2021-06-07,NOARK ELECTRIC (USA) INC.,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FISHING CREEK VALLEY PROPERTY GROUP, LLC",LLC,Active,1395998,2022-03-31,3 FAIRWAY LANE,THORNDALE,United States,19372,PA,FCVPG.LLC@GMAIL.COM,Foreign,2021-06-12,PA,PA,False,False,False,False,False,2021-11-10 00:05:19.8900000,Lessors of Residential Buildings and Dwellings (531110),2021-06-07,"FISHING CREEK VALLEY PROPERTY GROUP, LLC",United States,"3 FAIRWAY LANE, THORNDALE, PA, 19372, United States",3 FAIRWAY LANE,THORNDALE,PA,19372,United States,"3 FAIRWAY LANE, THORNDALE, PA, 19372, United States",3 FAIRWAY LANE,THORNDALE,PA,19372,United States,,,,,,,,,,,,,,,,
CHARM81 LLC,LLC,Active,1395996,2022-03-31,40 GREENWOOD,NEW HAVEN,United States,06519,CT,THECHARM81@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:11.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRETTY IN TRENDS LLC,LLC,Active,1396043,2022-03-31,69 MAPLE TREE AVE APT 2,STAMFORD,United States,06906,CT,PRETTYINTRENDS@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:31.3600000,All Other General Merchandise Stores (452319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPIRING EMPOWERMENT ENTERPRISES LLC,LLC,Active,1396041,2022-03-31,3 ARMSTRONG DRIVE,SHELTON,United States,06484,CT,INSPIRINGWITHPURPOSE29@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:28.3000000,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBRACE CHANGE BOUTIQUE LLC,LLC,Active,1396044,2022-03-31,323 OAK ST,NEW BRITAIN,United States,06051,CT,EMBRACECHANGEBOUTIQUE@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,True,False,False,False,False,2021-11-10 00:05:35.4266667,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID PIPER PRODUCTIONS LLP,LLP,Active,1396040,2022-06-12,330 MAIN ST UNIT 8,MANCHESTER,United States,06040,CT,ROBERTHUTCHINSON.DRUMS@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:41.6166667,Musical Groups and Artists (711130),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERILLO HOLDINGS LLC,LLC,Active,1396042,2022-03-31,94 COLLINS ROAD,BRISTOL,United States,06010,CT,JAPERILLO@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,False,True,False,False,False,2021-11-10 00:03:15.3633333,Offices of Other Holding Companies (551112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON GRANITE INC.,Stock,Active,1396003,2022-09-10,10 Wooster St,Bethel,United States,06801-1832,CT,FIGOHN@GMAIL.COM,Domestic,2021-06-12,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:43.2566667,Cut Stone and Stone Product Manufacturing (327991),,,,,,,,,,,,,,,,,2021-09-01,100.0,,Apt 1,,,,,,,,,,,
"HEATHER GATESMAN APRN, LLC",LLC,Active,1396064,2022-03-31,81 GRANDVIEW RD,SOUTHBURY,United States,06488,CT,NURSE35@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:52.8800000,Offices of All Other Miscellaneous Health Practitioners (621399),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A CLEAN CUT SERVICE, LLC",LLC,Active,1396054,2022-03-31,66 DELMAR DRIVE,BRISTOL,United States,06010,CT,ACLEANCUTSERVICE860@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:55.4200000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLE SKOOL CUSTOMZ LLC,LLC,Active,1396056,2022-03-31,"224 EAST PEARL ST., APT. 3",TORRINGTON,United States,06790,CT,DTPETOSA@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:59.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOBRA COMPANY LLC,LLC,Active,1395872,2022-03-31,152 COLONY ST # B,MERIDEN,United States,06451,CT,A.LATIN.MS@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:01.4533333,Drywall and Insulation Contractors (238310),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITALGUARD-ER LLC,LLC,Active,1396055,2022-03-31,91 SOUTHGATE ROAD,WATERBURY,United States,06708,CT,HELP@VITALGUARD-ER.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:55.4366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENE'S LANDSCAPING LLC,LLC,Active,1396152,2022-03-31,803 COLORADO AVE,BRIDGEPORT,United States,06605,CT,RODCLARIBEL1@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:00.7966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRELENY LLC,LLC,Active,1395819,2022-03-31,2 JEM WOODS RD.,OXFORD,United States,06478,CT,DRELENY28@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:53.5600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLWAYS APPROVED REMODELING LLC,LLC,Active,1395817,2022-03-31,39 SHERMAN ST APT2,STAMFORD,United States,06902,CT,DELAIGLESIAC@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:57.3433333,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARLEEN'S RYMA JOURNEY TO ELEVATION, LLC.",LLC,Active,1395871,2022-03-31,219 ROCKY HILL AVE BASEMENT #1,NEW BRITAIN,United States,06051,CT,RYMAJOURNEY2021@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,True,True,True,False,False,2021-11-10 00:05:55.3900000,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAVARRIAS SERVICES LLC,LLC,Active,1395873,2022-03-31,283 WILLIAM ST,BIRDGEPORT,United States,06608,CT,JORDAOSERVICESLLC@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:00.2033333,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPW REALTY LLC,LLC,Active,1396078,2022-03-31,151 NEW PARK AVE SUITE 13,HARTFORD,United States,06106,CT,MENACHEMTHURM@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:06.0466667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD DRIFTWAY LLC,LLC,Active,1396077,2022-03-31,36 SIGNAL HILL ROAD,WILTON,United States,06897,CT,JENNIFBUNN@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:07.4533333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAILEY'S REMODELING & REFINISHING, LLC",LLC,Active,1396076,2022-03-31,5 CARRIAGE DRIVE,OXFORD,United States,06478,CT,BRANDONBAILEY.LLC@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:11.7500000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN CLOTHING - HAUT NIVEAU 1998. LLC,LLC,Active,1396153,2022-03-31,8 SADDLE HILL ROAD,MANCHESTER,United States,06040-6958,CT,ALAWSON23300@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:12.5300000,Family Clothing Stores (448140),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NISSAN-INFINITI LT LLC,LLC,Active,1395840,2022-03-31,ONE NISSAN WAY,FRANKLIN,,37067,TN,KATHERINE.MELENDREZ@NISSAN-USA.COM,Foreign,2021-06-14,DE,DE,False,False,False,False,False,2021-11-10 00:06:13.9366667,,2021-04-01,NISSAN-INFINITY LT LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURLY HAIR DEPARTMENT LLC,LLC,Active,1396151,2022-03-31,373 MARLBOROUGH TERRACE,FAIRFIELD,United States,06825-4426,CT,JCUERO10@OUTLOOK.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:11.2333333,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMIRAL PROPANE SERVICES LLC,LLC,Active,1396149,2022-03-31,163 RUBY RD,WILLINGTON,United States,06279,CT,SALES@ADMIRALSEPTIC.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:13.2800000,Fuel Dealers (454310),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JGA ELECTRIC LLC,LLC,Active,1396079,2022-03-31,357 WILLIAMSON CIRCLE,OAKVILLE,United States,06779,CT,JASONAUTORE@YAHOO.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:09.3900000,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOCKSIDE PROPERTY SERVICES, LLC",LLC,Active,1396150,2022-03-31,5 SHERMAN PLACE,MERIDEN,United States,06451,CT,DOCKSIDESERVICES@COMCAST.NET,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:11.7800000,Nonresidential Property Managers (531312),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACTUS PS LLC,LLC,Active,1395818,2022-03-31,21 MOUNTAINVILLE AVE,DANBURY,United States,06810,CT,CACTUSPROFESSIONALSERVICES@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,True,False,False,2021-11-10 00:06:15.9700000,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSCIOUSLY COOL CHICK LIMITED LIABILITY COMPANY,LLC,Active,1395816,2022-03-31,333 UNQUOWA ROAD #304,FAIRFIELD,United States,06824,CT,CAMILLE@CCOOLCHICK.COM,Foreign,2021-06-14,NJ,NJ,False,False,False,False,False,2021-11-10 00:06:16.0000000,All Other General Merchandise Stores (452319),2021-06-14,CONSCIOUSLY COOL CHICK LIMITED LIABILITY COMPANY,United States,"4 APPLEWOOD COURT, HAINESPORT, NJ, 08036, United States",4 APPLEWOOD COURT,HAINESPORT,NJ,08036,United States,"4 APPLEWOOD COURT, HAINESPORT, NJ, 08036, United States",4 APPLEWOOD COURT,HAINESPORT,NJ,08036,United States,,,,,,,,,,,,,,,,
FEQUIERE CONTRACTING LLC,LLC,Active,1396068,2022-03-31,55 LAUREL STREET,WATERBURY,United States,06702-1717,CT,JESUSFEQUIERE@HOTMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:29.4300000,New Single-Family Housing Construction (except For-Sale Builders) (236115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELAHI PROPERTIES LLC,LLC,Active,1396067,2022-03-31,1249 W MAIN STREET,WATERBURY,United States,06708,CT,AD1@AHADANDCO.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:26.0700000,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVENTIONS UNLIMITED LLC,LLC,Active,1395887,2022-03-31,57 LAWNCREST DR,SOUTHINGTON,United States,06489,CT,JARCHIBALD1208@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:20.5966667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SMASH FRANCHISE PARTNERS, LLC",LLC,Active,1396173,2022-03-31,17437 CAREY RD STE 164,WESTFIELD,United States,46074,IN,MHUBBARD@TAFTLAW.COM,Foreign,2021-06-14,IN,IN,False,False,False,False,False,2021-11-10 00:06:19.7533333,,2021-06-14,"SMASH FRANCHISE PARTNERS, LLC",United States,"17437 CAREY RD STE 164, WESTFIELD, IN, 46074, United States",17437 CAREY RD STE 164,WESTFIELD,IN,46074,United States,"17437 CAREY RD STE 164, WESTFIELD, IN, 46074, United States",17437 CAREY RD STE 164,WESTFIELD,IN,46074,United States,,,,,,,,,,,,,,,,
LOVELY WEEDS LLC,LLC,Active,1396174,2022-03-31,84 KNICKERBOCKER AVENUE,STAMFORD,United States,06907,CT,LOVELYWEEDSLLC@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:29.3533333,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAIR KITCHEN DESIGN LLC,LLC,Active,1395890,2022-03-31,51 TURKEY HILL ROAD SOUTH,WESTPORT,United States,06880,CT,SIMONANDANNE@MAC.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:29.3833333,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPOWERED LITERACY LLC,LLC,Active,1395888,2022-03-31,21 DONOHUE DRIVE,NORWALK,United States,06851,CT,LMBAKER729@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:06.9800000,Exam Preparation and Tutoring (611691),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALL-CLAD PANEL FABRICATORS, LLC",LLC,Active,1395815,2022-03-31,52 SHEEP DAVIS ROAD,PEMBROKE,United States,03275,NH,DRICH@PRETI.COM,Foreign,2021-06-14,NH,NH,False,False,False,False,False,2021-11-10 00:04:06.9466667,,2021-06-01,"ALL-CLAD PANEL FABRICATORS, LLC",United States,"52 SHEEP DAVIS ROAD, PEMBROKE, NH, 03275, United States",52 SHEEP DAVIS ROAD,PEMBROKE,NH,03275,United States,"52 SHEEP DAVIS ROAD, PEMBROKE, NH, 03275, United States",52 SHEEP DAVIS ROAD,PEMBROKE,NH,03275,United States,,,,,,,,,,,,,,,,
ERIKA LYNN LLC,LLC,Active,1396069,2022-03-31,33 BEDFORD AVE,HAMDEN,United States,06517,CT,ERIKALYNNMAKEUP@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:04.7600000,Cosmetology and Barber Schools (611511),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STONY BROOK BUILDERS, LLC",LLC,Active,1395889,2022-03-31,222 PROSPECT STREET,SUFFIELD,United States,06078,CT,SBROOKBUILDERS@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.2300000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLOMATICS LLC,LLC,Active,1396129,2022-03-31,102 WHITE SAIL DRIVE,SOUTHINGTON,United States,06489,CT,RYAN.STEADMAN@ICLOUD.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:16.2300000,All Other Information Services (519190),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMI CREATIONS & DESIGNS LLC,LLC,Active,1395823,2022-03-31,577 FARMINGTON AVENUE,NEW BRITAIN,United States,06053,CT,WTOWNES48@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:07.5733333,Clothing Accessories Stores (448150),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYWATER CORBIN MANAGER LLC,LLC,Active,1395832,2022-03-31,34 OLD KINGS HIGHWAY SOUTH,DARIEN,,06820,CT,,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.1533333,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPHA STEAMERS LLC,LLC,Dissolved,1395807,2022-03-31,135 EAGLE ST,BRIDGEPORT,United States,06607,CT,CTBIZREG@YAHOO.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:12.2933333,,,,,,,,,,,,,,,,,,,,2021-11-03T00:00:00.000,,,,,,,,,,,,
"DOWNEAST STRUCTURAL PARTNERS, LLC",LLC,Active,1395820,2022-03-31,5 OAK STREET,CUMBERLAND,United States,04021,ME,DRICH@PRETI.COM,Foreign,2021-06-14,NH,NH,False,False,False,False,False,2021-11-10 00:04:19.6866667,,2021-06-01,"DOWNEAST STRUCTURAL PARTNERS, LLC",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYWATER VINKATH MANAGER LLC,LLC,Active,1395833,2022-03-31,34 OLD KINGS HIGHWAY SOUTH,DARIEN,,06820,CT,,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:26.9366667,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PERKATORY COFFEE ROASTERS OF WEST HARTFORD, LLC",LLC,Active,1395967,2022-03-31,637 NEW PARK AVENUE,WEST HARTFORD,United States,06110,CT,PERKATORYROASTERS@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:22.8900000,Snack and Nonalcoholic Beverage Bars (722515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZERO TRADING LLC,LLC,Active,1395821,2022-03-31,23 CAROL ST,DANBURY,United States,06810,CT,BORG69BORG@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:24.2800000,All Other General Merchandise Stores (452319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EXSTILLA, LLC",LLC,Active,1396030,2022-03-31,994 HARTFORD TURNPIKE,VERNON,United States,06066,CT,EXSTILLA@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:20.9366667,Women's Clothing Stores (448120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TASTE FROM HEAVEN LLC,LLC,Active,1395966,2022-03-31,169 SEQUOIA RD,BRIDGEPORT,United States,06606-1338,CT,TASTEFROMHEAVEN97@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:29.1100000,Caterers (722320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-5 PERTH ST LLC,LLC,Active,1396112,2022-03-31,123 FRANK ST,STRATFORD,United States,06615,CT,NOLUAN@HOTMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:24.2633333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAK WARRIOR SOUND LLC,LLC,Active,1396156,2022-03-31,67 PERSHING ST,HARTFORD,United States,06112,CT,KINGDAVIDMUZIC@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:20.3566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A GRADE MOBILE HOME SOLUTIONS LLC,LLC,Active,1395822,2022-03-31,240 COLLINS ST,HARTFORD,United States,06105-1503,CT,DBELLCOOPER@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:29.0766667,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QEEPSAKE, INC.",Stock,Active,1396111,2022-06-14,270 AUBURNDALE AVE.,AUBURNDALE,United States,02466-1210,MA,LYNNE@QEEPSAKE.COM,Foreign,2021-06-14,DE,DE,False,False,False,False,False,2021-11-10 00:04:32.5600000,Custom Computer Programming Services (541511),2021-05-18,"QEEPSAKE, INC.",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PERKATORY COFFEE ROASTERS OF BRANFORD, LLC",LLC,Active,1396155,2022-03-31,4 BRUSHY PLAIN ROAD #515,BRANFORD,United States,06405,CT,PERKATORYROASTERS@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:38.9066667,Snack and Nonalcoholic Beverage Bars (722515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW ENGLAND?S ELITE MASONRY LLC,LLC,Active,1396170,2022-03-31,141 MAIN STREET 2FL,WILLIMANTIC,United States,06226,CT,KATCORDERO5@NEWENGLANDSELITEMASONRY.COM,Domestic,2021-06-14,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:39.6266667,Masonry Contractors (238140),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J&D PRIDE LLC,LLC,Active,1396169,2022-03-31,643 LAKEWOOD RD,WATERBURY,United States,06705,CT,JPDHBIKER@ICLOUD.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:31.2500000,Full-Service Restaurants (722511),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR A BETTER FUTURE FOUNDATION INC.,Non-Stock,Active,1395800,2021-09-12,No information provided,,,,,,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:36.3733333,,,,,,,,,,,,,,,,,First report past due,,,,,,,,,,,,,,,
"DOGGY DOJO, LLC",LLC,Active,1396088,2022-03-31,8 JONES ROAD,WALLINGFORD,United States,06492,CT,SCOTTMICHAELW1@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:41.5166667,Pet Care (except Veterinary) Services (812910),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VALOREM HOLDINGS, LLC",LLC,Active,1396062,2022-03-31,535 MAIN ST.,NEW CANAAN,United States,06840,CT,VALOREMCRYPTOHOLDINGSLLC@GMAIL.COM,Domestic,2021-06-14,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:42.1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
