name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,mailing_jurisdiction_country,office_in_jurisdiction_country,dissolution_date,sub_status,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
IWATANI CORPORATION OF AMERICA,Stock,Active,1377650,2022-02-10,2021-11-16,2200 POST OAK BLVD STE 1150,HOUSTON,,77056,TX,,IWATANI CORPORATION OF AMERICA,Foreign,,2021-02-10,NJ,NJ,False,False,False,False,False,2021-11-10 00:04:34.5166667,Other Chemical and Allied Products Merchant Wholesalers (424690),,,,,,,,,,,,,,,,,,,
WORKPLACE FABRIC INC,Stock,Active,1377499,2022-02-10,2021-02-10,24 W MAIN ST #331,CLINTON,United States,06413,CT,ACCOUNTING@REVELCPA.COM,WORKPLACE FABRIC INC,Foreign,United States,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:04:35.1566667,Computer Systems Design Services (541512),,,,,,,,,,,,,,,,,,,
BIGTIME APPAREL LLC,LLC,Active,1377554,2022-03-31,,129 MONROE ST,HARTFORD,United States,06114,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:30.5000000,,,,,,,,,,,,,,,,,,,,
"ERNST & YOUNG INFRASTRUCTURE ADVISORS, LLC",LLC,Active,1377752,2022-03-31,2021-02-09,200 PLAZA DR,SECAUCUS,,07094,NJ,EYUSREGISTRATION@EY.COM,"ERNST & YOUNG INFRASTRUCTURE ADVISORS, LLC",Foreign,,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:04:33.8433333,,"1209 ORANGE ST, WILMINGTON, DE, 19801,",1209 ORANGE ST,WILMINGTON,DE,19801,"1209 ORANGE ST, WILMINGTON, DE, 19801,",1209 ORANGE ST,WILMINGTON,DE,19801,,,,,,,,,
"TYRANIS CUSTOMS, LLC",LLC,Active,1377488,2022-03-31,,256 COLDBROOK ROAD,GLASTONBURY,United States,06073,CT,RDAVIS@BLUMSHAPIRO.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:33.2166667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,
GLORY HOMES LLC,LLC,Active,1377721,2022-03-31,,105 MOUNTAIN LAUREL WAY,SUFFIELD,,06078,CT,TOMEU74@YAHOO.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:48.1266667,,,,,,,,,,,,,,,,,,,,
"1122 BURNSIDE AVENUE, LLC",LLC,Active,1377620,2022-03-31,,10 BLUFF POINT,WESTPORT,United States,06880,CT,RON@MARSILIO.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:42.8433333,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,
"THE VICAR'S LIQUORS, LTD. LIABILITY CO.",LLC,Active,1377487,2022-03-31,,108 N. STAMFORD ROAD,STAMFORD,United States,06903,CT,MARIA.S.SANTIAGO@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:08.7633333,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,
NEW ENGLAND PROPERTY MAINTENANCE LLC,LLC,Active,1377621,2022-03-31,,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@REGISTEREDAGENTSINC.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:51.4766667,,,,,,,,,,,,,,,,,,,,
181-205 BANK STREET LLC,LLC,Active,1377623,2022-03-31,,47 CRESCENT AVENUE,PASSAIC,United States,07055,NJ,BONIMREALTY@GMAIL.COM,,Domestic,,2021-02-10,NJ,Connecticut,False,False,False,False,False,2021-11-10 00:04:52.1933333,,,,,,,,,,,,,,,,,,,,
"KAY'S TRANSPORTATION, LLC",LLC,Active,1377622,2022-03-31,,185 GREAT PLAIN RD,DANBURY,United States,06811,CT,KPOW0318@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:52.8800000,,,,,,,,,,,,,,,,,,,,
G AND Z GUNS INC,Stock,Active,1377486,2021-05-11,,No information provided,,,,,INFO@BOISVERTSERVICES.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:47.0466667,All Other General Merchandise Stores (452319),,,,,,,,,,,,,,First report past due,300.0,,,,
KEENAN PROPERTY MAINTENANCE LLC,LLC,Active,1377720,2022-03-31,,166 WILDWOOD AVE.,MADISON,,06443,CT,,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:46.3133333,,,,,,,,,,,,,,,,,,,,
ANGIES GLOSS LLC,LLC,Active,1377555,2022-03-31,,65 HIGH RIDGE RD #428,STAMFORD,United States,06905,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:46.3433333,,,,,,,,,,,,,,,,,,,,
GREENHAUS PAINTING LLC,LLC,Active,1377489,2022-03-31,,67 WOLFPIT AVENUE,NORWALK,United States,06851-4233,CT,JESSICA.ARAUJO.FINANCIAL@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:47.0333333,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,,,,,,
"LM DREAM HOME DECOR, LLC",LLC,Active,1377619,2022-03-31,,20 ANSALDI RD,MANCHESTER,United States,06040,CT,LMDREAMHOMEDECOR@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:52.1000000,,,,,,,,,,,,,,,,,,,,
"MEDECISION, INC.",Stock,Active,1377724,2022-02-10,2020-04-13,500 N AKARD ST STE 1400,DALLAS,,75201,TX,ANNIE.LEBLANC@MEDECSION.COM,"MEDECISION, INC.",Foreign,,2021-02-10,PA,PA,False,False,False,False,False,2021-11-10 00:04:52.1933333,,,,,,,,,,,,,,,,,,,,
12 MEADOW DRIVE LLC,LLC,Active,1377681,2022-03-31,,12 MEADOW DRIVE,GREENWICH,,06831,CT,SITESJOHN099@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:55.3033333,,,,,,,,,,,,,,,,,,,,
"GEFEN SELF STORAGE CT I, LLC",LLC,Active,1377624,2022-03-31,2021-02-28,695 CROSS ST. SUITE 292,LAKEWOOD,United States,08701,NJ,SWEINSTOCK@GEFENCP.COM,"GEFEN SELF STORAGE CT I, LLC",Foreign,United States,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:04:42.8900000,Lessors of Miniwarehouses and Self-Storage Units (531130),"1675 SOUTH STATE ST. SUITE B, DOVER, DE, 19901, United States",1675 SOUTH STATE ST. SUITE B,DOVER,DE,19901,"1675 SOUTH STATE ST. SUITE B, DOVER, DE, 19901, United States",1675 SOUTH STATE ST. SUITE B,DOVER,DE,19901,United States,United States,,,,,,,
"MISSION LOANS, LLC",LLC,Active,1376326,2022-03-31,2021-02-01,5686 DRESSLER ROAD NW,NORTH CANTON,,44720,OH,,"MISSION LOANS, LLC",Foreign,,2021-02-10,OH,OH,False,False,False,False,False,2021-11-10 00:04:51.0000000,Mortgage and Nonmortgage Loan Brokers (522310),"5686 DRESSLER ROAD NW, NORTH CANTON, OH, 44720,",5686 DRESSLER ROAD NW,NORTH CANTON,OH,44720,"5686 DRESSLER ROAD NW, NORTH CANTON, OH, 44720,",5686 DRESSLER ROAD NW,NORTH CANTON,OH,44720,,,,,,,,,
LOVELY DAY PRESENTS LLC,LLC,Active,1377725,2022-03-31,,11 SCOVILL STREET,WATERBURY,,06706,CT,,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:53.9600000,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (711310)",,,,,,,,,,,,,,,,,,,
DNS CONTRACTING NYC INC.,Stock,Active,1377548,2022-02-10,2021-02-10,18309 TOWN GREEN DRIVE,ELMSFORD,United States,10523-8972,NY,DEAN.TAHI90@GMAIL.COM,DNS CONTRACTING NYC INC.,Foreign,United States,2021-02-10,NY,NY,False,False,False,False,False,2021-11-10 00:04:52.1466667,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,
BIBBY'S TRUCKING LLC,LLC,Active,1377957,2022-03-31,,2370 NORTH AVE,BRIDGEPORT,United States,06604,CT,RONDALASETAL@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:54.5400000,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,UNIT 12B,,
GRACE GEE LLC,LLC,Active,1377519,2022-03-31,,916 RIDGE RD.,HAMDEN,United States,06517,CT,INFO.GRACE.GEE@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:03.1233333,,,,,,,,,,,,,,,,,,,,
JR REALTY VENTURES LLC,LLC,Active,1377520,2022-03-31,,24 N SPRING ST. #3,ANSONIA,United States,06401,CT,JRREALTYVENTURES@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:09.3600000,,,,,,,,,,,,,,,,,,,,
CF CONSTRUCTION FT LLC,LLC,Active,1377485,2022-03-31,2021-02-08,127 WASHINGTON AVE WEST BUILDING LOWER LEVEL,NORTH HAVEN,United States,06473,CT,LEGAL@GREENSKIES.COM,CF CONSTRUCTION FT LLC,Foreign,United States,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:05:03.2000000,Solar Electric Power Generation (221114),,,,,,,,,,,,,,,,,,,
CERBERUS DETECTIVE AGENCY INC.,Stock,Active,1377632,2021-05-11,,No information provided,,,,,CERBERUS.INVESTIGATIONSINC@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:04.0000000,Investigation Services (561611),,,,,,,,,,,,,,First report past due,5000.0,,,,
"INSGROUP, LLC",LLC,Active,1377474,2022-03-31,2021-02-10,5151 SAN FELIPE ST. SUITE 2400,HOUSTON,United States,77056,TX,GOVDOCS@CORPCREATIONS.COM,"INSGROUP, LLC",Foreign,United States,2021-02-10,FL,FL,False,False,False,False,False,2021-11-10 00:05:03.1400000,Insurance Agencies and Brokerages (524210),"801 US HIGHWAY 1, NORTH PALM BEACH, FL, 33408, United States",801 US HIGHWAY 1,NORTH PALM BEACH,FL,33408,"801 US HIGHWAY 1, NORTH PALM BEACH, FL, 33408, United States",801 US HIGHWAY 1,NORTH PALM BEACH,FL,33408,United States,United States,,,,,,,
JOURNEY WITH STEPHANIE LLC,LLC,Active,1377475,2022-03-31,,479 LISBON RD,CANTERBURY,United States,06331,CT,NEWJOURNEYYOGA19@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,False,False,False,2021-11-10 00:05:05.2033333,Fitness and Recreational Sports Centers (713940),,,,,,,,,,,,,,,,,,,
"MARASIOTIS, LLC",LLC,Active,1377638,2022-03-31,,58 TOWN STREET,NORWICH,United States,06360,CT,IRENEMARA0516@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:03.9366667,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,
CLEAN NATURE LANDSCAPING LLC,LLC,Active,1377741,2022-03-31,,72 ASTORIA AVENUE,BRIDGEPORT,,06604,CT,,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:58.7800000,,,,,,,,,,,,,,,,,,,,
RSB PERFORMANCE LLC,LLC,Active,1377577,2022-03-31,,812 COOKE ST,WATERBURY,United States,06710,CT,BAYONRICHARD1187@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:05.1400000,All Other Automotive Repair and Maintenance (811198),,,,,,,,,,,,,,,,,,,
"PAYWARD VENTURES, INC.",Stock,Active,1377634,2022-02-10,2013-11-21,237 KEARNY STREET #102,SAN FRANCISCO,United States,94108,CA,COMPLIANCE@KRAKEN.COM,"PAYWARD VENTURES, INC.",Foreign,United States,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:04:58.8100000,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,,,,,,
RODRIGUEZ REALTY LLC,LLC,Active,1377640,2022-03-31,,74 SUNNYFIELD DRIVE,WINDSOR,United States,06095,CT,RODRIGUEZREALTY2021@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:07.2166667,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
WORTHIT. LLC,LLC,Active,1377579,2022-03-31,,31 EASTON HEIGHTS LANE,EASTON,United States,06612,CT,KARINASANTIAGOFITNESS@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:58.2166667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,
"THE HATS, LLC",LLC,Active,1377633,2022-03-31,,797 CONGDON STREET WEST,MIDDLETOWN,United States,06457,CT,HOLLY@BOOKKEEPING-RESCUE.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:04.0133333,Siding Contractors (238170),,,,,,,,,,,,,,,,,,,
CACTUS GAMES LLC,LLC,Active,1377545,2022-03-31,,15 ROCK SPRING RD,TRUMBULL,United States,06611,CT,AUDREY.VERESPY@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:02.5133333,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,,,,,
NEW MILFORD INTERNAL MEDICINE INC.,Stock,Active,1377636,2022-02-11,,11 PROSPECT HILL ROAD,NEW MILFORD,United States,06776,CT,MARICI8@AOL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:14.6866667,"Offices of Physicians, Mental Health Specialists (621112)",,,,,,,,,,,,,,,1000.0,,,,
KEY2SUCCESS LLC,LLC,Active,1377546,2022-03-31,,215 SUMMERFIELD AVE,BRIDGEPORT,United States,06610,CT,KEYLANTRA20@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:21.7666667,Other Clothing Stores (448190),,,,,,,,,,,,,,,,,,,
"B.M.C. ENGINEERING, LLC",LLC,Active,1377618,2022-03-31,2021-02-15,50-S AUDUBON ROAD,WAKEFIELD,United States,01880,MA,DOCUMENTS@INCORP.COM,"B.M.C. ENGINEERING, LLC",Foreign,United States,2021-02-10,MA,MA,False,False,False,False,False,2021-11-10 00:05:37.6900000,Engineering Services (541330),"50-S AUDUBON ROAD, WAKEFIELD, MA, 01880, United States",50-S AUDUBON ROAD,WAKEFIELD,MA,01880,"50-S AUDUBON ROAD, WAKEFIELD, MA, 01880, United States",50-S AUDUBON ROAD,WAKEFIELD,MA,01880,United States,United States,,,,,,,
MCP SPS LLC,LLC,Active,1377578,2022-03-31,2020-12-23,"4 GREENWICH OFFICE PARK, 1ST F",GREENWICH,United States,06831,CT,JASON@MELODYFINANCELLC.COM,MCP SPS LLC,Foreign,United States,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:05:25.8900000,Portfolio Management (523920),,,,,,,,,,,,,,,,,,,
"CEC ENTERTAINMENT (CONNECTICUT), LLC",LLC,Active,1377756,2022-03-31,2020-12-30,1707 MARKET PLACE BLVD. SUITE 200,IRVING,,75063,TX,DDECK@CECENTERTAINMENT.COM,"CEC ENTERTAINMENT, LLC",Foreign,,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:05:42.3833333,Limited-Service Restaurants (722513),,,,,,,,,,,,,,,,,,,
LOLAS BOUJIE BOUTIQUE LLC,LLC,Active,1377608,2022-03-31,,698 WOODTICK ROAD,WATERBURY,United States,06705,CT,TEASON70@ICLOUD.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:21.7800000,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers (424330)",,,,,,,,,,,,,,,,,,,
FUTURE OF YOUR FUTURE LLC,LLC,Active,1377616,2022-03-31,,58 PEACEABLE STREET,WEST REDDING,United States,06896,CT,L8ONSCHUR@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:28.8766667,Civic and Social Organizations (813410),,,,,,,,,,,,,,,,,,,
A&M MECHANICAL LLC,LLC,Active,1377566,2022-03-31,,223 N RIDGE CT,SOUTHINGTON,United States,06489,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:23.8433333,,,,,,,,,,,,,,,,,,,,
"UNITRANCHE LOAN TRANSACTION II, LLC",LLC,Active,1378726,2022-03-31,2021-02-10,TWO BETHESDA METRO CENTER STE. 600,BETHESDA,,20814,MD,,"UNITRANCHE LOAN TRANSACTION II, LLC",Foreign,,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:05:11.2033333,Sales Financing (522220),,,,,,,,,,,,,,,,,,,
ON POINT CAFE LLC,LLC,Active,1377530,2022-03-31,,333 STATE STREET A,BRIDGEPORT,United States,06604,CT,ONPOINTSCAFE@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:40.9900000,,,,,,,,,,,,,,,,,,,,
"MANAFORT NEWPORT REALTY, LLC",LLC,Active,1377610,2022-03-31,,710 MAIN STREET SUITE 11,PLANTSVILLE,United States,06479,CT,TONY@LOVLEYDEVELOPMENT.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:22.4833333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
BETTER LENDING LLC,LLC,Active,1377757,2022-03-31,2021-03-01,2700 S RIVER ROAD SUITE 206,DES PLAINES,,60018,IL,,BETTER LENDING LLC,Foreign,,2021-02-10,IL,IL,False,False,False,False,False,2021-11-10 00:05:10.6233333,Real Estate Credit (522292),"2700 S RIVER RD # 206, DES PLAINES, IL, 60018,",2700 S RIVER RD # 206,DES PLAINES,IL,60018,"2700 S RIVER ROAD SUITE 206, DES PLAINES, IL, 60018,",2700 S RIVER ROAD SUITE 206,DES PLAINES,IL,60018,,,,,,,,,
LATITUDE ADVENTURES LLC,LLC,Active,1377607,2022-03-31,,131 OLD KINGDOM RD,WILTON,United States,06897,CT,DMILL131@OPTONLINE.NET,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:09.9200000,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,
"POURINGS & PASSAGES, LLC",LLC,Active,1377609,2022-03-31,,103 MAIN STREET,DANIELSON,United States,06239,CT,JIMMYKERMIT@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:10.6233333,Book Stores (451211),,,,,,,,,,,,,,,,,,,
WEST LANDSCAPING LLC,LLC,Active,1377613,2022-03-31,,350 COLONEL LEDYARD HIGHWAY,LEDYARD,United States,06339,CT,WESTLANDSCAPINGLLC@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:14.7666667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,
CALI J & COMPANY CONTRACTOR DIVISION LLC,LLC,Active,1377459,2022-03-31,,176 PONUS AVE,NORWALK,United States,06850,CT,KEMBERYMORA@YAHOO.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:18.3300000,Masonry Contractors (238140),,,,,,,,,,,,,,,,,,,
"PARENTECHNIQUE, LLC",LLC,Active,1377457,2022-03-31,,932 LITCHFIELD TURNPIKE,BETHANY,United States,06524,CT,PARENTECHNIQUE@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:20.5300000,Family Planning Centers (621410),,,,,,,,,,,,,,,,,,,
FOUNDATIONRX HOLDING LLC,LLC,Active,1377805,2022-03-31,,200 BOSTON POST ROAD,ORANGE,United States,06477,CT,FOUNDATIONRXSTORES@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:14.0166667,Offices of Other Holding Companies (551112),,,,,,,,,,,,,,,,,,,
TRUST BRIDGE LLC,LLC,Active,1377615,2022-03-31,,"609 WEST JOHNSON AVE, SUITE 115",CHESHIRE,United States,06410,CT,BRIAND@TRUSTBRIDGELENDING.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:13.3433333,,,,,,,,,,,,,,,,,,,,
NEXT LEVEL AUTO DETAILING LLC,LLC,Active,1377477,2022-03-31,,1443 S. MAIN ST UNIT A,WATERBURY,United States,06706,CT,N3XTLEVELDETAILING@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:14.7666667,Car Washes (811192),,,,,,,,,,,,,,,,,,,
"MARIDIA BAY HOLDINGS, LLC",LLC,Active,1377612,2022-03-31,,428 CHURCH ST,AMSTON,United States,06231,CT,AMASTRONUNZIO@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:09.9700000,,,,,,,,,,,,,,,,,,,,
WF AUTO TRANSPORT LLC,LLC,Active,1377639,2022-03-31,,133 PRIMROSE AVE,BRIDGEPORT,United States,06606,CT,WFAUTOTRANSPORT@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:10.5766667,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",,,,,,,,,,,,,,,,,,,
MAPLE HOMES LLC,LLC,Active,1377617,2022-03-31,2021-02-10,11 OVERLOOK DR,TYNGSBORO,United States,01879,MA,MAPLEHOMESNE@GMAIL.COM,MAPLE HOMES LLC,Foreign,United States,2021-02-10,NH,NH,False,False,False,False,False,2021-11-10 00:05:14.7333333,Lessors of Residential Buildings and Dwellings (531110),"159 MAIN STREET S100, NAHUA, NH, 03060, United States",159 MAIN STREET S100,NAHUA,NH,03060,"159 MAIN STREET S100, NASHUA, NH, 03060, United States",159 MAIN STREET S100,NASHUA,NH,03060,United States,United States,,,,,,,
LASHEA HAIR STUDIO LLC,LLC,Active,1377635,2022-03-31,,333 N. MAIN STREET,WEST HARTFORD,United States,06117,CT,LASHEAHAIRSTUDIO@YAHOO.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:16.3433333,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,
SIGN IDEAS LLC,LLC,Active,1377575,2022-03-31,,545 NAUGATUCK AVE,MILFORD,United States,06460,CT,SIGNIDEAS@USA.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:11.2333333,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,,,,,,
"LGL, LLC",LLC,Active,1377473,2022-03-31,,13 BOGGY HOLE ROAD,OLD LYME,United States,06371,CT,LGRUNWELL@SBCGLOBAL.NET,,Domestic,,2021-02-10,CT,Connecticut,True,False,False,False,False,2021-11-10 00:05:11.2333333,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,,,,,
ME WITH GOD LLC,LLC,Active,1377611,2022-03-31,,"25 DONNA DRIVE, C5",NEW HAVEN,United States,06513,CT,NEVELLJONES@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:21.7333333,,,,,,,,,,,,,,,,,,,,
MSS SPS LLC,LLC,Active,1377571,2022-03-31,2020-12-23,4 GREENWICH OFFICE PARK 1ST FLOOR,GREENWICH,United States,06831,CT,JASON@MELODYFINANCELLC.COM,MSS SPS LLC,Foreign,United States,2021-02-10,DE,DE,False,False,False,False,False,2021-11-10 00:05:19.2666667,Portfolio Management (523920),,,,,,,,,,,,,,,,,,,
SINO-AMERICAN CULTURAL CENTER LLC,LLC,Active,1377572,2022-03-31,,494 WHITNEY AVENUE 6B,NEW HAVEN,United States,06511,CT,RUOSEN.GUO@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:12.0000000,Educational Support Services (611710),,,,,,,,,,,,,,,,,,,
JL COMMERCE LLC,LLC,Active,1377472,2022-03-31,,525 PEDDLERS ROAD,GUILFORD,United States,06437,CT,LISAZAJKOWSKI4@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,False,False,False,2021-11-10 00:05:11.1866667,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,
THE CLOZET SPACE LLC,LLC,Active,1377476,2022-03-31,,667 BURNSIDE AVE,EAST HARTFORD,United States,06108,CT,ADWINNOV@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,True,False,False,2021-11-10 00:05:42.3833333,Clothing Accessories Stores (448150),,,,,,,,,,,,,,,,,,,
GREEN SOURCE PROPERTY SERVICES LLC,LLC,Active,1377564,2022-03-31,,12 KREYSSIG ROAD,BROAD BROOK,United States,06016,CT,GREENSOURCEPROPERTYSERVICES@GMAIL.COM,,Domestic,,2021-02-10,CT,Connecticut,True,False,False,False,False,2021-11-10 00:05:30.0800000,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,
SUNSET PARK & RV INC,Stock,Active,1377565,2022-02-10,2020-11-22,1055 N 625 W,SHIPSHEWANA,United States,46565-1559,IN,SUNSETPARKRV@YAHOO.COM,SUNSET PARK & RV INC,Foreign,United States,2021-02-10,IN,IN,False,False,False,False,False,2021-11-10 00:05:31.4400000,Travel Trailer and Camper Manufacturing (336214),,,,,,,,,,,,,,,,,,,
NEW LONDON LUMBER COMPANY INCORPORATED,Stock,Active,1377547,2022-02-10,2021-02-10,1001 S MYRTLE AVE. STE 2,CLEARWATER,United States,33756,FL,DOCUMENTS@INCORP.COM,NEW LONDON LUMBER COMPANY INCORPORATED,Foreign,United States,2021-02-10,FL,FL,False,False,False,False,False,2021-11-10 00:05:29.5333333,,,,,,,,,,,,,,,,,,,,
ORE HILL FARM LLC,LLC,Active,1377637,2022-03-31,,15 OLD TURNPIKE RD S,EAST CANAAN,United States,06024,CT,NAW5667@AOL.COM,,Domestic,,2021-02-10,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:28.9400000,Chicken Egg Production (112310),,,,,,,,,,,,,,,,,,,
"MOVEDAY MOVERS, LLC",LLC,Active,1377614,2022-03-31,2021-03-01,815 S MAIN ST,JACKSONVILLE,United States,32207,FL,LEISCHEN@SUDDATH.COM,"MOVEDAY MOVERS, LLC",Foreign,United States,2021-02-10,FL,FL,False,False,False,False,False,2021-11-10 00:05:26.0000000,"General Freight Trucking, Local (484110)","815 S MAIN ST, JACKSONVILLE, FL, 32207, United States",815 S MAIN ST,JACKSONVILLE,FL,32207,"815 S MAIN ST, JACKSONVILLE, FL, 32207, United States",815 S MAIN ST,JACKSONVILLE,FL,32207,United States,United States,,,,,,,
