name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,category_survey_email_address,naics_code,create_dt,billing_unit,began_transacting_in_ct,business_name_in_state_country,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,total_authorized_shares,mail_jurisdiction,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mailing_international_address,records_address_unit
"Beacon Health Options Care Services, Inc.",Stock,Active,2363551,2022-10-14,200 State Street,Boston,United States,02109,MA,angie.mccann@anthem.com,Foreign,,2021-10-14,DELAWARE,DELAWARE,False,False,False,False,False,,All Other Support Services (561990),2021-11-10 00:06:42.3433333,Suite 302,2021-10-14,"Beacon Health Options Care Services, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShiraRose, LLC",LLC,Active,2363572,2022-03-31,47 Woodside Drive,Greenwich,United States,06830,CT,michael@mlladvisors.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,onlinefilings@legalzoom.com,Other Financial Vehicles (525990),2021-11-10 00:06:41.7633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice N Fresh Bakery LLC,LLC,Active,2363556,2022-03-31,1443 Bank Street,Waterbury,United States,06708,CT,pmiguelsantos83@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,tim@fmslaw.org,Snack and Nonalcoholic Beverage Bars (722515),2021-11-10 00:06:42.3433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watches Networks Americas LLC,LLC,Active,2363558,2022-03-31,125 Greenwich Ave,Greenwich,United States,06830-5527,CT,rivka@wolfferscohen.com,Foreign,,2021-10-14,DELAWARE,DELAWARE,False,False,False,False,False,,Internet Publishing and Broadcasting and Web Search Portals (519130),2021-11-10 00:06:42.2800000,Suite 203,2021-07-01,Watches Networks Americas LLC,,"1209 N Orange St, Wilmington, DE, 19801-1120, United States",1209 N Orange St,Wilmington,DE,19801-1120,United States,"1209 N Orange St, Wilmington, DE, 19801-1120, United States",1209 N Orange St,Wilmington,DE,19801-1120,United States,,,,,,,,,,,,,,
BFG STRATFORD PROPCO LLC,LLC,Active,2363567,2022-03-31,228 NORTH PARK AVENUE,WINTER PARK,United States,32789,FL,joanne.ball@bournefg.com,Foreign,,2021-10-14,DELAWARE,DELAWARE,False,False,False,False,False,,Assisted Living Facilities for the Elderly (623312),2021-11-10 00:06:42.3266667,SUITE A,2021-12-01,BFG STRATFORD PROPCO LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJAC Cards & Collectables LLC,LLC,Active,2363566,2022-03-31,15 Szepanski Road,Windsor Locks,United States,06096,CT,kjac.cards@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:06:42.2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G&T Taylor Street LLC,LLC,Active,2363576,2022-03-31,114 Hubbard Ave,Stamford,United States,06905-4809,CT,gbparking@yahoo.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,wfarrell@wrkk.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:42.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Hill Foods Inc.,Stock,Active,2363580,2022-01-12,,,,,,arikleinman@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,onlinefilings@legalzoom.com,,2021-11-10 00:06:42.2633333,,,,First report due,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,
Warrior Fitness LLP,LLP,Active,2363591,2022-10-14,44 Gladwin Rd,Killingworth,United States,06419,CT,sloaneproto@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,False,False,False,,Fitness and Recreational Sports Centers (713940),2021-11-10 00:06:42.3433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios Electric LLC,LLC,Active,2363603,2022-03-31,194 Newtown Ave.,Norwalk,United States,06851,CT,nikos.gkogkos@outlook.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.3433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A63 & A63 LLC,LLC,Active,2363595,2022-03-31,255 Twin Lakes Rd,North Branford,United States,06471-1215,CT,afsanehghasemi63@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,International Trade Financing (522293),2021-11-10 00:06:42.2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continua Consulting LLC,LLC,Active,2363605,2022-03-31,18 Grey Rock Dr,Greenwich,United States,06831-4233,CT,ps430@hotmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,False,False,False,,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:42.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxe Inc,Stock,Active,2363626,2022-10-14,"1675 Broadway, 35th Floor",New York,United States,10019,NY,radiv@incserv.com,Foreign,,2021-10-14,DELAWARE,DELAWARE,False,False,False,False,False,,,2021-11-10 00:06:42.2966667,,2021-10-14,Roxe Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomon trucking LLC,LLC,Active,2363618,2022-03-31,45 Leighton Dr,Stratford,United States,06614-2619,CT,salomontransport@outlook.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,fulfillment@zenbusiness.com,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrillfishing LLC,LLC,Active,2363625,2022-03-31,6 Scattergood Cir,Trumbull,United States,06611-2133,CT,paul@thrillfishing.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Finfish Fishing (114111),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAYLINA TRANSPORT LLC,LLC,Active,2363713,2022-03-31,55 Minturn Rd,Bridgeport,United States,06606,CT,efile1234@incfile.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishram LLC,LLC,Active,2363631,2022-03-31,11 Maplewood Lane,Stonington,United States,06378,CT,kuppu@avishram.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,All Other Traveler Accommodation (721199),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NHG Holdings, LLC",LLC,Active,2363637,2022-03-31,396 Orange Street,New Haven,United States,06511,CT,ski@newhavengroup.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,cf@pellegrinolawfirm.com,,2021-11-10 00:06:42.3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Education LLC,LLC,Active,2363639,2022-03-31,,,FRANCE,,,lauren.ann.reed@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Educational Support Services (611710),2021-11-10 00:06:42.2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84 Avenue Philippe Auguste,
"R.E.D. STAMP, INC.",Stock,Active,2363643,2022-10-14,3800 PATTERSON AVE SE,GRAND RAPIDS,USA,49512,MI,BFROST@REDSTAMPINC.COM,Foreign,USA,2021-10-14,,MICHIGAN,False,False,False,False,False,,333249,2021-11-10 00:06:42.2800000,,2021-10-05,"R.E.D. STAMP, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Cafe Company,Stock,Active,2363654,2022-01-12,,,,,,info@levassoc.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,True,info@levassoc.com,Limited-Service Restaurants (722513),2021-11-10 00:06:42.2966667,,,,First report due,,,,,,,,,,,,,,,,100.0,,,,,,,,,,
"Everbrook Ventures, LLC",LLC,Active,2363665,2022-03-31,55 John E Horton Blvd,Hebron,United States,06248-1564,CT,pking@everbrookseniorliving.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Assisted Living Facilities for the Elderly (623312),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267 Thompson LLC,LLC,Active,2363656,2022-03-31,2 Leon St,Thompson,United States,06277-1318,CT,cheryl_popiak@yahoo.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,alacommare@mlglawfirm.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYVEN & COMPANY LLC,LLC,Active,2363660,2022-03-31,571 Pepper St,Monroe,United States,06468-2670,CT,mindyanne0507@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,All Other Miscellaneous Manufacturing (339999),2021-11-10 00:06:42.3266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RENU, Inc.",Stock,Active,2363669,2022-10-14,3200 Earhart,Carrollton,United States,75006,TX,mrobinson@thdadvisory.com,Foreign,,2021-10-14,DELAWARE,DELAWARE,False,False,False,False,False,,Residential Remodelers (236118),2021-11-10 00:06:42.3266667,,2021-10-14,"RENU, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
CH BUILDERS LLC,LLC,Active,2363677,2022-03-31,38 S 1st St,Meriden,United States,06451-4002,CT,chbuilders.11@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,True,False,False,,Residential Remodelers (236118),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quantem Aviation Services, LLC",LLC,Active,2363678,2022-03-31,175 Ammon Drive,Manchester,United States,03103,NH,bwildes@preti.com,Foreign,,2021-10-14,DELAWARE,DELAWARE,False,False,False,False,False,,Other Support Activities for Air Transportation (488190),2021-11-10 00:06:42.2966667,106,2021-09-14,"Quantem Aviation Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
RE Ventures LLC,LLC,Active,2363686,2022-03-31,1033 East Putnam Avenue,Riverside,United States,06878,CT,christina.damo@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,mike@mjscpa.com,Residential Property Managers (531311),2021-11-10 00:06:41.7633333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB Green Liberty Notes LLC,LLC,Rejected,2363694,,75 Charter Oak Avenue,Hartford,United States,06106,CT,legal@ctgreenbank.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,alex.kovtunenko@ctgreenbank.com,Other Financial Vehicles (525990),2021-11-10 00:06:42.3433333,Suite 1-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPOWEREDPEOPLE LLC,LLC,Active,2363731,2022-03-31,6 Meg Way,Windsor Locks,United States,06096,CT,efile1234@incfile.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Professional and Management Development Training (611430),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.S. KENOBI LLC,LLC,Active,2363705,2022-03-31,"55 GLENBROOK ROAD, UNIT 7",STAMFORD,USA,06902,CT,ES.KENOBI@GMAIL.COM,Domestic,United States,2021-10-14,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brick Freight LLC,LLC,Active,2363711,2022-03-31,226 E Main St,Bristol,United States,06010,CT,brickfreight@yahoo.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,True,False,False,,"General Freight Trucking, Local (484110)",2021-11-10 00:06:42.2966667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime RE Ventures LLC,LLC,Active,2363718,2022-03-31,1033 East Putnam Avenue,Riverside,United States,06878,CT,carolynm.damo@outlook.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,mike@mjscpa.com,Residential Property Managers (531311),2021-11-10 00:06:42.3433333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goddess Of Wigs Limited Liability Company,LLC,Active,2363717,2022-03-31,393 Columbus Ave,Stratford,United States,06615-7213,CT,princesspencer03@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,All Other Miscellaneous Manufacturing (339999),2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Solutions LLC,LLC,Active,2363721,2022-03-31,6 Lee St,Bristol,United States,06010-5222,CT,attle.eric@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,attleeric@gmail.com,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOP RANGERS LLC,LLC,Rejected,2363725,,31 Elliott Rd,Trumbull,United States,06611,CT,efile1234@incfile.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,All Other Personal Services (812990),2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALBOURNE KNOLL LLC,LLC,Active,2363723,2022-03-31,8 NEW PRESTON HILL ROAD,NEW PRESTON,USA,06777,CT,SLM1897J@GMAIL.COM,Domestic,United States,2021-10-14,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niz home solutions L.L.C.,LLC,Active,2363724,2022-03-31,172 Affleck St,Hartford,United States,06106-5210,CT,nizhomesolutions@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,True,False,False,,Residential Remodelers (236118),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW ENGLAND DISTRIBUTERS INC.,Stock,Active,2363729,2022-01-12,,,,,,,Domestic,United States,2021-10-14,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.2966667,,,,First report due,,,,,,,,,,,,,,,,200.0,,,,,,,,,,
"Sovereign Equine, LLC",LLC,Active,2363740,2022-03-31,151 Wellington Dr,Stamford,United States,06903-3209,CT,faillacarmen@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,False,False,False,,Horses and Other Equine Production (112920),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AstraSnap Development, LLC",LLC,Active,2363756,2022-03-31,50 whiting lane,West Hartford,United States,06119,CT,eastern@northwestregisteredagent.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Plumbing L.L.C.,LLC,Active,2363762,2022-03-31,245 Grove st,New Milford,United States,06776,CT,jonncole80@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",2021-11-10 00:06:42.3600000,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"854AOL, LLC",LLC,Active,2363767,2022-03-31,2 Old New Milford Rd,Brookfield,United States,06804-2426,CT,michele@contractinggroup.net,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,michele@contractinggroup.net,New Housing For-Sale Builders (236117),2021-11-10 00:06:42.3100000,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford Health Pharmacy LLC,LLC,Active,2363771,2022-03-31,One Hospital Plz,Stamford,United States,06902-3602,CT,sso@stamhealth.org,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Pharmacies and Drug Stores (446110),2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outperform Marketing Solutions, LLC",LLC,Active,2363774,2022-03-31,2389 Main Street STE 100,Glastonbury,United States,06033,CT,llcsupport@primecorporateservices.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time For Tech Co.,Non-Stock,Active,2363793,2022-01-12,,,,,,ananya.patil2k8@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Educational Support Services (611710),2021-11-10 00:06:41.7500000,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungry Genius Apparel LLC,LLC,Active,2363828,2022-03-31,125 Cliffside DR,Manchester,United States,06042,CT,hungrygeniusapparelllc@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Men's Clothing Stores (448110),2021-11-10 00:06:41.7633333,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SANILEE, LLC",LLC,Active,2363797,2022-03-31,22 Aetna St,Waterbury,United States,06704-3027,CT,atmyvillagehhc@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GK Brookfield, LLC",LLC,Active,2363800,2022-03-31,2 Old New Milford Rd,Brookfield,United States,06804-2426,CT,michele@contractinggroup.net,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,michele@contractinggroup.net,New Housing For-Sale Builders (236117),2021-11-10 00:06:42.2966667,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heritage Grp LLC,LLC,Active,2363806,2022-03-31,458 Putnam Pike,Greenville,United States,02828-3007,RI,rebecca.correia@hotmail.com,Foreign,,2021-10-14,RHODE ISLAND,RHODE ISLAND,False,False,False,False,False,,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:06:42.2966667,,2021-10-22,The Heritage Grp,,"458 Putnam Pike, Greenville, RI, 02828-3007, United States",458 Putnam Pike,Greenville,RI,02828-3007,United States,"458 Putnam Pike, Greenville, RI, 02828-3007, United States",458 Putnam Pike,Greenville,RI,02828-3007,United States,,,,,,,,,,,,,,
ADD Properties LLC,LLC,Active,2363813,2022-03-31,1033 East Putnam Avenue,Riverside,United States,06878,CT,addpropsllc@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,mike@mjscpa.com,,2021-11-10 00:06:42.2966667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Declucks Chicken Services, LLC",LLC,Active,2363799,2022-03-31,34 Khakum Wood Rd,Greenwich,United States,06831-3748,CT,kristen@premiercfs.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Other Services to Buildings and Dwellings (561790),2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLCE PLUMBING & HEATING LLC,LLC,Active,2363860,2022-03-31,"27 Belltown Road, #5",Stamford,United States,06905,CT,dolceplumbing@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,jcassoneattorney@aol.com,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",2021-11-10 00:06:42.2800000,#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J & Z MOBILE, LLC",LLC,Active,2363808,2022-03-31,345 Gold Star Hwy,Groton,United States,06340-6264,CT,woodenmonk52@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,frsablone@gmail.com,Mobile Food Services (722330),2021-11-10 00:06:42.3100000,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTHING BUT CRUNCH, LLC",LLC,Active,2363820,2022-03-31,2335 Dixwell Ave Suite 2,Hamden,United States,06514,CT,nothingbutcrunchrgc@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three Little Bears Child Care, LLC",LLC,Active,2363816,2022-03-31,2004 E Main St,Bridgeport,United States,06610-1902,CT,alinag.re@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,True,False,False,,Child Day Care Services (624410),2021-11-10 00:06:42.3266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CT Auto Recycling Group, LLC",LLC,Active,2363829,2022-03-31,9 Spring Street,West Haven,United States,06516,CT,industrialrecyclingllc@yahoo.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,All Other Automotive Repair and Maintenance (811198),2021-11-10 00:06:41.7633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMKJ LLC,LLC,Active,2363830,2022-03-31,85 Foxcroft Dr,Scarborough,United States,04074-8979,ME,rgergis@ymail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,llelek@sswbgg.com,Full-Service Restaurants (722511),2021-11-10 00:06:42.3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPAIGE ENTERPRISE LLP,LLP,Active,2363859,2022-10-14,46 Linwood Dr,Bloomfield,United States,06002-1717,CT,kapaige12@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,True,False,False,,All Other Personal Services (812990),2021-11-10 00:06:42.3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson White LLC,LLC,Active,2363840,2022-03-31,169 Birch St,Manchester,United States,06040-5463,CT,thejacksonwhite.llc@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,True,False,False,,Other Support Activities for Road Transportation (488490),2021-11-10 00:06:42.3266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE Services LLC,LLC,Active,2363841,2022-03-31,18 Pleasant Street,Bethel,United States,06801-2337,CT,tony.edelmann@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,Landscaping Services (561730),2021-11-10 00:06:42.2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henrry carpentry llc,LLC,Active,2363844,2022-03-31,5 Duck St,Danbury,United States,06810,CT,henrry.erreyes.7@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,infous2019@mypromultiservice.com,Finish Carpentry Contractors (238350),2021-11-10 00:06:42.3266667,fl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keane on Food LLC,LLC,Active,2363861,2022-03-31,33 South Road,Harwinton,United States,06791,CT,barbara@keaneonfood.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,True,False,False,,Marketing Consulting Services (541613),2021-11-10 00:06:42.3266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCG Transportation, LLC",LLC,Active,2363862,2022-03-31,"492 East St., Apt. 6",Plainville,United States,06062,CT,agent@mycompanyworks.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,orders@mycompanyworks.com,,2021-11-10 00:06:42.2966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579 Ella T Grasso Blvd LLC,LLC,Active,2363864,2022-03-31,1033 East Putnam Avenue,Riverside,United States,06878,CT,addpropsllc@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,mike@mjscpa.com,,2021-11-10 00:06:42.3100000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I2H LLC,LLC,Active,2363871,2022-03-31,2212 Queen Anne Ave N,Seattle,United States,98109,WA,accounting@interactiveinsights.io,Foreign,,2021-10-14,DELAWARE,DELAWARE,False,False,False,False,False,,Other Computer Related Services (541519),2021-11-10 00:06:42.3100000,759,2021-10-31,I2H LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saybrook Truck Rental, LLC",LLC,Active,2363881,2022-03-31,269 Boston Post Rd,Old Saybrook,United States,06475-1568,CT,saybrooktruckrental@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,All Other Specialty Trade Contractors (238990),2021-11-10 00:06:42.3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NISSAN NORTH AMERICA, INC.",Stock,Active,2363873,2022-10-14,"ONE NISSAN WAY, M.S. A-5-C",FRANKLIN,USA,37067,TN,LORI.MCPHERSON@NISSAN-USA.COM,Foreign,,2021-10-14,,DELAWARE,False,False,False,False,False,,423100,2021-11-10 00:06:42.2800000,,2021-10-01,"NISSAN NORTH AMERICA, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
JBN Real Estate LLC,LLC,Active,2363884,2022-03-31,12 Broadmeadow Rd,Wallingford,United States,06492-6046,CT,diangeld99@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,False,False,False,diangeld99@gmail.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:42.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wolfe HR Consulting, L.L.C.",LLC,Active,2363895,2022-03-31,23 Lenore Dr,Madison,United States,06443-8016,CT,wolfekluetz@msn.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,info@lawonwall.com,Human Resources Consulting Services (541612),2021-11-10 00:06:42.2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GiaBree LLC,LLC,Active,2363900,2022-03-31,628 Hebron Ave,Glastonbury,United States,06033,CT,steve@giamalis.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:42.3100000,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mejia general service llc,LLC,Active,2363913,2022-03-31,3 Edwards Dr,Brookfield,United States,06804-2601,CT,infous2019@gmail.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,False,False,False,False,False,,All Other Miscellaneous Waste Management Services (562998),2021-11-10 00:06:42.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JustDomo Exotic Herbs LLC,LLC,Active,2363901,2022-03-31,8 Birch Street,Norwalk,United States,06851,CT,gulorr@aol.com,Domestic,United States,2021-10-14,Connecticut,Connecticut,True,False,True,False,False,gulorr@aol.com,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:06:42.3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotch & Soda E-commerce LLC,LLC,Active,2363907,2022-03-31,37 E 18th St,New York,United States,10003-2001,NY,tufvesson.filip@scotch-soda.com,Foreign,,2021-10-14,NEW YORK,NEW YORK,False,False,False,False,False,,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:42.2333333,10,2015-05-18,Scotch & Soda E-commerce LLC,,"37 E 18th St, 10, New York, NY, 10003-2001, United States",37 E 18th St,New York,NY,10003-2001,United States,"37 E 18th St, 10, New York, NY, 10003-2001, United States",37 E 18th St,New York,NY,10003-2001,United States,10,10,,,,,,,,,,,,
