name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_country,naics_sub_code,dissolution_date,category_survey_email_address,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
BURR PROPERTY MGT. LLC,LLC,Active,Ready for dissolution,1329906,2020-03-31,C/O NORTHWEST REGISTERED AGENT 30 N GOULD ST STE N,SHERIDAN,United States,82801,WY,LUAU@ME.COM,Foreign,2019-12-11,WY,WY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,2019-01-01,BURR PROPERTY MGT. LLC,United States,"C/O NORTHWEST REGISTERED AGENT 30 N GOULD ST STE N, SHERIDAN, WY, 82801, United States",C/O NORTHWEST REGISTERED AGENT 30 N GOULD ST STE N,SHERIDAN,WY,82801,,"C/O NORTHWEST REGISTERED AGENT 30 N GOULD ST STE N, SHERIDAN, WY, 82801, United States",C/O NORTHWEST REGISTERED AGENT 30 N GOULD ST STE N,SHERIDAN,WY,82801,United States,United States,,,,,,,,
FIORA ELECTRIC LLC,LLC,Active,,1329907,2022-03-31,15 BRIARWOOD CIRCLE,NORTH HAVEN,United States,06473,CT,fioraelectricme@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,238210.0,,,,,,,
GUTIERREZ CARPENTRY  LLC,LLC,Active,Ready for dissolution,1329908,2020-03-31,24 PATCH ST UNIT 3,DANBURY,United States,06810,CT,CRIS@MIRANTEAGENCY.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
SKYDIVE FOR VETERANS INC,Non-Stock,Active,,1329909,2022-11-08,249 West Main Street,Branford,United States,06405,CT,CONTACT@SKYDIVEFORVETERANS.ORG,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Other Social Advocacy Organizations (813319),,,,,,,,,,,,2021-10-21,Unit 8,,
BONA VENTURES AND LOGISTICS LLC,LLC,Active,Annual report past due,1329910,2021-03-31,112 WASHINGTON ROAD,CROMWELL,United States,06416,CT,ct-reports@statefilings.in,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,All Other Personal Services (812990),,,,,,,,812990.0,,,,,,,
"739 FAIRFIELD BEACH ROAD, LLC",LLC,Active,Ready for dissolution,1329911,2020-03-31,29 HIGH RDGE ROAD,TRUMBULL,,06611,CT,,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
42 LLC,LLC,Active,Ready for dissolution,1329912,2020-03-31,204 VIA DEL MAR,PALM BEACH,,33480,FL,,Domestic,2019-12-11,FL,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
CAROLINA WINE BRANDS USA INC.,Stock,Active,Annual report due,1329913,2021-12-11,383 SILAS DEANE HWY,WETHERSFIELD,United States,06109,CT,Seabrokers@aol.com,Foreign,2019-12-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:37.4333333,2019-12-01,CAROLINA WINE BRANDS USA INC.,United States,,,,,,Wine and Distilled Alcoholic Beverage Merchant Wholesalers (424820),,,,,,,,424820.0,,,,,,,
DAVID MORA CARPENTRY LLC,LLC,Active,Ready for dissolution,1329914,2020-03-31,20 CHARLES ST,NORWALK,,06855,CT,DAVIDMORA_8@LIVE.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
"EVOLUTION ENERGY, LLC",LLC,Active,,1329915,2022-03-31,425 FAIRFIELD AVENUE BUILDING 3,STAMFORD,United States,06902,CT,evolutionairhvac@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,All Other Specialty Trade Contractors (238990),,,,,,,,238990.0,,,,,,,
"ALARCON CALDERON HOLDINGS, LLC",LLC,Active,,1329916,2022-03-31,106 SOUNDVIEW COURT,STAMFORD,United States,06902,CT,susan@danmccabelaw.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Residential Property Managers (531311),,,,,,,,,,,,,,,
IC COMPLIANCE LLC,LLC,Active,,1329917,2022-03-31,4601 DTC BLVD STE 650,DENVER,United States,80237,CO,ARFS@INCSERV.COM,Foreign,2019-12-11,CA,CA,False,False,False,False,False,,2021-11-10 00:10:37.4333333,1997-06-09,IC COMPLIANCE LLC,United States,"7801 FOLSOM BOULEVARD SUITE 2020, SACRAMENTO, CA, 95826, United States",7801 FOLSOM BOULEVARD SUITE 2020,SACRAMENTO,CA,95826,Other Scientific and Technical Consulting Services (541690),"7801 FOLSOM BOULEVARD SUITE 2020, SACRAMENTO, CA, 95826, United States",7801 FOLSOM BOULEVARD SUITE 2020,SACRAMENTO,CA,95826,United States,United States,541690.0,,,,,,,
ANTONIO HALL MANAGEMENT LLC,LLC,Active,,1329918,2022-03-31,195-197 JEFFERSON ST,HARTFORD,United States,06114,CT,antoniohallmanagement@gmail.com,Foreign,2019-12-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:37.4333333,2019-12-11,ANTONIO HALL MANAGEMENT LLC,United States,,,,,,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,,
"BREAKAWAY PROPERTIES, LLC",LLC,Active,,1329919,2022-03-31,170 MAPLE AVE,NORTH HAVEN,United States,06473,CT,breakawayproperties@mail.com,Domestic,2019-12-11,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,,,,,,,
CASS FARM CONSTRUCTION LLC,LLC,Active,,1329921,2022-03-31,2 KLARIDES VILLAGE DR #146,SEYMOUR,United States,06483,CT,ryan@cassfarm.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Finish Carpentry Contractors (238350),,,,,,,,238350.0,,,,,,,
"SENTROL, INC.",Stock,Active,Annual report due,1329922,2021-12-11,1 ROBERTS RD,PLYMOUTH,United States,02360,MA,tcrowley@nesentrol.com,Foreign,2019-12-11,MA,MA,False,False,False,False,False,,2021-11-10 00:10:37.4333333,2019-09-24,"SENTROL, INC.",United States,,,,,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables (334513)",,,,,,,,,,,,,,,
"BANNER HILL FARM, LLC",LLC,Active,Ready for dissolution,1329924,2020-03-31,70C WILLIAMS ROAD,COLCHESTER,United States,06415,CT,WENDYVBFOELS@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
"STANDARD MOTOR PRODUCTS, INC.",Stock,Active,Annual report due,1329925,2021-12-11,37-18 NORTHERN BLVD,LONG ISLAND CITY,United States,11101,NY,sbleichfeld@smpcorp.com,Foreign,2019-12-11,NY,NY,False,False,False,False,False,,2021-11-10 00:10:37.4666667,2019-11-18,"STANDARD MOTOR PRODUCTS, INC.",United States,,,,,,Other Motor Vehicle Parts Manufacturing (336390),,,,,,,,336390.0,,,,,,,
"SOUND RESOLUTION MEDIATION AND COACHING, LLC",LLC,Active,,1329926,2022-03-31,170 CANFIELD DRIVE CANFIELD DRIVE,STAMFORD,United States,06870,CT,stephanie@soundresolutionct.com,Domestic,2019-12-11,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Offices of Lawyers (541110),,,,,,,,541110.0,,,,,,,
MOB PRODUCTIONS LLC,LLC,Active,,1329927,2022-03-31,64 VALLEY VIEW DR.,TOLLAND,United States,06084,CT,marie_obriant@comcast.com,Domestic,2019-12-11,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",,,,,,,,711320.0,,,,,,,
G?S AUTO SALES & REPAIR LLC,LLC,Active,,1329928,2022-03-31,1909 MERIDEN WATERBURY TURNPIKE,SOUTHINGTON,United States,06489,CT,gsautorepairsales@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,All Other Automotive Repair and Maintenance (811198),,,,,,,,811198.0,,,,,,,
INDIKA TRADING LLC,LLC,Active,Ready for dissolution,1329929,2020-03-31,73 PRATT ST,MERIDEN,,06450,CT,ISIMADUWAGE@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
SLH LLC,LLC,Active,,1329930,2022-03-31,35 GREAT NECK ROAD,WATERFORD,United States,06385,CT,jhendel@terramaxdevelopment.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Miscellaneous Financial Investment Activities (523999),,,,,,,,523999.0,,,,,,,
"410 ORCHARD SREET, LLC",LLC,Active,,1329932,2022-03-31,230 EDGEWOOD AVE,NEW HAVEN,United States,06511,CT,greater.dwight.dev@snet.net,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Professional Organizations (813920),,,,,,,,813920.0,,,,,,,
COVALENT COATING TECHNOLOGY INC,Stock,Active,Annual report past due,1329933,2022-01-02,222 PITKIN STREET SUITE 101,EAST HARTFORD,United States,06108,CT,OBAILEY@COVALENTCOATINGTECH.COM,Domestic,2019-12-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) (541715)",,,,,,,,,,,10000.0,,,,
SANCHEZ TRANSPORT LLC,LLC,Active,Ready for dissolution,1329934,2020-03-31,693 WESTFIELD AVE,BRIDGEPORT,United States,06606,CT,MAGICRAMIREZ05@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
YEAH YOGA TRAPEZE LLC,LLC,Active,Ready for dissolution,1329935,2020-03-31,265 WESTPORT RD,EASTON,United States,06612,CT,YEAHYOGATRAPEZE@YAHOO.COM,Domestic,2019-12-11,CT,Connecticut,True,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
"WINDHAM REAL ESTATE, LLC",LLC,Dissolved,,1329936,2021-03-31,45 FAIRLAWN RD,GLASTONBURY,United States,06033,CT,cechols@snet.net,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,2021-03-29T00:00:00.000,,,,,,
CONNECTICUT DISTRICT NO 12 LITTLE LEAGUE INCORPORATED,Non-Stock,Active,Annual report due,1329937,2021-12-11,770 ROUTE 198,WOODSTOCK VALLEY,United States,06282,CT,randy@ctdistrict12.org,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Sports Teams and Clubs (711211),,,,,,,,711211.0,,,,,,,
"C&M HEATING AND COOLING, LLC",LLC,Active,,1329938,2022-03-31,25 ONECO ST APT 3,NORWICH,United States,06360,CT,mdickau1028@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",,,,,,,,,,,,,,,
RJJ WORKS LLC,LLC,Active,Ready for dissolution,1329939,2020-03-31,57 OLENICK ROAD,LEBANON,United States,06249,CT,JILLIAN1072990@YAHOO.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
16TH ROUND PRODUCTIONS LLC,LLC,Active,Ready for dissolution,1329940,2020-03-31,8 TUTTLE CIRCLE,SOUTH WINDSOR,United States,06074,CT,KPENS98@AOL.COM,Domestic,2019-12-11,CT,Connecticut,True,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
"AACPS, INC",Stock,Active,Annual report due,1329941,2021-12-11,153 DEWEY STREET,BRIDGEPORT,United States,06605,CT,scott.m@perrypoolsct.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Other Personal and Household Goods Repair and Maintenance (811490),,,,,,,,811490.0,,,5000.0,,,,
"HILL HIGH SEA STAR, LLC",LLC,Dissolved,,1329942,2021-03-31,"C/O WILLINGER. WILLINGER & BUCCI, PC 1000 BRIDGEPORT AVENUE SUITE 501",SHELTON,United States,06484,CT,heidi.mcgee@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Residential Property Managers (531311),,,,,,,,531311.0,2020-12-22T00:00:00.000,,,,,,
145 TR LLC,LLC,Active,,1329943,2022-03-31,23721 NE 48TH AVENUE #H7,OKEECHOBEE,United States,34972,FL,jeffreyjkeenan@gmail.com,Domestic,2019-12-11,FL,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
129 WHR LLC,LLC,Active,,1329944,2022-03-31,23721 NE 48TH AVENUE #H7,OKEECHOBEE,United States,34972,FL,jeffreyjkeenan@gmail.com,Domestic,2019-12-11,FL,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
EMPOWER STRENGTH AND WELLNESS LLC,LLC,Active,,1329945,2022-03-31,530 SHELTON AVENUE,SHELTON,United States,06484,CT,ldechello@empowerstrengthandwellness.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,All Other Personal Services (812990),,,,,,,,812990.0,,,,,,,
127 WHR LLC,LLC,Active,,1329946,2022-03-31,23721 NE 48TH AVENUE #H7,OKEECHOBEE,United States,34972,FL,jeffreyjkeenan@gmail.com,Domestic,2019-12-11,FL,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
GRANDVIEW HOLDINGS II LLC,LLC,Active,,1329947,2022-03-31,296 GRANDVIEW DRIVE,GLASTONBURY,United States,06033,CT,skadaba52@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,541990.0,,,,,,,
KRIS JAMES CONSULTING LLC,LLC,Active,Ready for dissolution,1329948,2020-03-31,79 MAIN STREET UNIT 9,TORRINGTON,United States,,CT,KRISJAMESCONSULTING@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL PROPERTY INSPECTIONS NEW LONDON COUNTY LLC,LLC,Active,,1329949,2022-03-31,49 INDIAN RD,GUILFORD,United States,06437,CT,kyle.clark@npiinspect.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Building Inspection Services (541350),,,,,,,,541350.0,,,,,,,
"161 MCKOWN, LLC",LLC,Dissolved,,1329950,2021-03-31,"C/O WILLINGER. WILLINGER & BUCCI, PC 855 MAIN STREET 5TH FL",BRIDGEPORT,United States,06604,CT,heidi.mcgee@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Bed-and-Breakfast Inns (721191),,,,,,,,721191.0,2020-12-22T00:00:00.000,,,,,,
"DOC'S HOUSE, LLC",LLC,Active,,1329951,2022-03-31,133 PEACH TREE DRIVE,ORANGE,United States,06477,CT,hilltopturf@yahoo.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,
MEGABOX USA LLC,LLC,Active,,1329952,2022-03-31,43 CRESCENT STREET UNIT 21,STAMFORD,United States,06906,CT,lucy@megaboxusa.com,Domestic,2019-12-11,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Electronics Stores (443142),,,,,,,,443142.0,,,,,,,
"LINCOLN & ORTIZ PROPERTY SERVICES, LLC",LLC,Active,,1329953,2022-03-31,67 WEST ST,BRISTOL,United States,06010,CT,lincolnandortiz@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,
VIRTAMED INC.,Stock,Withdrawn,,1329954,2020-12-11,16144 CHURCHVIEW DRIVE,LITHIA,United States,33547,FL,ELAINE.WARD@VIRTAMED.COM,Foreign,2019-12-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:38.1533333,2019-12-11,VIRTAMED INC.,United States,,,,,,,,,,,,,,,,,,,,,
"JJL LOGISTICS, LLC",LLC,Active,Ready for dissolution,1329955,2020-03-31,37 HIGGINS AVENUE,PLAINVILLE,United States,06062,CT,JLAPOSKY124@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,,,,,,,,,,,,,,,,,,,,,,,,
J & P HOMES LLC,LLC,Active,Annual report past due,1329957,2021-03-31,32 COLLINS PLACE,MERIDEN,United States,06451,CT,ct-reports@statefilings.in,Domestic,2019-12-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,New Multifamily Housing Construction (except For-Sale Builders) (236116),,,,,,,,236116.0,,,,,,,
BULLYPROOFING CORP.,Non-Stock,Active,First report due,1329958,2021-12-11,No information provided,,,,,,Domestic,2019-12-11,CT,Connecticut,False,True,True,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Child and Youth Services (624110),,,,,,,,,,,,,,,
"TREC SOLUTIONS, LLC",LLC,Active,Ready for dissolution,1329959,2020-03-31,15 COREY ROAD,NORTH HAVEN,,06473,CT,,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,,,,,,,,,,,,,,,,,,,,,,,,
"208 OLD LONG RIDGE ROAD, LLC",LLC,Active,,1329960,2022-03-31,2462 LONG RIDGE ROAD,STAMFORD,United States,06903,CT,ricktrue@email.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Residential Property Managers (531311),,,,,,,,531311.0,,,,,,,
HEBRIDEAN HIDEAWAYS LLC,LLC,Active,,1329961,2022-03-31,4475 N. OCEAN BLVD. #21-A,DELRAY BEACH,United States,33483,FL,david@deckerhubbard.com,Foreign,2019-12-11,FL,FL,False,False,False,False,False,,2021-11-10 00:10:34.8233333,2019-12-11,HEBRIDEAN HIDEAWAYS LLC,United States,"4475 N. OCEAN BLVD. #21-A, DELRAY BEACH, FL, 33483,",4475 N. OCEAN BLVD. #21-A,DELRAY BEACH,FL,33483,Residential Property Managers (531311),"4475 N. OCEAN BLVD. #21-A, DELRAY BEACH, FL, 33483, United States",4475 N. OCEAN BLVD. #21-A,DELRAY BEACH,FL,33483,United States,,,,,,,,,
"NOBLE REAL ESTATE, LLC",LLC,Active,Ready for dissolution,1329962,2020-03-31,476 SAVOY STREET,BRIDGEPORT,United States,06606,CT,JENCAPOZZIELLO@YAHOO.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
WPS PROMOTE LLC,LLC,Active,,1329963,2022-03-31,1 ELMCROFT RD STE 500,STAMFORD,United States,06902,CT,hiru@bltoffice.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
TENELANDA R LLC,LLC,Active,Ready for dissolution,1329964,2020-03-31,80 HARVEY RD,RIDGEFIELD,,06879,CT,ELPZABETHMOOTS@YAHOO.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
BLESSTHEWORLD LLC,LLC,Active,,1329966,2022-03-31,89 WIEBE AVE,STRATFORD,United States,06614,CT,bblessmusic@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,711510.0,,,,,,,
FAULKNER ON WHITFIELD INC.,Stock,Active,Annual report due,1329967,2021-12-11,158 WHITFIELD ST,GUILFORD,United States,06437,CT,cgrill@mindspring.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,,,10000.0,,,,
RENEGADE ENTERPRISES LLC,LLC,Active,Ready for dissolution,1329968,2020-03-31,30 ERIN DRIVE,BROOKLYN,United States,06234,CT,GEXARHOULIAS@YAHOO.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
RYKONA SERVICES LLC,LLC,Active,Ready for dissolution,1329969,2020-03-31,262 GREAT PLAIN RD. #13,DANBURY,United States,06811,CT,RYKONA56@SBCGLOBAL.NET,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
CRAB DU JOUR OF MANCHESTER INC,Stock,Active,First report due,1329970,2021-12-11,No information provided,,,,,XIULINGCHEN0811@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,200.0,,,,
HAMDEN DIXWELL FAMILY DENTAL PC,Stock,Active,Annual report due,1329971,2021-12-30,2300 DIXWELL AVENUE,HAMDEN,United States,06513,CT,,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Offices of Dentists (621210),,,,,,,,621210.0,,,10000.0,,,,
3M SITE DEVELOPMENT LLC,LLC,Active,Ready for dissolution,1329972,2020-03-31,1071 MIDDLETOWN AVE,NORTHFORD,United States,06472,CT,MINERISERVICES@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
MILLENNIAL PROPERTIES LLC,LLC,Active,Annual report past due,1329973,2021-03-31,2389 MAIN ST STE 100,GLASTONBURY,United States,06003,CT,fsantos49@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
"TOOMEY'S CROSSING UNIT OWNER'S ASSOCIATION, INC",Non-Stock,Active,Annual report past due,1329974,2020-12-11,11 S. MAIN ST,MARLBOROUGH,,06447,CT,esyoungpc@sbcglobal.net,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
"ZINA'S CUCINA, LLC",LLC,Active,Annual report past due,1329975,2021-03-31,163 DENNISON RIDGE,MANCHESTER,United States,06040,CT,tonymangia@cox.net,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Full-Service Restaurants (722511),,,,,,,,722511.0,,,,,,,
LALU ENTERPRISES LLC,LLC,Active,Ready for dissolution,1329977,2020-03-31,225 TUNXIS AVENUE,BLOOMFIELD,,06002,CT,,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
TECH ACADEMY FOR YOUTH INC.,Non-Stock,Active,First report due,1329978,2021-12-11,No information provided,,,,,SHANEY9@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,True,True,False,,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
SHANTILI'S OVEN LLC,LLC,Active,Ready for dissolution,1329979,2020-03-31,37 FAIRVIEW ST 2ND FL,NEW BRITAIN,United States,06053,CT,SHANTILISOVEN@GMAIL.COM,Domestic,2019-12-11,CT,Connecticut,True,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
"NICK DEOJAY, LLC",LLC,Active,Ready for dissolution,1329980,2020-03-31,380 NORTH MAIN ST,MOOSUP,United States,06354,CT,NICK@EMAILJOLLYJOHNS.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
AQUAMAGIC LLC,LLC,Dissolved,,1329981,2021-03-31,10 HILLSIDE PL. 2 FL.,NORWALK,United States,06854,CT,SERVIEXPRESS2008@HOTMAIL.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,Residential Remodelers (236118),,,,,,,,236118.0,2021-02-04T00:00:00.000,,,,,,
FSI LLC,LLC,Active,Ready for dissolution,1329987,2020-03-31,106 WILLOW STREET,NEW BRITAIN,United States,06051,CT,METJAHIC123@YAHOO.COM,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
S&C IMPORT AND DISTRIBUTION LLC,LLC,Active,Annual report past due,1329988,2021-03-31,11 RAMAPOO ROAD,RIDGEFIELD,United States,06877,CT,sloan.cooper@gmail.com,Domestic,2019-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,Wine and Distilled Alcoholic Beverage Merchant Wholesalers (424820),,,,,,,,,,,,,,,
