name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,sub_status,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,country_formation,naics_sub_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,date_of_organization_meeting,category_survey_email_address,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
120 LIFE BRAND LLC,LLC,Active,1281927,2019-03-31,375 THOMPSON AVE,EAST HAVEN,,06512,CT,120LIFEBRAND@GMAIL.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"ADESA FARM, LLC",LLC,Active,1281950,2022-03-31,120 CEDAR RD,MYSTIC,United States,06355,CT,sutjohn@aol.com,Domestic,2018-08-13,CT,Connecticut,True,True,False,False,False,All Other Miscellaneous Crop Farming (111998),2021-11-10 00:08:29.1333333,,,,,,531110.0,,,,,,,,,,,,,,,,,,,
"219 FISHTOWN ROAD, LLC",LLC,Active,1281951,2022-03-31,120 CEDAR ROAD,MYSTIC,United States,06355,CT,sutjohn@aol.com,Domestic,2018-08-13,CT,Connecticut,True,True,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:29.1333333,,,,,,531110.0,,,,,,,,,,,,,,,,,,,
"THE SOUTHEASTERN CONNECTICUT COMMUNITY LAND TRUST, INC.",Non-Stock,Active,1281960,2021-08-13,539 BEACH POND ROAD,VOLUNTOWN,United States,06384,CT,director@sectclt.org,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:29.1333333,Annual report past due,,,,,531390.0,,,,,,,,,,,,,,,,,,,
"RIVERS SOLAR, LLC",LLC,Dissolved,1281998,2022-03-31,130 ROBERTS STREET,ASHEVILLE,United States,28801,NC,sal@acs123.com,Domestic,2018-08-13,NC,Connecticut,False,False,False,False,False,Solar Electric Power Generation (221114),2021-11-10 00:08:29.1966667,,,,,,221114.0,,,,,,,,,,,,,,2021-06-07T00:00:00.000,,,,,
"XPO CHARITABLE FOUNDATION, INC.",Non-Stock,Active,1282139,2022-08-13,5 AMERICAN LANE,GREENWICH,United States,06831,CT,lanny.gower@xpo.com,Foreign,2018-08-13,DE,DE,False,False,False,False,False,Offices of Other Holding Companies (551112),2021-11-10 00:08:30.4933333,,,2018-08-08,XPO CHARITABLE FOUNDATION,United States,551112.0,,,,,,,,,,,,,,,,nancy.keene@xpo.com,,,
"MOOD MEDIA NORTH AMERICA, LLC",LLC,Active,1282148,2022-03-31,2100 S IH 35 FRONTAGE RD STE 200,AUSTIN,United States,78704,TX,GOVDOCS@CORPCREATIONS.COM,Foreign,2018-08-13,DE,DE,False,False,False,False,False,Other Sound Recording Industries (512290),2021-11-10 00:08:27.3533333,,,2018-08-08,"MOOD MEDIA NORTH AMERICA, LLC",United States,512290.0,"3411 SILVERSIDE RD TATNAIL BLDG STE 104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE RD TATNAIL BLDG STE 104,WILMINGTON,DE,19810,United States,"3411 SILVERSIDE RD TATNALL BLDG STE 104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE RD TATNALL BLDG STE 104,WILMINGTON,DE,19810,United States,,,,,,,
RELAXATION INC.,Stock,Active,1282149,2021-08-13,194 BUCKLAND HILLS DR. APT 1102,MANCHESTER,United States,06042,CT,TAX@BAWAGENCY.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:08:27.3533333,Annual report past due,,,,,812990.0,,,,,,,,,,,,,1.0,,,,,,
"FRANCIS EXOTIC TRAVEL, LLC",LLC,Active,1282153,2019-03-31,46 SUMMER ST,MANCHESTER,,06040,CT,SANTMOLE@GMAIL.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:27.3533333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
HBR LANDSCAPING LLC,LLC,Active,1282157,2020-03-31,2171 EAST MAIN ST APT 4A,WATERBURY,United States,06705,CT,HYSEN.BRAHOLLI1@GMAI.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:27.3533333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
SEGUNDO'S LANDSCAPING LLC,LLC,Active,1282158,2019-03-31,358 COLEMAN STREET APT #1,BRIDGEPORT,,06604,CT,SEGUNDOCABRERA.1234@GMAIL.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:27.3533333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
VP AND AP PROPERTIES LLC,LLC,Active,1282160,2019-03-31,41 MARBELLE COURT,NEW BRITAIN,,06053,CT,PERDOMO.OL@AOL.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:27.3533333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"CHAKRA PROPERTY SOLUTIONS, LLC",LLC,Withdrawn,1281812,2020-03-31,31 COBBLESTONE DRIVE,PLANTSVILLE,United States,06479,CT,CHAKRAPROPDEV@GMAIL.COM,Foreign,2018-08-13,NV,NV,False,False,False,False,False,,2021-11-10 00:06:00.2800000,,,2018-08-24,"CHAKRA PROPERTY SOLUTIONS, LLC",United States,,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147,",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,,,,,,,
NEXT STEP SOCIAL LLC,LLC,Dissolved,1281997,2019-03-31,33 HENRY STREET,WOLCOTT,,06716,CT,NEXTSTEPSOCIAL1@GMAIL.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:26.6033333,,,,,,,,,,,,,,,,,,,,2018-11-02T00:00:00.000,,,,,
J&G SEARCH GROUP LLC,LLC,Dissolved,1281831,2019-03-31,2 REED HILL ROAD,GRANBY,,06035,CT,GREGORY.VIGGIANO@GMAIL.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:04.7900000,,,,,,,,,,,,,,,,,,,,2019-10-03T00:00:00.000,,,,,
DMJ POOL SERVICE LLC,LLC,Dissolved,1281856,2021-03-31,5 REGAL DR,DANBURY,United States,06811,CT,darwintenecela@msn.com,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),2021-11-10 00:04:45.6900000,,,,,,,,,,,,,,,,,,,,2020-11-10T00:00:00.000,,,,,
"SERENE REALTY, LLC",LLC,Dissolved,1281867,2019-03-31,45 ADAMS ST,BRIDGEPORT,,06607,CT,SERENE.REALTY@YAHOO.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:33.3466667,,,,,,,,,,,,,,,,,,,,2019-09-09T00:00:00.000,,,,,
"308 COLONY STREET, LLC",LLC,Dissolved,1281779,2020-03-31,3 SHELDRAKE ROAD,GREENWICH,United States,06830,CT,JAFA621@AOL.COM,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:41.0866667,,,,,,,,,,,,,,,,,,,,2020-02-11T00:00:00.000,,,,,
"ELITE NOTARY, LLC",LLC,Dissolved,1281991,2019-03-31,66 DOGWOOD CIRCLE,WOODBRIDGE,,06525,CT,,Domestic,2018-08-13,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:26.6766667,,,,,,,,,,,,,,,,,,,,2019-06-13T00:00:00.000,,,,,
"GREATER NEW ENGLAND HELICOPTERS, LLC",LLC,Active,1281840,2020-03-31,250 SOUTH MAIN STREET,EAST WINDSOR,United States,06088,CT,lhallise@hdllpcpa.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:27.3533333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"MPT PARTNERS, LLC",LLC,Active,1281850,2022-03-31,45 HAWTHORNE STREET OFFICE,BRISTOL,United States,06010,CT,mptpartners@yahoo.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:27.4000000,,,,,,531110.0,,,,,,,,,,,,,,,,,,,
BALTNAV (USA) LLC,LLC,Active,1281875,2019-03-31,308 WILDWOOD ROAD,STAMFORD,,06903,CT,USA@BALTNAV.COM,Foreign,2018-08-14,DE,DE,False,False,False,False,False,,2021-11-10 00:08:27.4300000,Ready for dissolution,Failure to file Annual Report,2018-09-04,BALTNAV (USA) LLC,,,,,,,,,,,,,,,,,,,,,
"ATLANTIC ASSOCIATES OF STONINGTON, LLC",LLC,Active,1281876,2022-03-31,369 TAUGWONK ROAD,STONINGTON,United States,06378,CT,cbiegner@legacycounsellors.com,Foreign,2018-08-14,AK,AK,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:08:27.4300000,,,2018-08-01,"ATLANTIC ASSOCIATES OF STONINGTON, LLC",United States,531120.0,"73 STEAMBOAT WHARF, STONINGTON, CT, 06378,",73 STEAMBOAT WHARF,STONINGTON,CT,06378,,"73 STEAMBOAT WHARF, MYSTIC, CT, 06355,",73 STEAMBOAT WHARF,MYSTIC,CT,06355,,,,,,,,
"RIGHT AT SCHOOL, LLC",LLC,Active,1281877,2022-03-31,909 DAVIS STREET SUITE 500,EVANSTON,United States,60201,IL,CLS-CTARMSEvidence@wolterskluwer.com,Foreign,2018-08-14,DE,DE,False,False,False,False,False,Child Day Care Services (624410),2021-11-10 00:08:27.4300000,,,2019-01-01,"RIGHT AT SCHOOL, LLC",United States,624410.0,"909 DAVIS STREET SUITE 500, EVANSTON, IL, 60201, United States",909 DAVIS STREET SUITE 500,EVANSTON,IL,60201,United States,"909 DAVIS STREET SUITE 500, EVANSTON, IL, 60201, United States",909 DAVIS STREET SUITE 500,EVANSTON,IL,60201,United States,,,,,,,
ENGAGING SOLUTIONS LLC,LLC,Active,1281879,2020-03-31,2966 TORREY PINES CIRCLE,CANTON,United States,44708,OH,Carl.Zilla@grupobimbo.com,Domestic,2018-08-14,OH,Connecticut,False,False,False,False,False,,2021-11-10 00:08:27.4300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
TESSELMED LLC,LLC,Active,1281880,2019-03-31,4 NELSON PLACE,FAIRFIELD,,06825,CT,JLUNDBYE@UMASS.EDU,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:27.4300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"ORTHOCARE MEDICAL EQUIPMENT, LLC",LLC,Active,1281885,2022-03-31,1450 CHAPEL ST SG15-17,NEW HAVEN,United States,06511,CT,gordon@orthocaremedical.com,Foreign,2018-08-14,NH,NH,False,False,False,False,False,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers (423450)",2021-11-10 00:08:27.4300000,,,2018-06-25,"ORTHOCARE MEDICAL EQUIPMENT, LLC",United States,423450.0,"700 LAKE AVE STE 6, MANCHESTER, NH, 03103,",700 LAKE AVE STE 6,MANCHESTER,NH,03103,,"700 LAKE AVE STE 6, MANCHESTER, NH, 03103, United States",700 LAKE AVE STE 6,MANCHESTER,NH,03103,United States,,,,,,,
SKYE'S PAINTING AND MORE LLC,LLC,Active,1281887,2019-03-31,592 BISHOP AVE,BRIDGEPORT,,06610,CT,MTORRES8432@YAHOO.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
THE ROSES AT GUILFORD HOUSE LLC,LLC,Active,1281888,2022-03-31,109 WEST LAKE AVENUE,GUILFORD,United States,06437,CT,Tim@tsh.necoxmail.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Assisted Living Facilities for the Elderly (623312),2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,,,,,,
KRYSTINE TORRES LLC,LLC,Active,1281889,2022-03-31,34 ADAMS ST SOUTH,MANCHESTER,,06040,CT,DTORRES0106@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:08:28.0266667,,,,,,484121.0,,,,,,,,,,,,,,,,,,,
"RUDOLF J WEISS, LLC",LLC,Active,1281890,2021-03-31,27 SHOREFRONT PARK,NORWALK,United States,06854,CT,rweisslfa@cs.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Insurance Agencies and Brokerages (524210),2021-11-10 00:08:28.0266667,Annual report past due,,,,,524210.0,,,,,,,,,,,,,,,,,,,
"PEAPOD DIGITAL LABS, LLC",LLC,Active,1281892,2022-03-31,300 S. RIVERSIDE PLAZA SUITE 600,CHICAGO,United States,60606,IL,Compliancemail@cscinfo.com,Foreign,2018-08-14,DE,DE,False,False,False,False,False,Testing Laboratories (541380),2021-11-10 00:08:28.0266667,,,2018-08-14,"PEAPOD DIGITAL LABS, LLC",United States,541380.0,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,United States,,,,,,,
FOUNDATIONS IN CHARITY INC.,Non-Stock,Active,1281893,2022-07-13,238 JEWETT AVENUE,BRIDGEPORT,United States,06606,CT,dtietjen@diobpt.org,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Grantmaking Foundations (813211),2021-11-10 00:08:28.0266667,,,,,,813211.0,,,,,,,,,,,,,,,,,,,
MOVE QUICK INC,Stock,Active,1281894,2020-08-14,600. NE 185TH ST APT.304,MIAMI,United States,33179,FL,SUPPORT@MOVEQUICKINC.COM,Foreign,2018-08-14,FL,FL,False,False,False,False,False,,2021-11-10 00:08:28.0266667,Annual report past due,Failure to file Annual Report,2018-08-14,MOVE QUICK INC,United States,,,,,,,,,,,,,,,,,,,,
78 GROVE STREET LLC,LLC,Active,1281895,2022-03-31,30 ALDERWOOD DR,WEST HARTFORD,United States,06117,CT,adam.sulewski@collins.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:28.0266667,,,,,,531110.0,,,,,,,,,,,,,,,,,,,
2VM ENERGY LLC,LLC,Dissolved,1281896,2020-03-31,17 RUNNING BROOK DR,KILLINGWORTH,,06419,CT,MITAL@2VMENERGY.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,2020-12-04T00:00:00.000,,,,,
ON POINT PAINTING & POWER WASHING LLC,LLC,Active,1281897,2019-03-31,33 MACINTOSH DRIVE,OXFORD,,06478,CT,CTONPOINTPAINTING@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
ALL THINGS COZI LLC,LLC,Active,1281898,2019-03-31,50 BREWERY ST UNIT 8854,NEW HAVEN,,06532,CT,ALLTHINGSCOZI@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"EL BETHEL - THE NEW ENGLAND HOUSE OF PRAYER, INC.",Religious,Active,1281899,,No information provided,,,,,EFSM.ORG@GMAIL.COM,Domestic,2018-08-14,,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,,,,,,
JLD REAL ESTATE LLC,LLC,Active,1281900,2022-03-31,893 MAIN STREET,EAST HARTFORD,United States,06107,CT,dalexander@primehc.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:28.0266667,,,,,,531390.0,,,,,,,,,,,,,,,,,,,
Hoy Verdi LLC,LLC,Active,1281902,2022-03-31,256 Farmington Ave,HARTFORD,United States,06105,CT,UPPERECHELONCT@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,True,False,False,False,False,Family Clothing Stores (448140),2021-11-10 00:08:28.0266667,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"EMT PARTNERS, LLC",LLC,Active,1281903,2022-03-31,2 CENTENNIAL DRIVE,DANBURY,United States,06811,CT,LANCEWALLIN@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:28.0266667,,,,,,531110.0,,,,,,,,,,,,,,,,,,,
"137 CHANDLER ROAD, LLC",LLC,Active,1281905,2020-03-31,418 MEADOW STREET,FAIRFIELD,United States,06824,CT,accounting@julianenterprises.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"EDELMAN FINANCIAL ENGINES, LLC",LLC,Active,1281906,2019-03-31,1050 ENTERPRISE WAY 3RD FLOOR,SUNNYVALE,,94089,CA,LANLONE@FINANCIALENGINES.COM,Foreign,2018-08-14,DE,DE,False,False,False,False,False,,2021-11-10 00:08:28.0266667,Ready for dissolution,Failure to file Annual Report,2018-07-19,"EDELMAN FINANCIAL ENGINES, LLC",,,,,,,,,,,,,,,,,,,,,
"SGS 99 PRATT, LLC",LLC,Active,1281914,2022-03-31,2362 NOSTRAND AVENUE SUITE 7,BROOKLYN,United States,11210,NY,bryna@shelbourneco.com,Foreign,2018-08-14,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:28.0700000,,,2018-08-14,"SGS 99 PRATT, LLC",United States,531110.0,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805,",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,United States,,,,,,,
"SGS 99 PRATT INVESTORS, LLC",LLC,Active,1281915,2019-03-31,2362 NOSTRAND AVENUE SUITE 7,BROOKLYN,,11210,NY,,Foreign,2018-08-14,NY,NY,False,False,False,False,False,,2021-11-10 00:08:28.0700000,Ready for dissolution,Failure to file Annual Report,2018-08-14,"SGS 99 PRATT INVESTORS, LLC",,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805,",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805,",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,,,,,,,,
"MICHAEL FOODS, INC.",Stock,Active,1281916,2022-08-14,301 CARLSON PKWY STE 400,MINNETONKA,United States,55305,MN,michelle.bickell@postholdings.com,Foreign,2018-08-14,DE,DE,False,False,False,False,False,All Other Miscellaneous Food Manufacturing (311999),2021-11-10 00:08:28.0700000,,,2018-08-14,"MICHAEL FOODS, INC.",United States,311999.0,,,,,,,,,,,,,,,,michelle.bickell@postholdings.com,,,
LAUNCH TRAMPOLINE PARK CT II LLC,LLC,Active,1281917,2022-03-31,920 Bald Hill RD,Warwick,United States,02886,RI,worall@launchtrampolinepark.com,Domestic,2018-08-14,RI,Connecticut,False,False,False,False,False,Amusement Arcades (713120),2021-11-10 00:08:28.0700000,,,,,,713120.0,,,,,,,,,,,,,,,,,,,
ARROYO HOLDINGS LLC,LLC,Active,1281918,2022-03-31,124 SIMSBURY ROAD 8B,AVON,United States,06001,CT,arroyo.raymond@gmail.com,Domestic,2018-08-14,CT,Connecticut,False,False,True,False,False,Human Resources Consulting Services (541612),2021-11-10 00:08:28.0700000,,,,,,541612.0,,,,,,,,,,,,,,,,,,,
"MALLEUS CAPITAL, LIMITED PARTNERSHIP",Limited Partnership,Cancelled,1281923,2021-08-14,CORPORATION TRUST CENTER 1209 ORANGE STREET,WILMINGTON,United States,19801,DE,darek@malleuscap.com,Foreign,2018-08-14,DE,DE,False,False,False,False,False,Investment Advice (523930),2021-11-10 00:08:28.0700000,,,2018-08-14,"MALLEUS CAPITAL, LP",United States,,,,,,,,"5 REIMER ROAD, WESTPORT, CT, 09880, United States",5 REIMER ROAD,WESTPORT,CT,09880,United States,,,,,,,
MADATHLETICS LLC,LLC,Dissolved,1281928,2020-03-31,8 MILL PLAIN RD,DANBURY,,06811,CT,HACDRAC77@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,,,,,,,,,,,,,,,,,,,,2021-02-02T00:00:00.000,,,,,
NAZCO LLC,LLC,Dissolved,1281929,2019-03-31,56 PLATT AVE.,WEST HAVEN,,06516,CT,ETSTEVENAZ@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1200000,,,,,,,,,,,,,,,,,,,,2021-02-19T00:00:00.000,,,,,
"TEAM FRAMING, LLC",LLC,Active,1281930,2019-03-31,39 BELLAVISTA DRIVE,NORTH WINDHAM,,06256,CT,,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
OLM ENTERPRISES INC.,Stock,Active,1281931,2020-08-14,461 BRAYMAN HOLLOW ROAD,POMFRET CENTER,United States,06259,CT,DOLM@OLMENTERPRISES.COM,Foreign,2018-08-14,DE,DE,False,False,False,False,False,,2021-11-10 00:08:28.1200000,Annual report past due,Failure to file Annual Report,2017-04-17,OLM ENTERPRISES INC.,United States,,,,,,,,,,,,,,,,,,,,
GIO HANDYMAN HOME IMPROVEMENT LLC,LLC,Active,1281932,2022-03-31,6 VESPUCCI RD,NORWALK,United States,06850,CT,DKT3218@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:08:28.1200000,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
BRAX HEALTHY VENDING LLC,LLC,Active,1281933,2021-03-31,156 TALL TIMBERS RD,GLASTONBURY,United States,06033,CT,collazoaxel55@gmail.com,Domestic,2018-08-14,CT,Connecticut,False,False,True,False,False,Snack and Nonalcoholic Beverage Bars (722515),2021-11-10 00:08:28.1200000,Annual report past due,,,,,722515.0,,,,,,,,,,,,,,,,,,,
TERRY WELSH LLC,LLC,Active,1281934,2019-03-31,227 MAIN STREET,TORRINGTON,,06750,CT,TWELSH1959@YAHOO.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
BETTER PROPERTIES LLC,LLC,Active,1281935,2022-03-31,148 TRAVERSE ST,WATERBURY,United States,06704,CT,Elivanio80@gmail.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:08:28.1200000,,,,,,,,,,,,,,,,,,,,,,,,,
PARKER HOME IMPROVEMENT LLC,LLC,Active,1281937,2019-03-31,13 HAROLD STREET,HARTFORD,,06112,CT,GLENSHAWNPARKER@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"APPLE HILL RESIDENTS, LLC",LLC,Active,1281938,2019-03-31,33 APPLE HILL ROAD,WEST HARTFORD,,06117,CT,EDWARDQUINLAN@SBCGLOBAL.NET,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
ANTOINE MILLS LLC,LLC,Active,1281939,2022-03-31,143 DAVIS HILL ROAD,WESTON,United States,06883,CT,antoinemills@me.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:08:28.1200000,,,,,,711510.0,,,,,,,,,,,,,,,,,,,
ENCOMPASS HOME CONSULTING LLC,LLC,Active,1281940,2019-03-31,3 POUND SWEET HL,BETHEL,,06801,CT,CONSULTHOME@YAHOO.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
MJMADDEN LLC,LLC,Active,1281941,2019-03-31,22 GILBERT ST.,RIDGEFIELD,,06877,CT,MJMADDENLLC@GMAIL.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
SANDBERG CONSULTING LLC,LLC,Dissolved,1281942,2021-03-31,57 BREWSTER ST.,COVENTRY,United States,06238,CT,brian.sandberg1@gmail.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),2021-11-10 00:08:28.1200000,,,,,,541613.0,,,,,,,,,,,,,,2021-05-10T00:00:00.000,,,,,
"CFS BRANDS, LLC",LLC,Active,1281943,2022-03-31,4711 E HEFNER RD.,OKLAHOMA CITY,United States,73131,OK,govdocs@unitedagentgroup.com,Foreign,2018-08-14,DE,DE,False,False,False,False,False,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing (326130)",2021-11-10 00:08:28.1200000,,,2018-08-13,"CFS BRANDS, LLC",United States,326130.0,"3411 SILVERSIDE ROAD TATNALL BUILDING #104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BUILDING #104,WILMINGTON,DE,19810,United States,"3411 SILVERSIDE ROAD TATNALL BUILDING #104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BUILDING #104,WILMINGTON,DE,19810,United States,,,,,,,
PRASAD COMPLEX ANALYSIS LLC,LLC,Active,1281944,2022-03-31,226 PORTER AVE.,MIDDLEBURY,United States,06762,CT,dbhaduri@prasadcomplexanalysis.com,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Other Scientific and Technical Consulting Services (541690),2021-11-10 00:08:28.1200000,,,,,,541690.0,,,,,,,,,,,,,,,,,,,
BATTERSON PARK LLC,LLC,Active,1281945,2021-03-31,180 BATTERSON PARK ROAD,FARMINGTON,United States,06032,CT,GEORGE@TLONGCONSTRUCTION.COM,Domestic,2018-08-14,CT,Connecticut,False,False,False,False,False,Commercial and Institutional Building Construction (236220),2021-11-10 00:08:29.1333333,Annual report past due,,,,,236220.0,,,,,,,,,,,,,,,,,,,
