name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billing_unit,billingcountry,business_email_address,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,date_of_organization_meeting
"PIVAYE HOLDINGS, LLC",LLC,Active,,1276436,2022-03-31,55 FRANK B. MURRAY STREET SUITE 301,SPRINGFIELD,01103,MA,Foreign,2018-06-15,MA,MA,False,False,False,False,False,,2021-11-10 00:08:20.9466667,,United States,edisonyee@comcast.net,,2018-06-15,"PIVAYE HOLDINGS, LLC",United States,"55 FRANK B MURRAY STREET SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B MURRAY STREET SUITE 301,SPRINGFIELD,MA,01103,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,"55 FRANK B MURRAY STREET SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B MURRAY STREET SUITE 301,SPRINGFIELD,MA,01103,United States,,,
"ORGANIZE, L.L.C.",LLC,Dissolved,,1276437,2022-03-31,265 WASHINGTON AVE APT #47,WEST HAVEN,06516,CT,Domestic,2018-06-15,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:20.9466667,,United States,lizrock1998@gmail.com,,,,,,,,,,,Mobile Food Services (722330),722330.0,,,,,,,2021-09-08T00:00:00.000,,
"FLOORING LIQUIDATORS, INC",Stock,Active,Ready for dissolution,1276439,2020-06-15,267 SAW MILL RIVER RD.,ELMSFORD,10523,NY,Foreign,2018-06-15,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9466667,,United States,LISAG@FKDESIGNCENTER.COM,,2018-06-15,"FLOORING LIQUIDATORS, INC",United States,,,,,,,,,,,,,,,,,
"PIVAYE SIMS, LLC",LLC,Active,,1276440,2022-03-31,6 WILCOX STREET,SIMSBURY,06070,CT,Foreign,2018-06-15,MA,MA,False,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,edisonyee@comcast.net,,2018-06-15,"PIVAYE SIMS, LLC",United States,"55 FRANK B. MURRAY STREET  SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B. MURRAY STREET  SUITE 301,SPRINGFIELD,MA,01103,United States,Full-Service Restaurants (722511),722511.0,"55 FRANK B. MURRAY STREET  SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B. MURRAY STREET  SUITE 301,SPRINGFIELD,MA,01103,United States,,,
"TCB VENTURES, INC.",Stock,Active,Annual report past due,1276441,2021-06-15,2 WEST MOUNTAIN RD,RIDGEFIELD,06877,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,jmeadbeck@yahoo.com,20000.0,,,,,,,,,,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (711310)",711310.0,,,,,,,,,
IVY LEAGUE TRESSES LLC,LLC,Active,,1276442,2022-03-31,1131 TOLLAND TPKE STE O 298,MANCHESTER,06042,CT,Domestic,2018-06-15,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:08:20.9600000,,United States,info@ivyltresses.com,,,,,,,,,,,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,,,,,,,,,
"LOANQO, LLC",LLC,Active,Ready for dissolution,1276443,2019-03-31,300 CAMDEN PLAZA WEST ONE PIERREPONT PLAZA#1200,BROOKLYN,11201,NY,Foreign,2018-06-15,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,CRAIG@LOANQO.COM,,2018-06-01,"LOANQO, LLC",,"300 CAMDEN PLAZA WEST ONE PIERREPONT PLAZA#1200, BROOKLYN, NY, 11201,",300 CAMDEN PLAZA WEST ONE PIERREPONT PLAZA#1200,BROOKLYN,NY,11201,,,,"300 CAMDEN PLAZA WEST ONE PIERREPONT PLAZA#1200, BROOKLYN, NY, 11201,",300 CAMDEN PLAZA WEST ONE PIERREPONT PLAZA#1200,BROOKLYN,NY,11201,,,,
"CHRIS SERVICES, LLC",LLC,Active,Ready for dissolution,1276444,2019-03-31,11 ASHE PL,DANBURY,06810,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,CHRISVASQUEZ20@OUTLOOK.COM,,,,,,,,,,,,,,,,,,,,,
MERRIMACK CONSULTING LLC,LLC,Active,,1276445,2022-03-31,21 DEANNA COURT,OAKVILLE,06779,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,david.jannetty@snet.net,,,,,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,
REGENMED LLC,LLC,Active,Ready for dissolution,1276446,2019-03-31,986 N FARMS RD,WALLINGFORD,06492,CT,Foreign,2018-06-15,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,KEITH.GIPSON@CHARTERANESTHESIOLOGY.COM,,2018-05-21,REGENMED LLC,,"300 DELAWARE AVE SUITE 210-A, WILMINGTON, DE, 19801,",300 DELAWARE AVE SUITE 210-A,WILMINGTON,DE,19801,,,,"300 DELAWARE AVE SUITE 210-A, WILMINGTON, DE, 19801,",300 DELAWARE AVE SUITE 210-A,WILMINGTON,DE,19801,,,,
P O C MAINTENANCE LLC,LLC,Active,Ready for dissolution,1276447,2020-03-31,26 CLEARENCE,BRIDGEPORT,06608,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,United States,kendalfernandez31@gmail.com,,,,,,,,,,,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",,,,,,,,,ganaidys.b@gmail.com,
WOMEN WALKING IN LOVE CORP,Non-Stock,Active,First report past due,1276448,2020-06-15,No information provided,,,,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:20.9600000,,,HTALBERT@HOTMAIL.COM,,,,,,,,,,,,,,,,,,,,,
CREATIVE COUNSELING LLC,LLC,Active,,1276449,2022-03-31,27 HARTFORD TURNPIKE SUITE 206A,VERNON,06066,CT,Domestic,2018-06-15,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,dclere@creativecounselingllcct.com,,,,,,,,,,,Outpatient Mental Health and Substance Abuse Centers (621420),621420.0,,,,,,,,,
YOUR DOG CAN LLC,LLC,Active,Ready for dissolution,1276450,2019-03-31,252 OLD CANTERBURY TPKE LOT 46,NORWICH,06360,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,FILINGS@REGISTEREDAGENTSINC.COM,,,,,,,,,,,,,,,,,,,,,
LYSANDE LLC,LLC,Dissolved,,1276451,2020-03-31,110 WEAVER ST UNIT A,GREENWICH,06831,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9600000,,,MICHELLE@SHOPLYSANDE.COM,,,,,,,,,,,,,,,,,,,2021-04-14T00:00:00.000,,
ELEVATE PERSONAL TRAINING & WELLNESS INC,Stock,Active,,1276452,2022-06-15,327 ANN ROSE DRIVE,ORANGE,06477,CT,Domestic,2018-06-15,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,hmgbrd3@aol.com,5000.0,,,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,
"IBE TRANSPORTE, LLC",LLC,Active,,1276453,2022-03-31,35 ROSEMOUNT AVE,WATERBURY,06708,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,IBETRANSPORTE@GMAIL.COM,,,,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,
JRB CONSTRUCTION CORP,Stock,Active,Ready for dissolution,1276454,2019-06-15,32 FOURTH STREET,VALLEY STREAM,11581,NY,Foreign,2018-06-15,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,JRBCONST@OPTONLINE.NET,,2018-06-15,NEW YORK,,,,,,,,,,,,,,,,,,
"PIVAYE WEHA, LLC",LLC,Active,,1276455,2022-03-31,37 LASALLE ROAD,WEST HARTFORD,06107,CT,Foreign,2018-06-15,MA,MA,False,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,edisonyee@comcast.net,,2018-06-15,"PIVAYE WEHA, LLC",United States,"55 FRANK B. MURRAY STREET SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B. MURRAY STREET SUITE 301,SPRINGFIELD,MA,01103,United States,Full-Service Restaurants (722511),722511.0,"55 FRANK B MURRAY STREET SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B MURRAY STREET SUITE 301,SPRINGFIELD,MA,01103,United States,,,
"INFANT ESSENTIALS, LLC",LLC,Active,Ready for dissolution,1276456,2019-03-31,225 CEDAR LANE,NEW HARTFORD,06057,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,SUPPORT@INFANT-ESSENTIALS.COM,,,,,,,,,,,,,,,,,,,,,
THE AUTO SPA OF FAIRFIELD LLC,LLC,Active,Ready for dissolution,1276457,2019-03-31,3266 POST ROAD,SOUTHPORT,06890,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,MARC@ADVANCEDWINDOWSOLUTIONS.COM,,,,,,,,,,,,,,,,,,,,,
FAIRVIEW FINANCIAL LLC,LLC,Active,,1276458,2022-03-31,1000 LAFAYETTE BOULEVARD SUITE 1100 SUITE 1100,BRIDGEPORT,06604,CT,Domestic,2018-06-15,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:08:20.9600000,,United States,pkelly@fairviewfunds.com,,,,,,,,,,,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,,,,,,,,,
NANA.O LLC,LLC,Active,Ready for dissolution,1276459,2019-03-31,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9600000,,,FILINGS@NORTHWESTREGISTEREDAGENT.COM,,,,,,,,,,,,,,,,,,,,,
FIRSTSTEP BALANCE SYSTEM LLC,LLC,Active,,1276460,2022-03-31,14 CLARA DRIVE SUITE 3,MYSTIC,06355,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9600000,,United States,firstptri@gmail.com,,,,,,,,,,,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,,,,,,,,,
VITAGLIANO AVIATION LLC,LLC,Active,,1276462,2022-03-31,"C/O WITHERS BERGMAN LLP, 157 CHURCH ST.",NEW HAVEN,06510,CT,Domestic,2018-06-15,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:08:21.6966667,,United States,vitag1973@gmail.com,,,,,,,,,,,Other Nonscheduled Air Transportation (481219),481219.0,,,,,,,,,
FPLC INC.,Stock,Active,Annual report past due,1276463,2021-06-15,31 STANWOLL HILL ROAD,DEEP RIVER,06417,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,denised.forbearance@gmail.com,5000.0,,,,,,,,,,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,,,,,,,,,
"BROKEN ARROW ENTERPRISE, LLC",LLC,Active,Ready for dissolution,1276464,2019-03-31,25 GARDNER AVE,NEW LONDON,06320,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6966667,,,,,,,,,,,,,,,,,,,,,,,,
OREN REALTY LLC,LLC,Active,,1276465,2022-03-31,619 EASTERN PKWY,BROOKLYN,11213,NY,Domestic,2018-06-15,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,invoice@uprealtyllc.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
"23 BD, LLC",LLC,Active,,1276467,2022-03-31,281 PEQUOT AVENUE,SOUTHPORT,06890,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,sacche@aol.com,,,,,,,,,,,Residential Property Managers (531311),,,,,,,,,,
NUMBER CRUNCHER LLC,LLC,Active,,1276468,2022-03-31,35 AUGUSTYN COURT,TORRINGTON,06790,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,sean@numbercruncherct.com,,,,,,,,,,,Other Accounting Services (541219),541219.0,,,,,,,,,
"MORNING DEW ACRES, LLC",LLC,Active,Ready for dissolution,1276469,2020-03-31,1616 BUFFEHR CREEK ROAD APT#18,VAIL,81657,CO,Domestic,2018-06-15,CO,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6966667,,United States,BILLALBRO@GREENSPACELABS.COM,,,,,,,,,,,,,,,,,,,,,
CLAP LLC,LLC,Active,Ready for dissolution,1276470,2019-03-31,66 N. OLD STONE BRIDGE RD.,COSCOB,06807,CT,Foreign,2018-06-15,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6966667,,,LAURENCE.TEINTURIER@FRANCELIGNE.COM,,2018-06-15,CLAP LLC,,"16192 COASTAL HWY, LEWES, DE, 19958,",16192 COASTAL HWY,LEWES,DE,19958,,,,"16192 COASTAL HWY, LEWES, DE, 19958,",16192 COASTAL HWY,LEWES,DE,19958,,,,
WOODLAND CARPENTRY LLC,LLC,Active,,1276471,2022-03-31,2600 PARK AVE APT 10P,BRIDGEPORT,06604,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,majutax@outlook.com,,,,,,,,,,,Finish Carpentry Contractors (238350),,,,,,,,,,
TABOKA CONSULTING LLC,LLC,Active,,1276472,2022-03-31,15 QUAKER RIDGE RD,STAMFORD,06903,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,joseph.pigott@optimum.net,,,,,,,,,,,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,
"JNP LOCAL, LLC",LLC,Active,,1276473,2022-03-31,2655 NORTHWINDS PARKWAY,ALPHARETTA,30009,GA,Foreign,2018-06-15,GA,GA,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,tmcafee@jacksonhealthcare.com,,2018-06-18,"JNP LOCAL, LLC",United States,"2655 NORTHWINDS PARKWAY, ALPHARETTA, GA, 30009,",2655 NORTHWINDS PARKWAY,ALPHARETTA,GA,30009,,Temporary Help Services (561320),561320.0,"2655 NORTHWINDS PARKWAY, ALPHARETTA, GA, 30009, United States",2655 NORTHWINDS PARKWAY,ALPHARETTA,GA,30009,United States,,,
PHOENIX TRANSPORTATION LLC,LLC,Active,Ready for dissolution,1276474,2020-03-31,5 TRADING COVE DRIVE,NORWICH,,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6966667,,United States,EBOONE5569@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
"METRO WEST HOSPITALITY GROUP, LLC",LLC,Active,Annual report past due,1276475,2021-03-31,55 FRANK B. MURRAY STREET SUITE 301,SPRINGFIELD,01103,MA,Foreign,2018-06-15,MA,MA,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,edisonyee@comcast.net,,2018-06-15,"METRO WEST HOSPITALITY GROUP, LLC",United States,"55 FRANK B. MURRAY STREET SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B. MURRAY STREET SUITE 301,SPRINGFIELD,MA,01103,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,"55 FRANK B MURRAY STREET SUITE 301, SPRINGFIELD, MA, 01103, United States",55 FRANK B MURRAY STREET SUITE 301,SPRINGFIELD,MA,01103,United States,,,
"ADVISOR LEGAL & COMPLIANCE, LLC",LLC,Active,,1276477,2022-03-31,881 LAKE AVENUE,GREENWICH,06831,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,karen@advisorscompliance.com,,,,,,,,,,,All Other Legal Services (541199),,,,,,,,,,
"AMERICA TRADING IMPORT AND EXPORT, LLC",LLC,Active,Ready for dissolution,1276478,2019-03-31,827 NORTH AVE FL 2,BRIDGEPORT,06606,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6966667,,,AMERICATRADINGLLC@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"STUDIO Q, LLC",LLC,Active,Ready for dissolution,1276480,2020-03-31,14 DEPOT PLACE UNIT 12 UNIT 12,BETHEL,06801,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6966667,,United States,FILINGS@NORTHWESTREGISTEREDAGENT.COM,,,,,,,,,,,,,,,,,,,,,
MK LAWSON LLC,LLC,Active,,1276481,2022-03-31,55 RIDGE ROAD,WESTON,06883,CT,Domestic,2018-06-15,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:08:21.6966667,,United States,MKLawson@notyourgrannys.com,,,,,,,,,,,All Other Specialty Food Stores (445299),445299.0,,,,,,,,,
YOUNG NATION LIVE LLC,LLC,Active,,1276482,2022-03-31,43 GARDNER LAKE HEIGHTS,SALEM,06420,CT,Domestic,2018-06-15,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:08:21.6966667,,United States,allen.timothy1988@gmail.com,,,,,,,,,,,Musical Groups and Artists (711130),711130.0,,,,,,,,,
AAAM LLC,LLC,Dissolved,,1276483,2019-03-31,40 RICHARDS AVE 3RD FL,NORWALK,06854,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6966667,,,ARIANA.AAAM.LLC@GMAIL.COM,,,,,,,,,,,,,,,,,,,2021-06-08T00:00:00.000,,
KALON HAIR STUDIO LLC,LLC,Active,Annual report past due,1276485,2021-03-31,427 STILLSON ROAD,FAIRFIELD,06824,CT,Domestic,2018-06-15,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:21.6966667,,United States,kalonbeautyffld@gmail.com,,,,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,
"SUNRISE COVE PARTNERS, LLC",LLC,Active,Ready for dissolution,1276498,2020-03-31,399 SACKETT POINT ROAD,NORTH HAVEN,06473,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7133333,,United States,BOB@INSURE.NET,,,,,,,,,,,,,,,,,,,,,
"AR WHITE INSULATION SYSTEMS, LLC",LLC,Active,Ready for dissolution,1276499,2020-03-31,56 MARINE ST UNIT D,THOMASTON,06787,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7133333,,United States,WHITEYFORD203@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
DEL DRYWALL LLC,LLC,Active,Ready for dissolution,1276501,2019-03-31,38 SPENCER PLAIN RD,WESTBROOK,06498,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7433333,,,,,,,,,,,,,,,,,,,,,,,,
"WESTSIDE VAPE, INC.",Stock,Active,First report past due,1276515,2020-06-15,No information provided,,,,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:21.7433333,,,,200.0,,,,,,,,,,,,,,,,,,,,
"LMV II 885 WASHINGTON HOLDINGS, LIMITED PARTNERSHIP",Limited Partnership,Active,,1276516,2022-06-15,700 N.W. 107TH AVENUE SUITE 400,MIAMI,33172,FL,Foreign,2018-06-15,DE,DE,False,False,False,False,False,,2021-11-10 00:08:21.7433333,,United States,charles.d.gamble@lennar.com,,2018-06-14,"LMV II 885 WASHINGTON HOLDINGS, LP",United States,,,,,,,New Multifamily Housing Construction (except For-Sale Builders) (236116),236116.0,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,
GLENDOWER ROCKVIEW PHASE 2 RENTAL OWNER ENTITY LIMITED PARTNERSHIP,Limited Partnership,Active,Annual report past due,1276517,2021-06-15,360 ORANGE ST.,NEW HAVEN,06511,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.7433333,,United States,HVINCENT@THEGLENDOWERGROUP.ORG,,,,,,,,,,,Administration of Housing Programs (925110),925110.0,,,,,,,,,
CORE CONSTRUCTION & CONSULTING LLC,LLC,Active,Ready for dissolution,1276523,2019-03-31,2234 KNOLLWOOD PLACE,MUFREEESBORO,37130,TN,Foreign,2018-06-15,VA,VA,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7433333,,,ASMIR@CORECCUSA.COM,,2018-07-01,CORE CONSTRUCTION & CONSULTING LLC,,"7288 HANOVER GREEN DR., MECHANICSVILLE, VA, 23111,",7288 HANOVER GREEN DR.,MECHANICSVILLE,VA,23111,,,,"7288 HANOVER GREEN DR., MECHANICSVILLE, VA, 23111,",7288 HANOVER GREEN DR.,MECHANICSVILLE,VA,23111,,,,
DJBJ MOTIVATIONAL MEDIA LLC,LLC,Active,,1276534,2022-03-31,P.O. 3375,NEW HAVEN,06515,CT,Domestic,2018-06-15,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:08:21.7433333,,United States,djbjeventplanningcompany@gmail.com,,,,,,,,,,,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,,,,,,,,,
CALM C'S SKIN SALON LLC,LLC,Active,Ready for dissolution,1276535,2019-03-31,166 ELMDALE RD,CANTERBURY,06331,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7433333,,,JMI25CHAR@HOTMAIL.COM,,,,,,,,,,,,,,,,,,,,,
TARA GOLINO LLC,LLC,Active,Ready for dissolution,1276563,2019-03-31,333 LENOX RD,FAIRFIELD,06825,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9933333,,,TICGOLINO@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"DANIELSON VETERAN'S COFFEEHOUSE, INC.",Non-Stock,Active,Ready for dissolution,1276567,2019-06-15,185 BROAD STREET,DANIELSON,06239,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9933333,,,,,,,,,,,,,,,,,,,,,,,,
"SPLAWSKI VETERINARY RELIEF, LLC",LLC,Active,,1276577,2022-03-31,556 MERIDEN WATERBURY TPKE,SOUTHINGTON,06489,CT,Domestic,2018-06-15,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:20.9933333,,United States,splawski.vet.relief@gmail.com,,,,,,,,,,,Veterinary Services (541940),541940.0,,,,,,,,,
PEAK PERFORMANCE ENERGY LIMITED LIABILITY COMPANY,LLC,Active,Ready for dissolution,1276578,2020-03-31,7 HART AVE.,HOPEWELL,08525,NJ,Foreign,2018-06-15,NJ,NJ,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:20.9933333,,United States,JROWE@PEAK-PE.COM,,2018-06-30,PEAK PERFORMANCE ENERGY LLC,United States,"33 TOAD LANE, RINGOES, NJ, 08551,",33 TOAD LANE,RINGOES,NJ,08551,,,,"33 TOAD LANE, RINGOES, NJ, 08551, United States",33 TOAD LANE,RINGOES,NJ,08551,United States,,,
"JKS, LLC",LLC,Active,,1276582,2022-03-31,277 OLD BRANCH ROAD SUITE 2,THOMASTON,06787,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6200000,,United States,sromano@targetpipe.biz,,,,,,,,,,,Water and Sewer Line and Related Structures Construction (237110),237110.0,,,,,,,,,
"FIVE TIGERS, LLC",LLC,Active,Ready for dissolution,1276583,2020-03-31,11 PHELPS WAY,WILLINGTON,06279,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6200000,,United States,W.JEFF.FARRAR@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
TIMBERWOLF TREEWORK LLC,LLC,Active,Ready for dissolution,1276585,2019-03-31,280 ROUTE 37,NEW FAIRFIELD,06812,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6200000,,,TIMBERWOLFTREEWORK@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
BLADE LANDSCAPING INC,Stock,Active,Ready for dissolution,1276589,2019-06-15,776 RUBBER AVE,NAUGATUCK,06770,,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6200000,,United States,kevin.cretella@gmail.com,100.0,,,,,,,,,,,,,,,,,,,,
"APPLE TREE FIRE AND WATER RESTORATION, LLC",LLC,Active,Ready for dissolution,1276622,2019-03-31,17 MILLARD STREET,NEW BRITAIN,06051,CT,Domestic,2018-06-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.6666667,,,,,,,,,,,,,,,,,,,,,,,,
FLYWIRE GLOBAL CORP.,Stock,Active,,1276742,2022-06-15,141 TREMONT ST FL 10,BOSTON,02111,MA,Foreign,2018-06-15,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.0700000,,United States,Compliancemail@cscinfo.com,,2018-06-15,FLYWIRE GLOBAL CORP.,United States,,,,,,,Other Activities Related to Credit Intermediation (522390),522320.0,,,,,,,,,
MUSCLES & WOMAN LLC,LLC,Active,Annual report past due,1276750,2021-03-31,726 GAYLOARD MT RD,HAMDEN,06518,CT,Domestic,2018-06-15,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:26.1200000,,United States,Larenhardy@yahoo.com,,,,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,
ONE10 LLC,LLC,Active,,1276752,2022-03-31,100 NORTH SIXTH ST STE 700B,MINNEAPOLIS,55403,MN,Foreign,2018-06-15,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.1200000,,United States,barbara.gould@One10Marketing.com,,2018-04-02,ONE10 LLC,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801,",1209 ORANGE ST,WILMINGTON,DE,19801,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,
ABUNDANT FLOW MINISTRIES,Religious,Active,,1276754,,No information provided,,,,Domestic,2018-06-15,,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1200000,,,,,,,,,,,,,,,,,,,,,,,,
