name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,country_formation,mailing_jurisdiction_country,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,dissolution_date,billing_unit,date_of_organization_meeting,mailing_address
ST. JOSEPH CATHOLIC ACADEMY OF BROOKFIELD INC.,Non-Stock,Dissolved,,1273375,2021-05-15,238 JEWETT AVENUE,BRIDGEPORT,United States,06606,CT,dtietjen@diobpt.org,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Elementary and Secondary Schools (611110),,2021-11-10 00:10:24.0733333,,,,,,,,,,,,,,,,,,,2021-05-14T00:00:00.000,,,
JOHAIRDESIGN LIMITED LIABILITY COMPANY,LLC,Active,,1273376,2022-03-31,15 MANNING RD,ENFIELD,United States,06082,CT,EFILE1234@INCFILE.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:10:24.0733333,,,,,,,,,,,,,,,,,,,,,,
M-ACCOUNTING LIMITED LIABILITY COMPANY,LLC,Dissolved,,1273377,2019-03-31,155 WEST MAIN STREET APT 419,VERNON,,06066,CT,EFILE1234@INCFILE.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.0733333,,,,,,,,,,,,,,,,,,,2021-06-16T00:00:00.000,,,
C LAND REALTY CO,Stock,Active,Annual report past due,1273380,2021-05-15,222 BRIDGE PLAZA SOUTH #580,FORT LEE,United States,07024,NJ,mk8500@gmail.com,Foreign,2018-05-15,NJ,NJ,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),,2021-11-10 00:10:24.0733333,,2018-05-15,C LAND REALTY CO,,,,,,,,,,,United States,,,,,,,,
REED REALTY ADVISORS LLC,LLC,Active,Annual report past due,1273381,2021-03-31,1050 SW 6TH AVENUE SUITE 1100,PORTLAND,United States,97204,OR,josh@reedrg.com,Foreign,2018-05-15,OR,OR,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:24.0733333,,2018-06-01,REED REALTY ADVISORS LLC,"1050 SW 6TH AVENUE SUITE 1100, PORTLAND, OR, 97204, United States",1050 SW 6TH AVENUE SUITE 1100,PORTLAND,OR,97204,"1050 SW 6TH AVENUE SUITE 1100, PORTLAND, OR, 97204, United States",1050 SW 6TH AVENUE SUITE 1100,PORTLAND,OR,97204,United States,United States,United States,,,,,,
"BRD CLEANING SERVICES, LLC",LLC,Active,Ready for dissolution,1273383,2019-03-31,60 PADANARAM ROAD,DANBURY,,06810,CT,DIEGORRSOARES@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.0733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
SABOR &  VIDA CATERING LLC,LLC,Dissolved,,1273384,2019-03-31,245 SHERRY ST 1ST FLOOR,NAUGATUCK,,06770,CT,RMINSURANCE@SBCGLOBAL.NET,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.0733333,,,,,,,,,,,,,,,,,,,2021-03-24T00:00:00.000,,,
BJB HANDYMAN SERVICES LLC,LLC,Active,Ready for dissolution,1273385,2020-03-31,49 GLENWOOD AVENUE,NORWALK,United States,06854,CT,ldmartin42@aol.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.0733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
APPOSTO LLC,LLC,Active,,1273386,2022-03-31,569 HAMPTON RD 569 HAMPTON RD,POMFRET CENTER,United States,06259,CT,christopher.decarli@gmail.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),,2021-11-10 00:10:24.0733333,,,,,,,,,,,,,,,,,,,,,,
"294 CBA, LLC",LLC,Active,,1273389,2022-03-31,294 COSEY BEACH AVENUE,EAST HAVEN,United States,06512,CT,pdrag@jwcsteel.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:10:24.0733333,,,,,,,,,,,,,,,,,,,,,,
GBA TESTA LLC,LLC,Active,,1273390,2022-03-31,22 OLD NURSERY DRIVE,WILTON,United States,06897,CT,Compliancemail@cscinfo.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:10:24.0733333,,,,,,,,,,,,,,,,,,,,,,
YONY CATALINO AMAYA BUEZO LLC,LLC,Active,Ready for dissolution,1273391,2019-03-31,3 ABBOTT AVE,DANBURY,,06810,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.0733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
CLP PAINTING LLC,LLC,Active,Ready for dissolution,1273392,2019-03-31,804 BLACK ROCK TURNPIKE,FAIRFIELD,,06825,CT,RUTE@ATLANTISTAXLLC.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.0733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
FIVE STAR ROOFING LLC,LLC,Active,Ready for dissolution,1273393,2020-03-31,64 KEEFE ST,WATERBURY,United States,06706,CT,mauricioluis.lema@gmail.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.0733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"VALLEY RD, LLC",LLC,Active,,1273395,2022-03-31,274 VALLEY ROAD UNIT 3,COS COB,United States,06807,CT,APENNELLA@MMJLLP.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:10:24.1200000,,,,,,,,,,,,,,,,,,,,,,
"JM HOLDING CO, LLC",LLC,Active,Ready for dissolution,1273396,2019-03-31,30 BIRCH DRIVE 30 BIRCH DRIVE,NEW HAVEN,,06515,CT,GARY.DOYENS@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1200000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"ACTIVE HEALTHCARE RECEIVABLES, LLC",LLC,Active,,1273398,2022-03-31,164 BURKE ST,NASHUA,United States,03060,NH,Compliancemail@cscinfo.com,Foreign,2018-05-15,NH,NH,False,False,False,False,False,All Other Support Services (561990),561990.0,2021-11-10 00:10:24.1200000,,2018-06-01,"ACTIVE HEALTHCARE RECEIVABLES, LLC","164 BURKE ST, NASHUA, NH, 03060, United States",164 BURKE ST,NASHUA,NH,03060,"164 BURKE ST, NASHUA, NH, 03060, United States",164 BURKE ST,NASHUA,NH,03060,United States,United States,United States,,,,,,
"PYOOR, LLC",LLC,Active,,1273399,2022-03-31,331 Selleck St,Stamford,United States,06902-6309,CT,kristen@premiercfs.com,Foreign,2018-05-15,DE,DE,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,2021-11-10 00:10:24.1200000,Failure to file Annual Report,2018-05-15,"PYOOR, LLC","3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,Wilmington,DE,19810,"3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,Wilmington,DE,19810,,United States,United States,,,,,,
THE MAINE WEBSITE COMPANY LLC,LLC,Active,Ready for dissolution,1273400,2019-03-31,39 KATRINA CIR,BETHEL,,06801,CT,SUPPORT@THEMAINEWEBSITECOMPANY.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1200000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"ANTIQUE & DESIGNER LIGHTING, LLC",LLC,Active,Ready for dissolution,1273407,2019-03-31,101 JEFFERSON STREET,STAMFORD,,06902,CT,MARK@MARKSANK.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1200000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"VIGLIETTA DELIVERY SERVICE, LLC",LLC,Active,Annual report past due,1273410,2021-03-31,4 HEMLOCK RD,NEWTOWN,United States,06470,CT,CVIGLIETTA@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),492110.0,2021-11-10 00:10:24.1200000,,,,,,,,,,,,,,,,,,,,,,
PLATINUM REALTY INVESTMENTS LLC,LLC,Active,,1273411,2022-03-31,43 FRANKS WAY,SOUTH WINDSOR,United States,06074,CT,platinumrealtyinvestmentsllc@gmail.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:24.1200000,,,,,,,,,,,,,,,,,,,,,,
NORTHEASTERN LOGISTICS LLC,LLC,Active,Annual report past due,1273412,2021-03-31,1414 ASYLUM AVE,HARTFORD,United States,06105,CT,eric_midwest407@yahoo.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:10:24.1200000,,,,,,,,,,,,,,,,,,,,,,
MNR LAW LLC,LLC,Active,Ready for dissolution,1273413,2020-03-31,138 CULLODEN ROAD,STAMFORD,United States,06902,CT,MONICA.N.RODRIGUEZ.2@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1200000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
GERVAIS SERVICES LLC,LLC,Dissolved,,1273414,2021-03-31,198 STOCKADE RD,SOUTH GLASTONBURY,United States,06073,CT,EFILE1234@INCFILE.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,2021-04-01T00:00:00.000,,,
SEEDING KNOWLEDGE LLC,LLC,Active,,1273415,2022-03-31,1235 FOREST RD,NEW HAVEN,United States,06515,CT,jr.nelson.jeffrey@gmail.com,Domestic,2018-05-15,CT,Connecticut,False,False,True,False,False,All Other Miscellaneous Crop Farming (111998),111998.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,,,,
PIRNAGEN CORPORATION,Stock,Active,First report past due,1273416,2020-05-15,No information provided,,,,,JASONSHENCPA@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1500000,Failure to file First Report,,,,,,,,,,,,,,,,200.0,,,,,
KME ASSOCIATES LLC,LLC,Active,,1273417,2022-03-31,"2389 MAIN ST, STE 100",GLASTONBURY,United States,06033,CT,kamalkarkat@gmail.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,,,,
BEARDSLEY INVESTMENTS LLC,LLC,Active,Ready for dissolution,1273418,2019-03-31,46 WILL MERRY LN,GREENWICH,,06831,CT,ROBERTMADEIRA@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1500000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
WINNERS 360 ENTERTAINMENT LLC,LLC,Active,,1273420,2022-03-31,735 WETHERSFIELD AVE,HARTFORD,United States,06114,CT,EFILE1234@INCFILE.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Musical Groups and Artists (711130),812990.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,,,,
IZEEK3 LLC,LLC,Active,Ready for dissolution,1273421,2019-03-31,571 BOSTON AVE,TRUMBULL,,06611,CT,BRAYANGONZALEZ55@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1500000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
FORESIGHT 365 LLC,LLC,Dissolved,,1273422,2019-03-31,53 CROSSROADS LANE 53 CROSSROADS LANE,GLASTONBURY,,06033,CT,JHADDAD@FORESIGHT365.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,2021-03-04T00:00:00.000,,,
21-29 42D ST LLC,LLC,Active,Annual report past due,1273423,2021-03-31,32 PEARL ST,SANDY HOOK,United States,06482,CT,breeze128877@aol.com,Domestic,2018-05-15,CT,Connecticut,True,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,,,,
CREATIVE AND PRACTICAL DESIGN LLC,LLC,Active,Ready for dissolution,1273424,2020-03-31,904 1/2 STATE ST,NEW HAVEN,,06511,CT,ALEX.MURDOCH@CREATIVEANDPRACTICALDESIGN.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1500000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
HANSE ONE SURPLUSS CORP,Stock,Active,Ready for dissolution,1273425,2019-05-15,22 FAIRY DELL RD,CLINTON,,06413,CT,freyes@thehanseonegroup.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1500000,Failure to file Annual Report,,,,,,,,,,,,,,,,1000.0,,,,,
"LYNN REALTY HOLDINGS, LLC",LLC,Active,Ready for dissolution,1273426,2019-03-31,885 SUMMER STREET,STAMFORD,,06905,CT,NEWCANAANLAW@OPTONLINE.NET,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1500000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
ENDERLE CONSULTING LLC,LLC,Active,,1273427,2022-03-31,31 ANDREIS TRAIL,SOUTH WINDSOR,United States,06074,CT,Johnenderle@mail.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,,,,
"CORAFIN, LLC",LLC,Active,,1273428,2022-03-31,"537 STEAMBOAT ROAD, SUITE 200",GREENWICH,United States,06830,CT,mvassallo@blueorchidcap.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,mvassallo@blueorchidcap.com,,,,
STB HOMES LLC,LLC,Active,,1273429,2022-03-31,2490 BLACKROCK TKPE #334,FAIRFIELD,United States,06825,CT,abaram1629@aol.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,,,,
POMPERAUG HYDRO LLC,LLC,Active,,1273430,2022-03-31,29 POMPERAUG ROAD,WOODBURY,United States,06798,CT,themill@charter.net,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Hydroelectric Power Generation (221111),221111.0,2021-11-10 00:10:24.1500000,,,,,,,,,,,,,,,,,,,,,,
ROMERO REMODELING SERVICES LLC,LLC,Active,Ready for dissolution,1273434,2019-03-31,29 FULLIN ROAD,NORWALK,,06851,CT,,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"70 LOCUST STREET, LLC",LLC,Active,Ready for dissolution,1273435,2019-03-31,144 HARVARD DRIVE,TORRINGTON,,06790,CT,,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"MIDNITE PRIORITY, L.L.C.",LLC,Active,Ready for dissolution,1273436,2020-03-31,71 SPRING ST,MIDDLETOWN,United States,06457,CT,midnitepriority@gmail.com,Domestic,2018-05-15,CT,Connecticut,False,False,True,False,False,All Other Nondepository Credit Intermediation (522298),,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"MERCADO HOME IMPROVEMENTS, LLC",LLC,Active,Ready for dissolution,1273437,2019-03-31,59 TWISS STREET,MERIDEN,,06450,CT,ELVINMERCADO3869@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"HAIR BY ALEXIS, LLC",LLC,Active,Ready for dissolution,1273439,2019-03-31,410 UNIVERSAL DRIVE SUITE 424,NORTH HAVEN,,06473,CT,HAIRBYALEXIS424@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"DISABILITY CLAIM CONSULTING, LLC",LLC,Active,Ready for dissolution,1273440,2019-03-31,16 CANTERBURY ROAD,BRIDGEPORT,,06606,CT,RSKELLY@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
FROY'S LANDSCAPING LLC,LLC,Active,Ready for dissolution,1273444,2019-03-31,3 ESTELLE RD,EAST HAVEN,,06512,CT,,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
TMN REMODELING LLC,LLC,Active,Ready for dissolution,1273446,2019-03-31,7 ASH ROAD,BRANFORD,,06405,CT,TMNREMODELINGLLC@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
PIPE CITY INVESTORS LLC,LLC,Active,,1273447,2022-03-31,145 OLD HWY,WILTON,United States,06897,CT,frank.giancarli@gmail.com,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),,2021-11-10 00:10:24.7933333,,,,,,,,,,,,,,,,,,,,,,
REINE'S CAKERY LLC,LLC,Active,,1273448,2022-03-31,350 BRIDGEPORT AVE SUITE 6,SHELTON,United States,06484,CT,avery@reinescakery.com,Domestic,2018-05-15,CT,Connecticut,True,False,False,False,False,Baked Goods Stores (445291),,2021-11-10 00:10:24.7933333,,,,,,,,,,,,,,,,,,,,,,
"HEALTHY OUTLOOKS, LLC",LLC,Active,,1273449,2022-03-31,900 STRAITS TURNPIKE SUITE 205,MIDDLEBURY,United States,06762,CT,derosatherapy16@gmail.com,Domestic,2018-05-15,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:10:24.7933333,,,,,,,,,,,,,,,,,,,,,,
ECONOMETRICUS LLC,LLC,Active,Ready for dissolution,1273450,2019-03-31,98 GRANITE ROAD  98 GRANITE ROAD,GUILFORD,United States,06437,CT,GIANCARLO@ECONOMETRICUS.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.7933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"AMERICAN STAFFING SOLUTIONS, LLC",LLC,Active,Ready for dissolution,1273583,2020-03-31,45 MARNE ST,HAMDEN,United States,06514,CT,MIEZZISR@UNITEDOFFICEFURNITURE.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:26.1366667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
R.R. HOME DEVELOPMENT LLC,LLC,Active,Ready for dissolution,1273726,2019-03-31,27 WILLIAM ST APT 2,DANBURY,,06810,CT,YANNELLXT@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.1200000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
ITRAVEL PRESTON ENTERPRISES LLC,LLC,Dissolved,,1273388,2019-03-31,7211 TOWN RIDGE,MIDDLETOWN,,06457,CT,LEVILTP@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:55.4833333,,,,,,,,,,,,,,,,,,,2018-08-20T00:00:00.000,,,
QUAN'S PARTY PARADISE LLC,LLC,Dissolved,,1273234,2019-03-31,216 ROSE CIRCLE,MIDDLETOWN,,06457,CT,TERRYKAYMEL@HOTMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:52.2000000,,,,,,,,,,,,,,,,,,,2018-10-29T00:00:00.000,,,
BLOCK ANALYTICS LLC,LLC,Dissolved,,1273337,2019-03-31,36 GREER RD,BURLINGTON,,06013,CT,ECSINSI@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:10.1966667,,,,,,,,,,,,,,,,,,,2019-03-25T00:00:00.000,,,
BERLINGO AUTO BODY INC.,Stock,Dissolved,,1273304,,No information provided,,,,,BERLINGOS@SBCGLOBAL.NET,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:20.3100000,,,,,,,,,,,,,,,,,500.0,,2018-06-15T00:00:00.000,,,
REIMAGININGYOU LLC,LLC,Dissolved,,1273307,2019-03-31,80 COUNTY STREET UNIT 8C,NORWALK,,06851,CT,REIMAGININGYOULLC@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:28.3900000,,,,,,,,,,,,,,,,,,,2019-12-31T00:00:00.000,,,
"INTEGRA HEALTH, LLC",LLC,Withdrawn,,1273419,2019-03-31,200 NORTH MAIN STREET SUITE 1203,EAST LONGMEADOW,,01028,MA,EGRALIA@INTEGRAHOMEHEALTH.COM,Foreign,2018-05-15,MA,MA,False,False,False,False,False,,,2021-11-10 00:04:40.3133333,,2018-06-01,"INTEGRA HOME HEALTH AGENCY, LLC","200 NORTH MAIN STREET SUITE 1203, EAST LONGMEADOW, MA, 01028,",200 NORTH MAIN STREET SUITE 1203,EAST LONGMEADOW,MA,01028,"200 NORTH MAIN STREET SUITE 1203, EAST LONGMEADOW, MA, 01028,",200 NORTH MAIN STREET SUITE 1203,EAST LONGMEADOW,MA,01028,,,,,,,,,
BLAST CT LLC,LLC,Dissolved,,1273431,2019-03-31,45 HITCHING POST LANE,MILFORD,,,CT,ADAMDIMARTINO@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:04.6233333,,,,,,,,,,,,,,,,,,,2018-12-12T00:00:00.000,,,
CASEY'S FARMINGTON RIVER ADVENTURE & WELLNESS LLC,LLC,Dissolved,,1273352,2020-03-31,11 STEELE RD,NEW HARTFORD,,06057,CT,MSCUDDERC@HOTMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:26.6900000,,,,,,,,,,,,,,,,,,,2019-10-29T00:00:00.000,,,
"DRINKS WITH JACK, LLC.",LLC,Dissolved,,1273463,2020-03-31,7 SCOVILLE ROAD,CANTON,United States,06019,CT,MEYERJ1424@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:45.6200000,,,,,,,,,,,,,,,,,,,2020-01-17T00:00:00.000,,,
D & L APPAREL LLC,LLC,Dissolved,,1273312,2019-03-31,42 OAK HILL RD,OAKDALE,,06370,CT,LUKEMORAN1@AOL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:29.5033333,,,,,,,,,,,,,,,,,,,2019-03-29T00:00:00.000,,,
"MILK & COOKIES COMPANY, LLC",LLC,Dissolved,,1273322,2019-03-31,3 WINDSOR COURT,FARMINGTON,,06032,CT,INFO@MILKANDCOOKIESCOMPANY.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:26.6900000,,,,,,,,,,,,,,,,,,,2019-02-23T00:00:00.000,,,
"PRO TOOL SALES, LLC",LLC,Dissolved,,1273279,2019-03-31,140 TORRINGFORD STREET,TORRINGTON,,06790,CT,EMROZ5248@GMAIL.COM,Domestic,2018-05-15,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:42.3200000,,,,,,,,,,,,,,,,,,,2019-07-02T00:00:00.000,,,
K4 COOPERATIVE LLC,LLC,Active,,1273346,2022-03-31,15 ADIRONDACK TRAIL,EASTON,United States,06612,CT,anna@k4machining.com,Domestic,2018-05-16,CT,Connecticut,False,False,False,False,False,Machine Shops (332710),332710.0,2021-11-10 00:10:23.5433333,,,,,,,,,,,,,,,,,,,,,,
TRUE INTEGRITY PROPERTIES LLC,LLC,Active,,1273347,2022-03-31,15 ADIRONDACK TRAIL,EASTON,United States,06612,CT,anna@k4machining.com,Domestic,2018-05-16,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:23.5433333,,,,,,,,,,,,,,,,,,,,,,
BY PRESERVATION LLC,LLC,Active,,1273351,2022-03-31,23 STEPHANA LN,WATERBURY,United States,06710,CT,filings@vcorpservices.com,Domestic,2018-05-16,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:10:23.5433333,,,,,,,,,,,,,,,,,,,,,,
"RECON REMEDIATION & CONSTRUCTION OUTFITTERS, LLC",LLC,Active,,1273360,2022-03-31,114 DUDLEY RIVER RD,SOUTHBRIDGE,United States,01550,MA,complianceteam@cogencyglobal.com,Foreign,2018-05-16,MA,MA,False,False,False,False,False,Remediation Services (562910),532490.0,2021-11-10 00:10:23.5733333,,2018-05-31,"RECON REMEDIATION & CONSTRUCTION OUTFITTERS, LLC","114 DUDLEY RIVER RD, SOUTHBRIDGE, MA, 01550,",114 DUDLEY RIVER RD,SOUTHBRIDGE,MA,01550,"114 DUDLEY RIVER RD, SOUTHBRIDGE, MA, 01550, United States",114 DUDLEY RIVER RD,SOUTHBRIDGE,MA,01550,United States,,United States,,,,,,
"LACHAIM, LLC",LLC,Active,,1273361,2022-03-31,1000 HARTFORD TURNPIKE,VERNON,United States,06066,CT,tracey@propanect.com,Domestic,2018-05-16,CT,Connecticut,False,False,False,False,False,"Beer, Wine, and Liquor Stores (445310)",445310.0,2021-11-10 00:10:23.5733333,,,,,,,,,,,,,,,,,,,,,,
P.W. BOOKKEEPING LLC,LLC,Active,,1273364,2022-03-31,2184 TORRINGFORD STREET,TORRINGTON,United States,06790,CT,p.w.bookkeeping@optimum.net,Domestic,2018-05-16,CT,Connecticut,False,False,False,False,False,Other Accounting Services (541219),541219.0,2021-11-10 00:10:23.5733333,,,,,,,,,,,,,,,,,,,,,,
"TRUE GRIT TRUCKING, LLC",LLC,Active,Ready for dissolution,1273365,2019-03-31,173 SPRING LAKE ROAD,WATERBURY,,06706,CT,,Domestic,2018-05-16,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.5733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
