name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,category_survey_email_address,total_authorized_shares,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3
"WINDWARD MASSAGE THERAPY, LLC",LLC,Active,,1293341,2022-03-31,61 MAIN ST UNIT 4 N,OLD SAYBROOK,06475,CT,lisanunn.lmt@yahoo.com,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1366667,United States,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,,,,,,,,,,,,,,,,,,,,,,
"MATAWIN VENTURES XXIII, L.L.C.",LLC,Active,,1293348,2022-03-31,2150 POST ROAD,FAIRFIELD,06824,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-12-14,DE,DE,False,False,False,False,False,,2021-11-10 00:08:33.1366667,United States,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,,,,2018-11-01,"MATAWIN VENTURES XXIII, L.L.C.",United States,NONE,NONE,,,,,NONE,NONE,,,,,,,,
"MATAWIN VENTURES XXIII OFFSHORE REO 1, L.L.C.",LLC,Active,,1293349,2022-03-31,2150 POST ROAD,FAIRFIELD,06824,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-12-14,DE,DE,False,False,False,False,False,,2021-11-10 00:08:33.1533333,United States,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,,,,2018-11-01,"MATAWIN VENTURES XXIII OFFSHORE REO 1, L.L.C.",United States,"2150 POST ROAD, FAIRFIELD, CT, 06824,",2150 POST ROAD,FAIRFIELD,CT,06824,,"2150 POST ROAD, FAIRFIELD, CT, 06824,",2150 POST ROAD,FAIRFIELD,CT,6824.0,,,,,
RO RO TRUCKING LLC,LLC,Active,,1293360,2022-03-31,32 GEORGE ST  32 GEORGE ST,WEST HAVEN,06516,CT,rorotruckingllc@yahoo.com,Domestic,2018-12-14,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:08:33.6366667,United States,"General Freight Trucking, Local (484110)",484110.0,,,,,,,,,,,,,,,,,,,,,,
ROST LLC,LLC,Active,Ready for dissolution,1293361,2019-03-31,9 SALEM ST,COS COB,06807,CT,ROBERT.STANARD1@GMAIL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6366667,,,,,,,,,,,,,,,,,,,,,,,,,
"6 ELM STREET, LLC",LLC,Active,Ready for dissolution,1293362,2020-03-31,11 BELDEN AVENUE SECOND FLOOR,NORWALK,06850,CT,6ELMSTREETLLC@GMAIL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6366667,United States,,,,,,,,,,,,,,,,,,,,,,,,
JEV OUTSOURCING LLC,LLC,Active,Ready for dissolution,1293363,2019-03-31,355 ATLANTIC STREET UNIT 10T,STAMFORD,06901,CT,VIKTOR.K.VIKTOROV@GMAIL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6366667,,,,,,,,,,,,,,,,,,,,,,,,,
LAYBEL CONSULTING LLC,LLC,Dissolved,,1293364,2020-03-31,100 E HARTSDALE AVENUE,HARTSDALE,10530,NY,LAYBELCONSULTING@GMAIL.COM,Domestic,2018-12-14,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6366667,United States,,,,,2021-03-03T00:00:00.000,,,,,,,,,,,,,,,,,,,
"RS-U13, LLC",LLC,Active,,1293365,2022-03-31,137 ROWAYTON AVE SUITE 200,NORWALK,06853,CT,dconnors@rocketstrategiesllc.com,Foreign,2018-12-14,DE,DE,False,False,False,False,False,,2021-11-10 00:08:33.6366667,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,,,,2018-12-14,"RS-U13, LLC",United States,"850 NEW BURTON RD SUITE 201, DOVER, DE, 19904,",850 NEW BURTON RD SUITE 201,DOVER,DE,19904,,"850 NEW BURTON RD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON RD SUITE 201,DOVER,DE,19904.0,United States,,,,
"MORE BRICKS, LLC",LLC,Active,,1293366,2022-03-31,"2 WEST MAIN ST, SUITE 470",CLINTON,06413,CT,managedreports@incorp.com,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6366667,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,,
"LEBOSSEUR, INC.",Stock,Active,,1293367,2022-04-29,300 STATE STREET SUITE 215,NEW LONDON,06320,CT,info@truemaidcleaning.com,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6366667,United States,All Other Specialty Trade Contractors (238990),,,200.0,,,,,,,,,,,,,,,,,,,,
FAIR HAVEN MINI MARKET LLC,LLC,Active,Ready for dissolution,1293369,2019-03-31,375 GRAND AVENUE,NEW HAVEN,06513,CT,FAIRHAVENMINI@GMAIL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6366667,,,,,,,,,,,,,,,,,,,,,,,,,
FREDY ALONZO LLC,LLC,Active,Ready for dissolution,1293370,2019-03-31,50 SOUTH ST,DANBURY,06810,CT,KARENVALLEJOS@LIVE.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6366667,,,,,,,,,,,,,,,,,,,,,,,,,
CT RIVER LLC,LLC,Active,Ready for dissolution,1293394,2019-03-31,10 LIGHTHOUSE LANE,OLD GREENWICH,06870,CT,DOCUMENTS@DIRECTINCORP.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1033333,,,,,,,,,,,,,,,,,,,,,,,,,
MMM EVENT PRODUCTIONS LLC,LLC,Active,Ready for dissolution,1293429,2019-03-31,36 ALLEN ST,NEW BRITAIN,06053,CT,KEVM17@AOL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1500000,,,,,,,,,,,,,,,,,,,,,,,,,
EXCELLENCE ANESTHESIA LLC,LLC,Active,,1293430,2022-03-31,3 Macintosh Lane,Glastonbury,06033,CT,excellenceanesthesia@gmail.com,Domestic,2018-12-14,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:08:31.1500000,United States,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,,,,,,,,,,,,,,,,,,,,,,
BEACON HILL CAPITAL LLC,LLC,Active,Ready for dissolution,1293434,2020-03-31,70 SOUND VIEW DRIVE PH SOUTH,GREENWICH,06830,CT,jb11852@gmail.com,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1800000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,,
RCC DIGITAL LLC,LLC,Active,,1293318,2022-03-31,111 EAST GATE LN,HAMDEN,06514,CT,caroline@rccdigital.com,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.8100000,United States,Custom Computer Programming Services (541511),541511.0,,,,,,,,,,,,,,,,,,,,,,
AJS HOLDINGS LLC,LLC,Dissolved,,1293359,2019-03-31,111 PLEASANT VIEW DRIVE,SUFFIELD,06077,CT,HUDROGEA@GMAIL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:23.4733333,,,,,,2019-03-11T00:00:00.000,,,,,,,,,,,,,,,,,,,
TANDAVAM HEALING ARTS LLC,LLC,Dissolved,,1293241,2021-03-31,124 E PATTAGANSETT RD,NIANTIC,06357,CT,jimmyg077@gmail.com,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:39.5166667,United States,Sports and Recreation Instruction (611620),,,,2020-09-22T00:00:00.000,,,,,,,,,,,,,,,,,,,
VILLA MOVING LLC,LLC,Dissolved,,1293312,2020-03-31,48 HURLBURT ST,NEW HAVEN,06519,CT,BUYULLOJR@GMAIL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:30.5300000,United States,,,,,2020-06-01T00:00:00.000,,,,,,,,,,,,,,,,,,,
KAM SOLUTIONS LLC,LLC,Dissolved,,1293426,2019-03-31,210 DAYL DR.,BERLIN,06037,CT,MEHOW8@SBCGLOBAL.NET,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:30.7366667,,,,,,2020-10-08T00:00:00.000,,,,,,,,,,,,,,,,,,,
"LUCITY, INC.",Stock,Withdrawn,,1293333,2020-12-14,1000 BUSINESS CENTER DRIVE,LAKE MARY,32746,KS,Compliancemail@cscinfo.com,Foreign,2018-12-14,KS,KS,False,False,False,False,False,,2021-11-10 00:05:35.4100000,,,,,,,2006-01-01,"LUCITY, INC.",,,,,,,,,,,,,,,,,
"BLUE HAIR TECHNOLOGIES, LLC",LLC,Withdrawn,,1293342,2019-03-31,2570 W. INTERNATIONAL SPEEDWAY BLVD SUITE 200,DAYTONA BEACH,32114,FL,ZGIBSON@SILVERSPHERE.COM,Foreign,2018-12-14,FL,FL,False,False,False,False,False,,2021-11-10 00:03:17.9266667,,,,,,,2018-12-01,"BLUE HAIR TECHNOLOGIES, LLC",,"2570 W. INTERNATIONAL SPEEDWAY BLVD SUITE 200, DAYTONA BEACH, FL, 32114,",2570 W. INTERNATIONAL SPEEDWAY BLVD SUITE 200,DAYTONA BEACH,FL,32114,,"2570 W. INTERNATIONAL SPEEDWAY BLVD SUITE 200, DAYTONA BEACH, FL, 32114,",2570 W. INTERNATIONAL SPEEDWAY BLVD SUITE 200,DAYTONA BEACH,FL,32114.0,,,,,
SECRET PLACE LLC,LLC,Dissolved,,1293281,2019-03-31,36 FEDERAL ROAD,DANBURY,06810,CT,SENECA.BUSINESS@YAHOO.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:20.1133333,,,,,,2020-07-24T00:00:00.000,,,,,,,,,,,,,,,,,,,
IVY NORWALK NAILS & SPA LLC,LLC,Dissolved,,1293176,2019-03-31,430 MAIN AVE.,NORWALK,06851,CT,NYTAX888SERVICE@GMAIL.COM,Domestic,2018-12-14,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:52.0566667,,,,,,2020-01-31T00:00:00.000,,,,,,,,,,,,,,,,,,,
ECOMRETAIL LLC,LLC,Active,Ready for dissolution,1293372,2020-03-31,67 GREAT POND RD,S GLASTONBURY,06073,CT,ECOMRETAIL.LLC@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,United States,,,,,,,,,,,,,,,,,,,,,,,,
"D&G, LLC",LLC,Active,,1293373,2022-03-31,1420 MAIN ST,GLASTONBURY,06033,CT,karen@metropmct.com,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6833333,United States,Lessors of Other Real Estate Property (531190),531190.0,karen@metropmct.com,,,,,,,,,,,,,,,,,,,,,
VATS BREWING COMPANY LLC,LLC,Dissolved,,1293374,2021-03-31,24 WHITING STREET,PLAINVILLE,06062,CT,S.LAPERUTA@ICLOUD.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6833333,United States,Full-Service Restaurants (722511),722511.0,,,2020-11-30T00:00:00.000,,,,,,,,,,,,,,,,,,,
BAUTISTA RODRIGUEZ CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1293378,2020-03-31,14 WEST STREET  STE 14,DANBURY,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
WITHLOVE CATERING LLC,LLC,Active,Ready for dissolution,1293379,2020-03-31,300 COLD SPRING ROAD C419,ROCKY HILL,06067,CT,WITHLOVECATERING101@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,United States,,,,,,,,,,,,,,,,,,,,,,,,
HERNAN PAINT&CARPENTRY LLC,LLC,Active,Ready for dissolution,1293381,2020-03-31,55 virgil st,STAMFORD,06902,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,United States,,,,,,,,,,,,,,,,,,,,,,,,
RESZEFC LLC,LLC,Dissolved,,1293382,2021-03-31,12 CARDINAL LANE,WESTPORT,06880,CT,szefcr@gmail.com,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6833333,United States,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,2020-12-03T00:00:00.000,,,,,,,,,,,,,,,,,,,
"ROZHANNA, LLC",LLC,Active,Ready for dissolution,1293383,2019-03-31,3456 MADISON AVE,BRIDGEPORT,06606,CT,ANNAKAYBERRY@YAHOO.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
"2315 BARNUM, LLC",LLC,Active,Ready for dissolution,1293384,2019-03-31,2315 BARNUM AVE,STRATFORD,06615,CT,HQBARBERSCHOOLS@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
M & M AND HOME IMPROVEMENTY LLC,LLC,Active,Ready for dissolution,1293385,2019-03-31,54 CYNTHIA  ST,WATERBURY,06708,CT,GENERALHELPCT@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
"CONNECTICUT CUBS, INC",Non-Stock,Active,Annual report past due,1293386,2021-04-02,188 QUINNIPIAC AVE,NEW HAVEN,06513,CT,MONTILLAS@CTCUBS.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6833333,United States,Sports Teams and Clubs (711211),711211.0,,,,,,,,,,,,,,,,,,,,,,
EXTREME CLEAN SERVICES LLC,LLC,Active,Ready for dissolution,1293387,2019-03-31,132 SEASIDE AVE,STAMFORD,06902,CT,EXTREMECLEANSERVICES.INFO@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
"RAKLAW, LLC",LLC,Active,,1293388,2022-03-31,19 OLDORCHARD DRIVE,WESTON,06883,CT,rkeeney@raklaw.net,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6833333,United States,Offices of Lawyers (541110),541110.0,,,,,,,,,,,,,,,,,,,,,,
MASTERPOINT LLC,LLC,Active,Ready for dissolution,1293389,2019-03-31,87 PARK ROAD APT. 2,WEST HARTFORD,06119,CT,CHRONOSCODE@OUTLOOK.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
"PROJECT RESHAPE, LLC",LLC,Active,Ready for dissolution,1293390,2019-03-31,127 PARK TERRACE AVENUE,WEST HEAVEN,06516,CT,RICKY.RESHAPE@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
NYAME DEA LLC,LLC,Active,,1293391,2022-03-31,76 SHADY CREST DRIVE,EAST HARTFORD,06118,CT,isaboak@yahoo.com,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:31.1033333,United States,"General Freight Trucking, Local (484110)",484110.0,,,,,,,,,,,,,,,,,,,,,,
DVBM HOMES LLC,LLC,Active,Ready for dissolution,1293393,2019-03-31,102 TRAIL STREET,FAIRFIELD,,CT,DVBMHOMES@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1033333,,,,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT ONLINE COUNSELING LLC,LLC,Active,Annual report past due,1293395,2021-03-31,219 HILLSIDE AVENUE,NAUGATUCK,06770,CT,stokescounseling@live.com,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:31.1033333,United States,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,,,,,,,,,,
NUNZ RESTORATION LLC,LLC,Dissolved,,1293396,2021-03-31,48 THAMES HEIGHTS,GROTON,06340,CT,NUNZRESTORATION@GMAIL.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:31.1033333,United States,All Other Grain Farming (111199),111199.0,,,2021-04-16T00:00:00.000,,,,,,,,,,,,,,,,,,,
NINFA SALINAS SANCHEZ LLC,LLC,Active,Ready for dissolution,1293515,2019-03-31,90 ELM ST,DANBURY,06810,CT,KARENVALLEJOS@LIVE.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.7900000,,,,,,,,,,,,,,,,,,,,,,,,,
WD NOGUEIRA LLC,LLC,Dissolved,,1293375,2020-03-31,275 MAIN ST APT 5,DANBURY,06810,CT,DEMERSON@MIRANTEAGENCY.COM,Domestic,2018-12-15,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:29.3800000,,,,,,2019-05-08T00:00:00.000,,,,,,,,,,,,,,,,,,,
"THE LAW OFFICES OF RICHARD L. GRANT, PLLC",LLC,Active,,1293326,2022-03-31,"211 GREENWOOD AVE., 2-2, UNIT 202",BETHEL,06801,CT,rgrant@rgrant-law.com,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1066667,United States,Offices of Lawyers (541110),541110.0,,,,,,,,,,,,,,,,,,,,,,
PRIMO CONTRACTING SOLUTIONS LLC,LLC,Active,Ready for dissolution,1293337,2019-03-31,26 SPRUCE ST,BLOOMFIELD,06002,CT,PATLA.STEVE@GMAIL.COM,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1366667,,,,,,,,,,,,,,,,,,,,,,,,,
653 OLD ATHENS W WEST LLC,LLC,Active,Annual report past due,1293338,2021-03-31,"351 PEMBERWICK RD., #507",GREENWICH,06831,CT,jonaslittman@gmail.com,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1366667,United States,Private Households (814110),,,,,,,,,,,,,,,,,,,,,,,
SPARK IPS INC,Stock,Active,Annual report due,1293339,2021-12-17,642 HILLIARD STREET #1228,MANCHESTER,06042,CT,suzannebrazeal@sparkips.com,Domestic,2018-12-17,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:33.1366667,United States,Administrative Management and General Management Consulting Services (541611),,,20000.0,,,,,,,,,,,,,,,,,,,,
DUNNER WORLD TRUCKING LLC,LLC,Active,,1293343,2022-03-31,275 WINCHESTER AVE UNIT 303,NEW HAVEN,06511,CT,Dunnerworldtrucking@gmail.com,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1366667,United States,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,,,,,,,,,,
PRATCH & COMPANY,Stock,Active,First report past due,1293344,2019-12-17,No information provided,,,,,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:33.1366667,,,,,1000.0,,,,,,,,,,,,,,,,,,,,
APT ADVANCED POLYMER TECHNOLOGY CORP.,Stock,Active,Annual report due,1293345,2021-12-17,109 CONICA LANE,HARMONY,16037,PA,CAREY@ADVPOLYTECH.COM,Foreign,2018-12-17,PA,PA,False,False,False,False,False,,2021-11-10 00:08:33.1366667,United States,Paint and Coating Manufacturing (325510),325510.0,,,,2019-02-01,APT ADVANCED POLYMER TECHNOLOGY CORP.,United States,,,,,,,,,,,,,,,,
"60 HALSEY STREET, LLC",LLC,Active,Ready for dissolution,1293346,2019-03-31,67 TOM HARVEY ROAD,WESTERLY,02891,RI,,Foreign,2018-12-17,RI,RI,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1366667,,,,,,,2018-12-15,"60 HALSEY STREET, LLC",,"67 TOM HARVEY ROAD, WESTERLY, RI, 02891,",67 TOM HARVEY ROAD,WESTERLY,RI,02891,,"67 TOM HARVEY ROAD, WESTERLY, RI, 02891,",67 TOM HARVEY ROAD,WESTERLY,RI,2891.0,,,,,
"PROFIT PARTNERS, LLC",LLC,Active,,1293347,2022-03-31,101 STAGECOACH RD,AVON,06001,CT,DTweedt12@GMail.com,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1366667,United States,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,,,,,,,,,,,,,,
"WEX CARES FOUNDATION, INC.",Non-Stock,Active,Annual report past due,1293350,2020-12-17,97 DARLING AVENUE,SOUTH PORTLAND,04106,ME,MELISSA.DUDLEY@WEXINC.COM,Foreign,2018-12-17,ME,ME,False,False,False,False,False,,2021-11-10 00:08:33.1533333,United States,,,,,,2018-12-31,"WEX CARES FOUNDATION, INC.",United States,,,,,,,,,,,,,,,,
"ESO SOLUTIONS, INC.",Stock,Active,Annual report due,1293351,2021-12-17,11500 ALTERRA PKWY STE 100,AUSTIN,78758,TX,tax@eso.com,Foreign,2018-12-17,TX,TX,False,False,False,False,False,,2021-11-10 00:08:33.6366667,United States,Software Publishers (511210),511210.0,,,,2018-11-01,"ESO SOLUTIONS, INC.",United States,,,,,,,,,,,,,,,,
PAMELA NORWOOD CREATIVE LLC,LLC,Active,Ready for dissolution,1293352,2019-03-31,71 BOULDER AVE,STONINGTON,06378,CT,,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6366667,,,,,,,,,,,,,,,,,,,,,,,,,
TRIBUS LLC,LLC,Active,,1293353,2022-03-31,750 EAST MAIN STREET SUITE 820,STAMFORD,06902,CT,ap@forstonecapital.com,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6366667,United States,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,,,,,,,,,,
CATHCART SOLUTIONS LLC,LLC,Active,,1293354,2022-03-31,21 RAY HILL RD,EAST HADDAM,06423,CT,scott@cathcartsolutions.com,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6366667,United States,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,,,,,,,,,,
"SNOWBLACK, INC.",Stock,Active,First report past due,1293356,2020-12-17,No information provided,,,,,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6366667,,,,,100.0,,,,,,,,,,,,,,,,,,,,
CRUZZZ LIMOUSINE SERVICE INC.,Stock,Active,First report past due,1293357,2020-12-17,No information provided,,,,,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6366667,,,,,100.0,,,,,,,,,,,,,,,,,,,,
"FENCE ROW CONSULTANTS, LLC",LLC,Active,Ready for dissolution,1293371,2019-03-31,1111 FENCE ROW DR,FAIRFIELD,06824,CT,,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6833333,,,,,,,,,,,,,,,,,,,,,,,,,
"MG1 VENTURE, LLC",LLC,Withdrawn,,1293376,2022-03-31,"15 UPTON STREET, UNIT #4",BOSTON,02118,MA,eric.siegel@oceancastlelp.com,Foreign,2018-12-17,MA,MA,False,False,False,False,False,,2021-11-10 00:08:33.6833333,United States,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,2019-01-02,"MG1 VENTURE, LLC",United States,"15 UPTON STREET, UNIT #4, BOSTON, MA, 02118,","15 UPTON STREET, UNIT #4",BOSTON,MA,02118,,"15 UPTON STREET, UNIT #4, BOSTON, MA, 02118, United States","15 UPTON STREET, UNIT #4",BOSTON,MA,2118.0,United States,,,,
TIXXMAN LLC,LLC,Dissolved,,1293377,2020-03-31,8 GREENFIELD DR,ANSONIA,06401,CT,TIXXMAN@COMCAST.NET,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6833333,United States,,,,,2021-02-04T00:00:00.000,,,,,,,,,,,,,,,,,,,
"JRSK, INC.",Stock,Active,Annual report due,1293392,2021-12-17,503 BROADWAY 3RD FL.,NEW YORK,10012,NY,Compliancemail@cscinfo.com,Foreign,2018-12-17,DE,DE,False,False,False,False,False,,2021-11-10 00:08:31.1033333,United States,Electronic Shopping and Mail-Order Houses (454110),454110.0,,,,2018-12-01,"JRSK, INC.",United States,,,,,,,,,,,,,,,,
CLAIRE MARIE UTZ LLC,LLC,Active,Ready for dissolution,1293397,2019-03-31,24 HIGH STREET,WESTPORT,06880,CT,ROSEALUTZ@GMAIL.COM,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1033333,,,,,,,,,,,,,,,,,,,,,,,,,
SCHMIEDER LLC,LLC,Active,Ready for dissolution,1293400,2020-03-31,14 CURRIER CT.,CHESHIRE,06410,CT,LINDA.FELDMAN@COX.NET,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1033333,United States,,,,,,,,,,,,,,,,,,,,,,,,
TEMPUS EQUITIES  LLC,LLC,Active,Ready for dissolution,1293401,2019-03-31,"700 CANAL ST., FLOOR 1-SL",STAMFORD,06902,CT,KEVHICK27@GMAIL.COM,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1033333,,,,,,,,,,,,,,,,,,,,,,,,,
"PKMGE, LLC",LLC,Active,,1293403,2022-03-31,12 THE MEWS,WESTPORT,06880,CT,pkmge@optonline.net,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:31.1033333,United States,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,
"LAUNA'S LAWNCARE, LLC",LLC,Active,Ready for dissolution,1293404,2019-03-31,658 BUCKLEY HWY,UNION,06076,CT,JTSFLYSHOP@YAHOO.COM,Domestic,2018-12-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1033333,,,,,,,,,,,,,,,,,,,,,,,,,
