name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_address
"SOLHART, INC.",Stock,Active,Annual report past due,1291029,2021-04-15,8018 LAUREL RIDGE COURT,DELRAY BEACH,33446,FL,JDURANTE@IMBERANDCOMPANY.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2266667,,United States,,,,,,,,Nonresidential Property Managers (531312),531312.0,,,,,,,,,20000.0,,,,
"PROFILED, LLC",LLC,Active,Ready for dissolution,1291037,2019-03-31,64 HARNESS DR.,MERIDEN,06450,CT,BARNABASWANNABE@GMAIL.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2266667,,,,,,,,,,,,,,,,,,,,,,,,
KATHCHAR LIMITED PARTNERSHIP,Limited Partnership,Active,Annual report past due,1291038,2020-11-16,113 BOUTON STREET WEST,STAMFORD,06907,CT,planlesstax@hotmail.com,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2266667,,United States,,,,,,,,,,,,,,,,,,,,,,
"AIRE SALON, LLC",LLC,Active,,1291221,2022-03-31,95 BROOKSIDE ROAD,NEW BRITAIN,06052,CT,airesalonavon@gmail.com,Domestic,2018-11-16,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.9900000,,United States,,,,,,,,Beauty Salons (812112),812112.0,,,,,,,,,,,,,
LADYBUG LAUNDRY LLC,LLC,Active,Ready for dissolution,1291222,2019-03-31,8 WILLOW ST,WINSTED,06098,CT,,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9900000,,,,,,,,,,,,,,,,,,,,,,,,
NAMI SOUTHEASTERN CT. INC.,Non-Stock,Active,First report past due,1291223,2020-11-16,No information provided,,,,,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9900000,,,,,,,,,,,,,,,,,,,,,,,,
33 HANDYMAN LLC,LLC,Active,Ready for dissolution,1291224,2019-03-31,24 BRACCHI DRIVE,STAMFORD,06903,CT,TWINS5594@HOTMAIL.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9900000,,,,,,,,,,,,,,,,,,,,,,,,
BOBOLI LLC,LLC,Active,Ready for dissolution,1291225,2019-03-31,9 JEFFREY DRIVE,WALLINGFORD,06492,CT,,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9900000,,,,,,,,,,,,,,,,,,,,,,,,
SHIMAN PARTNERS LLC,LLC,Active,,1291400,2022-03-31,"15 N Main St, Suite 100",West Hartford,06107,CT,JOSEPHSHIMAN@GMAIL.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9900000,,United States,,,,,,,,Investment Advice (523930),,,,,,,,,,,,,,
"FRIENDS OF ANSONIA EDUCATION, INC",Non-Stock,Active,Annual report past due,1291401,2020-11-16,217 WAKELEE AVE,ANSONIA,06401,CT,sennea.raslan@outlook.com,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9900000,,United States,,,,,,,,,,,,,,,,,,,,,,
"49 NORTH, LLC",LLC,Active,Ready for dissolution,1291405,2019-03-31,49 NORTH STREET,DANBURY,06810,CT,,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.0400000,,,,,,,,,,,,,,,,,,,,,,,,
FUEL CELL ESA WH LLC,LLC,Active,Ready for dissolution,1291406,2019-03-31,5827 TEREX,CLARKSTON,48346,MI,,Foreign,2018-11-16,MI,MI,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.0400000,2018-10-25,,FUEL CELL ESA WH LLC,,"5827 TEREX, CLARKSTON, MI, 48346,",5827 TEREX,CLARKSTON,MI,48346,,,"5827 TEREX, CLARKSTON, MI, 48346,",5827 TEREX,CLARKSTON,MI,48346,,,,,,,,
KULARI HOME IMPROVEMENT LLC,LLC,Active,Ready for dissolution,1291491,2019-03-31,286 WOODLAND ROAD,STORRS-MANSFIELD,06268,CT,LORENKULARI@YAHOO.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8200000,,,,,,,,,,,,,,,,,,,,,,,,
EYEVANCE PHARMACEUTICALS LLC,LLC,Active,,1291493,2022-03-31,777 TAYLOR STREET SUITE 1050,FORT WORTH,76102,TX,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-11-16,DE,DE,False,False,False,False,False,,2021-11-10 00:12:22.8200000,2018-10-20,United States,EYEVANCE PHARMACEUTICALS LLC,United States,NONE,NONE,,,,Pharmaceutical Preparation Manufacturing (325412),325412.0,NONE,NONE,,,,,,,,,,,
"IGLESIA CRISTIANA, MOVIMIENTO INTERNACIONAL ""LUZ EN MEDIO DE LAS TINIEBLAS' INC.",Non-Stock,Active,Annual report due,1291510,2021-11-16,99 E HANMER ST,HARTFORD,06114,CT,anapomales7@gmail.com,Foreign,2018-11-16,PR,PR,False,False,False,False,False,,2021-11-10 00:12:22.8666667,2018-11-16,United States,"IGLESIA CRISTIANA, MOVIMIENTO INTERNACIONAL ""LUZ EN MEDIO DE LAS TINIEBLAS' INC.",United States,,,,,,Religious Organizations (813110),,,,,,,,,,,,,,
MF FLOORS LLC,LLC,Dissolved,,1290776,2019-03-31,686 HART ST,BRIDGEPORT,06606,CT,RUTE@ATLANTISTAXLLC.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:13.5433333,,,,,,,,,,,,,,,,,,2019-01-28T00:00:00.000,,,,,,
"CONNECTICUT SCENERY DESIGNS, LLC",LLC,Dissolved,,1290849,2019-03-31,159 VOIGHT PLACE,STRATFORD,06615,CT,WINERBRIDGEPORT@YAHOO.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:13.5100000,,,,,,,,,,,,,,,,,,2019-09-16T00:00:00.000,,,,,,
VIP HEALTH LLC,LLC,Dissolved,,1290795,2019-03-31,232 BOSTON POST RD #13,MILFORD,06460,CT,TAX@BAWAGENCY.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:32.5300000,,,,,,,,,,,,,,,,,,2020-09-21T00:00:00.000,,,,,,
"DURR MEGTEC, LLC",LLC,Withdrawn,,1290821,2020-03-31,830 PROSPER ROAD,DE PERE,54115,WI,jley@megtec.com,Foreign,2018-11-16,DE,DE,False,False,False,False,False,,2021-11-10 00:04:46.3766667,2018-11-16,United States,"DURR MEGTEC, LLC",United States,"CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, DE, 19801,",CORPORATION TRUST CENTER 1209 ORANGE ST,WILMINGTON,DE,19801,,,"CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, DE, 19801, United States",CORPORATION TRUST CENTER 1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,,,,,
KJ VERNON LLC,LLC,Withdrawn,,1290853,2020-03-31,1030 W CHICAGO AVE. FLOOR 3,CHICAGO,60642,IL,alan@bellevuestreet.com,Foreign,2018-11-16,DE,DE,False,False,False,False,False,,2021-11-10 00:04:54.1000000,2018-11-15,United States,KJ VERNON LLC,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,,,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,United States,,,,,
JUICE WORLD LLC,LLC,Dissolved,,1290826,2019-03-31,784 RIVER ROAD,SHELTON,06484,CT,LUEDIAMOND@ICLOUD.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:32.0800000,,,,,,,,,,,,,,,,,,2019-10-12T00:00:00.000,,,,,,
FAMILY FLIPPERS LLC,LLC,Dissolved,,1290848,2019-03-31,177 MONTICELLO DR,BRANFORD,06405,CT,DAVEMILLERBUILDER@YAHOO.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:46.3700000,,,,,,,,,,,,,,,,,,2019-10-09T00:00:00.000,,,,,,
LENDERS CHOICE RESIDENTIAL APPRAISAL SERVICES LLC,LLC,Dissolved,,1290815,2020-03-31,68 BELMONT ST,NEW BRITAIN,06053,CT,LENDERSCHOICEAPPRAISALS@GMAIL.COM,Domestic,2018-11-16,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:24.6300000,,United States,,,,,,,,,,,,,,,,2019-09-30T00:00:00.000,,,,,,
MINX MARKET LLC,LLC,Active,Ready for dissolution,1290869,2019-03-31,43 CARDS MILL RD,COLUMBIA,06237,CT,MINXMERRIWEATHER@GMAIL.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4133333,,,,,,,,,,,,,,,,,,,,,,,,
LM GENERAL SERVICES LLC,LLC,Active,Ready for dissolution,1290870,2020-03-31,17 TAYLOR AVE,BETHEL,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4133333,,United States,,,,,,,,,,,,,,,,,,,,,,
"GAETANO'S HOME IMPROVEMENT, LLC",LLC,Active,,1290871,2022-03-31,271 SOUTH MAIN STREET,WALLINGFORD,06492,CT,kevingaetano02@gmail.com,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4133333,,United States,,,,,,,,All Other Specialty Trade Contractors (238990),238990.0,,,,,,,,,,,,,
1134 NORMAN ST LLC,LLC,Active,Ready for dissolution,1290872,2019-03-31,1132 NORMAN ST,BRIDGEPORT,06604,CT,EASOTO106608@YAHOO.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4133333,,,,,,,,,,,,,,,,,,,,,,,,
"THE MCMINN EMPLOYMENT LAW FIRM, LLC",LLC,Active,Ready for dissolution,1290873,2020-03-31,"1000 LAFAYETTE BLVD.,11TH FL., STE 1100",BRIDGEPORT,06604,CT,MICHAEL@MCMINNEMPLOYMENTLAW.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4133333,,United States,,,,,,,,,,,,,,,,,,,,,,
BLUB LLC,LLC,Active,Ready for dissolution,1290874,2019-03-31,78 OLIVE STREET APT 410,NEW HAVEN,06511,CT,BLAKELYWOLFE@GMAIL.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4133333,,,,,,,,,,,,,,,,,,,,,,,,
LARSON BUILDERS LLC,LLC,Active,,1290877,2022-03-31,17 OLD CARRIAGE RD,PORTLAND,06480,CT,klarson35@yahoo.com,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4133333,,United States,,,,,,,,Residential Remodelers (236118),236118.0,,,,,,,,,,,,,
ACE PROPERTY MAINTENANCE LLC,LLC,Active,,1290878,2022-03-31,28 MANOR LN,SOUTH WINDSOR,06074,CT,MONASPIKE@GMAIL.COM,Domestic,2018-11-17,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:23.4133333,,United States,,,,,,,,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,
"TPC WASTE SERVICE, LLC",LLC,Active,Ready for dissolution,1290879,2019-03-31,2 BERKSHIRE AVE.,BRIDGEPORT,,CT,TPCWASTESERVICE@GMAIL.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4133333,,,,,,,,,,,,,,,,,,,,,,,,
MORAN AGENCIES INC,Stock,Active,First report past due,1290880,2020-11-17,No information provided,,,,MORANJONUE@HOTMAIL.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4133333,,,,,,,,,,,,,,,,,,,,100.0,,,,
"COELHO GROUP, LLC",LLC,Active,,1290881,2022-03-31,636 KILLDEER LANE,HUNTINGDON VALLEY,19006,PA,JosephCCoco@sbcglobal.net,Domestic,2018-11-17,PA,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.4133333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,
"GLUTEN FREE GOURMET FOOD, LLC",LLC,Dissolved,,1290882,2020-03-31,92 DARYL DRIVE,VERNON,06066,CT,GLUTENFREEGOURMETFOOD@COMCAST.NET,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:16.0300000,,United States,,,,,,,,,,,,,,,,2019-06-25T00:00:00.000,,,,,,
"CONNECTICUT ITALIAN AMERICAN HALL OF FAME , INC.",Non-Stock,Dissolved,,1290876,2020-11-17,No information provided,,,,PPIRROTTA@YAHOO.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:08.8833333,,,,,,,,,,,,,,,,,,2020-10-09T00:00:00.000,,,,,,
VADOMATH CORPORATION,Non-Stock,Dissolved,,1290875,2020-11-17,No information provided,,,,GOMATHTUTORING2018@GMAIL.COM,Domestic,2018-11-17,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:06.8700000,,,,,,,,,,,,,,,,,,2020-05-26T00:00:00.000,,,,,,
"MYSTIC FINANCIAL GROUP, LLC",LLC,Active,,1289536,2022-03-31,12 ROOSEVELT AVE,MYSTIC,06355,CT,mike@mysticfinancialgroup.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,Investment Advice (523930),523930.0,,,,,,,,,,,,,
"ALL CLEAR ELECTROLYSIS, LLC",LLC,Active,,1290883,2022-03-31,26 SEVEN HILLS XING,EAST HAMPTON,06424,CT,allclearelectrolysis@gmail.com,Domestic,2018-11-19,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.4133333,,United States,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,
"STEELPOINTE II INVESTORS, LLC",LLC,Active,Ready for dissolution,1290897,2020-03-31,10 MIDDLE STREET,BRIDGEPORT,06604,CT,FIELD@USAGLOBALACCESS.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,,United States,,,,,,,,,,,,,,,,,,,,,,
"OPPORTUNITY HOLDINGS FUND, LLC",LLC,Active,Ready for dissolution,1290898,2020-03-31,133 RIVER ROAD,MYSTIC,06355,CT,FIELD@USAGLOBALACCESS.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,,United States,,,,,,,,,,,,,,,,,,,,,,
"SECOND SELF, LLP",LLP,Active,Ready for dissolution,1290899,2019-11-19,221 SUMMIT STREET,BRIDGEPORT,06606,CT,HSTOKES924@GMAIL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,,,,,,,,,,,,,,,,,,,,,,,,
HORTUS RESEARCH LLC,LLC,Active,,1290905,2022-03-31,168 WESTWOOD ROAD,NEW HAVEN,06515,CT,gc@hortusresearch.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4433333,,United States,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,
"433 ELM STREET, LLC",LLC,Active,,1290910,2022-03-31,"C/O CAMSAN, INC. 15 HALLOWEEN BLVD.",STAMFORD,06902,CT,t.sanseverino@camsaninc.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
"443 ELM STREET, LLC",LLC,Active,,1290913,2022-03-31,"C/O CAMSAN, INC. 15 HALLOWEEN BLVD.",STAMFORD,06902,CT,t.sanseverino@camsaninc.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
"15 HALLOWEEN BOULEVARD, LLC",LLC,Active,,1290914,2022-03-31,"C/O CAMSAN, INC. 15 HALLOWEEN BLVD.",STAMFORD,06902,CT,t.sanseverino@camsaninc.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,,,,,,,,,,,,,
INTUITIVE WELLNESS LLC,LLC,Active,Ready for dissolution,1290915,2019-03-31,6 THORNDAL CIRCLE 2ND FL,DARIEN,06820,CT,INTUITIVEWELLNESSCT@GMAIL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,,,,,,,,,,,,,,,,,,,,,,,
"FONTIS MEDICAL STRATEGIES, LLC",LLC,Dissolved,,1290919,2019-03-31,75 STONE RIDGE WAY 3F,FAIRFIELD,06824,CT,PETER.C.LEE@POST.HARVARD.EDU,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,,,,,,,,,,,,,,,,,2021-02-09T00:00:00.000,,,,,,
EVANDALE MILL ADVISORS LLC,LLC,Active,,1290923,2022-03-31,41 MILTIADES AVE.,RIVERSIDE,06878,CT,andy@evandalemill.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,
MSW INVESTMENTS LLC,LLC,Active,,1290924,2022-03-31,19 HICKORY LANE,WESTON,06883,CT,waldis1@yahoo.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Other Management Consulting Services (541618),541618.0,,,,,,,,,,,,,
DAVID W. JOEL LLC,LLC,Active,,1290925,2022-03-31,130 AMITY ROAD,NEW HAVEN,06515,CT,drjoel@snet.net,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Offices of Optometrists (621320),621320.0,,,,,,,,,,,,,
LGND SUPPLY CO. LLC,LLC,Active,Ready for dissolution,1290928,2019-03-31,"2344 FOXON RD., UNIT 6",NORTH BRANFORD,06471,CT,LGNDSUPPLYCOMPANY@GMAIL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,,,,,,,,,,,,,,,,,,,,,,,
TWURGER LLC,LLC,Active,Ready for dissolution,1290929,2019-03-31,310 OLD CHURCH ROAD,GREENWICH,06830,CT,JEDKHARTMAN@GMAIL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
CINDY'S PORK PRODUCTS LLC,LLC,Active,Ready for dissolution,1290930,2019-03-31,262 ELM ST,MERIDEN,06450,CT,KENEALYCINDY@YAHOO.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
"STAR TRUCKING, LLC",LLC,Active,,1290931,2022-03-31,1248 PEMBROKE STREET,BRIDGEPORT,06608,CT,STARTRUCKINGCT@OUTLOOK.COM,Domestic,2018-11-19,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,United States,,,,,,,,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,
MAROLOGY LLC,LLC,Active,Annual report past due,1290932,2021-03-31,185 CANAL ST. EAST. #1071,SHELTON,06484,CT,mkbeers7@gmail.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9433333,,United States,,,,,,,,Internet Publishing and Broadcasting and Web Search Portals (519130),519130.0,,,,,,,,,,,,,
APOSTOLIC CHRISTIAN FELLOWSHIP INC,Non-Stock,Active,First report past due,1290933,2020-11-19,No information provided,,,,HLIVINGFAITH@AOL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9433333,,,,,,,,,,,,,,,,,,,,,,,,
JERRYS MARINE CENTER LLC,LLC,Active,,1290934,2022-03-31,213 RTE 6,COLUMBIA,06237,CT,EFILE1234@INCFILE.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9433333,,United States,,,,,,,,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",812990.0,,,,,,,,,,,,,
"OPTIMUM TRANSPORT, LLC",LLC,Active,,1290936,2022-03-31,304 MAIN AVENUE #292,NORWALK,06851,CT,info@optimumtransportct.com,Domestic,2018-11-19,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.9433333,,United States,,,,,,,,Special Needs Transportation (485991),,,,,,,,,,,,,,
EBW REALTY LLC,LLC,Active,Annual report past due,1290937,2021-03-31,20 BARLETT MANOR,NORWALK,06850,CT,Manhei1129@gmail.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9433333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
BIDWELL ENERGY LLC,LLC,Active,,1290938,2022-03-31,160 BRIDGE ST SUITE 100,EAST WINDSOR,06088,CT,ELISABETH@BIDWELLENERGY.COM,Domestic,2018-11-19,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.9433333,,United States,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,
SHANGHAI NORWALK INC,Stock,Active,First report past due,1290939,2020-11-19,No information provided,,,,YANLIN.YANG@YAHOO.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9433333,,,,,,,,,,,,,,,,,,,,200.0,,,,
"CORMAC LEVENSON, LEARNING CONSULTANTS, LLC",LLC,Active,,1290940,2022-03-31,50 WINNETT ST,HAMDEN,06517,CT,cormactutors@gmail.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9433333,,United States,,,,,,,,Professional and Management Development Training (611430),611430.0,,,,,,,,,,,,,
BARK N BUBBLES LLC,LLC,Active,Ready for dissolution,1290941,2019-03-31,39 WEDGEWOOD DR,JEWETT CITY,06351,CT,BARKNBUBBLES39@GMAIL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9433333,,,,,,,,,,,,,,,,,,,,,,,,
KNOCKING INC,Stock,Active,Ready for dissolution,1290942,2019-11-19,31 SETTLERS RIDGE DRIVE,TRUMBULL,06611,CT,MAUREEN.MAIN@KNOCKING.COM,Foreign,2018-11-19,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9433333,2017-11-01,,KNOCKING INC,,,,,,,,,,,,,,,,,,,,,No information provided
PREMIER PAIN CARE & WELLNESS INC.,Stock,Active,,1290944,2022-11-19,40 CROSS STREET STE 301,NORWALK,06851,CT,LIA@MILLERCOMPANYLLP.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9433333,,United States,,,,,,,,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,,,,,,,,,200.0,,,,
CONCRETE DREAMING LLC,LLC,Active,Ready for dissolution,1290949,2020-03-31,258 FOXON ROAD,EAST HAVEN,06513,CT,Graya8500@gmail.com,Domestic,2018-11-19,CT,Connecticut,True,False,True,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Elementary and Secondary Schools (611110),611110.0,,,,,,,,,,,,,
PUMA SIMONE LLC,LLC,Active,Ready for dissolution,1290950,2020-03-31,361 ELM ST,NEW HAVEN,06511,CT,PUMARUU@GMAIL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,United States,,,,,,,,,,,,,,,,,,,,,,
SILVER MILL STUDENT TRAVEL LLC,LLC,Active,Annual report past due,1290951,2021-03-31,57 WINDY WAY  57 WINDY WAY,MERIDEN,06450,CT,josh@silvermillstudenttravel.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
BEN'S TOWING LLC,LLC,Dissolved,,1290954,2019-03-31,50 WALNUT ST,MIDDLETOWN,06457,CT,SOFIANEJOHN@YAHOO.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,2021-02-22T00:00:00.000,,,,,,
TAKING CARE OF YOU HOME CARE AGENCY LLC,LLC,Active,,1290955,2022-03-31,60 LYON TERRACE FL 2,BRIDGEPORT,06604,CT,Info@takingcareofyouhca.com,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Home Health Care Services (621610),621610.0,,,,,,,,,,,,,
KAA WIRELESS LLC,LLC,Active,Ready for dissolution,1290957,2020-03-31,780 VAUXHALL STREET,WATERFORD,06385,CT,TASKOFFICEWORK@GMAIL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Other Electronic Parts and Equipment Merchant Wholesalers (423690),,,,,,,,,,,,,,
"BRENTWOOD PROPERTIES, LLC",LLC,Active,,1290958,2022-03-31,40 MEADOW RIDGE RD,SOUTHPORT,06890,CT,KMP079@AOL.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,
BSR/MG REALTY LLC,LLC,Active,Ready for dissolution,1290959,2019-03-31,211 KENT CORNWALL ROAD,KENT,06769,CT,SSHAPIRO@BSRINVESTMENTS.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,,
MANUEL GARCIA PEREZ SVC LLC,LLC,Active,Ready for dissolution,1290960,2020-03-31,18 MAPLE AVE APT 1A,WILLIMANTIC,06226,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-11-19,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Residential Remodelers (236118),236118.0,,,,,,,,,,,,,
